"","Group","Whitehall","Gender","Date","Civil.Service.grad","count","total","share","grp"
"58","BIS","NWH","Male",2013,"G6/G7",1110,15070,0.0736562707365627,"BISMale"
"59","BIS","NWH","Male",2013,"SEO/HEO",3400,15070,0.225613802256138,"BISMale"
"60","BIS","NWH","Male",2013,"SCS",100,15070,0.006635700066357,"BISMale"
"61","BIS","WH","Female",2008,"AO/AA",340,4260,0.07981220657277,"BISFemale"
"62","BIS","WH","Female",2008,"EO",410,4260,0.0962441314553991,"BISFemale"
"63","BIS","WH","Female",2008,"G6/G7",510,4260,0.119718309859155,"BISFemale"
"64","BIS","WH","Female",2008,"SEO/HEO",660,4260,0.154929577464789,"BISFemale"
"65","BIS","WH","Female",2008,"SCS",80,4260,0.0187793427230047,"BISFemale"
"66","BIS","WH","Female",2009,"AO/AA",270,3960,0.0681818181818182,"BISFemale"
"67","BIS","WH","Female",2009,"EO",370,3960,0.0934343434343434,"BISFemale"
"68","BIS","WH","Female",2009,"G6/G7",500,3960,0.126262626262626,"BISFemale"
"69","BIS","WH","Female",2009,"SEO/HEO",660,3960,0.166666666666667,"BISFemale"
"70","BIS","WH","Female",2009,"SCS",100,3960,0.0252525252525253,"BISFemale"
"71","BIS","WH","Female",2010,"AO/AA",240,4010,0.0598503740648379,"BISFemale"
"72","BIS","WH","Female",2010,"EO",360,4010,0.0897755610972569,"BISFemale"
"73","BIS","WH","Female",2010,"G6/G7",540,4010,0.134663341645885,"BISFemale"
"74","BIS","WH","Female",2010,"SEO/HEO",680,4010,0.169576059850374,"BISFemale"
"75","BIS","WH","Female",2010,"SCS",100,4010,0.0249376558603491,"BISFemale"
"76","BIS","WH","Female",2011,"AO/AA",210,3480,0.0603448275862069,"BISFemale"
"77","BIS","WH","Female",2011,"EO",290,3480,0.0833333333333333,"BISFemale"
"78","BIS","WH","Female",2011,"G6/G7",480,3480,0.137931034482759,"BISFemale"
"79","BIS","WH","Female",2011,"SEO/HEO",590,3480,0.169540229885057,"BISFemale"
"80","BIS","WH","Female",2011,"SCS",90,3480,0.0258620689655172,"BISFemale"
"81","BIS","WH","Female",2012,"AO/AA",160,2950,0.0542372881355932,"BISFemale"
"82","BIS","WH","Female",2012,"EO",250,2950,0.0847457627118644,"BISFemale"
"83","BIS","WH","Female",2012,"G6/G7",430,2950,0.145762711864407,"BISFemale"
"84","BIS","WH","Female",2012,"SEO/HEO",480,2950,0.16271186440678,"BISFemale"
"85","BIS","WH","Female",2012,"SCS",80,2950,0.0271186440677966,"BISFemale"
"86","BIS","WH","Female",2013,"AO/AA",130,3140,0.0414012738853503,"BISFemale"
"87","BIS","WH","Female",2013,"EO",270,3140,0.0859872611464968,"BISFemale"
"88","BIS","WH","Female",2013,"G6/G7",490,3140,0.156050955414013,"BISFemale"
"89","BIS","WH","Female",2013,"SEO/HEO",530,3140,0.168789808917197,"BISFemale"
"90","BIS","WH","Female",2013,"SCS",90,3140,0.0286624203821656,"BISFemale"
"91","BIS","WH","Male",2008,"AO/AA",220,4260,0.0516431924882629,"BISMale"
"92","BIS","WH","Male",2008,"EO",290,4260,0.068075117370892,"BISMale"
"93","BIS","WH","Male",2008,"G6/G7",700,4260,0.164319248826291,"BISMale"
"94","BIS","WH","Male",2008,"SEO/HEO",910,4260,0.213615023474178,"BISMale"
"95","BIS","WH","Male",2008,"SCS",170,4260,0.039906103286385,"BISMale"
"96","BIS","WH","Male",2009,"AO/AA",170,3960,0.0429292929292929,"BISMale"
"97","BIS","WH","Male",2009,"EO",270,3960,0.0681818181818182,"BISMale"
"98","BIS","WH","Male",2009,"G6/G7",660,3960,0.166666666666667,"BISMale"
"99","BIS","WH","Male",2009,"SEO/HEO",820,3960,0.207070707070707,"BISMale"
"100","BIS","WH","Male",2009,"SCS",160,3960,0.0404040404040404,"BISMale"
"101","BIS","WH","Male",2010,"AO/AA",150,4010,0.0374064837905237,"BISMale"
"102","BIS","WH","Male",2010,"EO",270,4010,0.0673316708229426,"BISMale"
"103","BIS","WH","Male",2010,"G6/G7",680,4010,0.169576059850374,"BISMale"
"104","BIS","WH","Male",2010,"SEO/HEO",810,4010,0.201995012468828,"BISMale"
"105","BIS","WH","Male",2010,"SCS",160,4010,0.0399002493765586,"BISMale"
"106","BIS","WH","Male",2011,"AO/AA",120,3480,0.0344827586206897,"BISMale"
"107","BIS","WH","Male",2011,"EO",220,3480,0.0632183908045977,"BISMale"
"108","BIS","WH","Male",2011,"G6/G7",610,3480,0.175287356321839,"BISMale"
"109","BIS","WH","Male",2011,"SEO/HEO",730,3480,0.209770114942529,"BISMale"
"110","BIS","WH","Male",2011,"SCS",130,3480,0.0373563218390805,"BISMale"
"111","BIS","WH","Male",2012,"AO/AA",100,2950,0.0338983050847458,"BISMale"
"112","BIS","WH","Male",2012,"EO",200,2950,0.0677966101694915,"BISMale"
"113","BIS","WH","Male",2012,"G6/G7",510,2950,0.172881355932203,"BISMale"
"114","BIS","WH","Male",2012,"SEO/HEO",620,2950,0.210169491525424,"BISMale"
"115","BIS","WH","Male",2012,"SCS",120,2950,0.0406779661016949,"BISMale"
"116","BIS","WH","Male",2013,"AO/AA",90,3140,0.0286624203821656,"BISMale"
"117","BIS","WH","Male",2013,"EO",200,3140,0.0636942675159236,"BISMale"
"118","BIS","WH","Male",2013,"G6/G7",560,3140,0.178343949044586,"BISMale"
"119","BIS","WH","Male",2013,"SEO/HEO",650,3140,0.207006369426752,"BISMale"
"120","BIS","WH","Male",2013,"SCS",130,3140,0.0414012738853503,"BISMale"
"121","CO","NWH","Female",2008,"AO/AA",170,1870,0.0909090909090909,"COFemale"
"122","CO","NWH","Female",2008,"EO",220,1870,0.117647058823529,"COFemale"
"123","CO","NWH","Female",2008,"G6/G7",140,1870,0.0748663101604278,"COFemale"
"124","CO","NWH","Female",2008,"SEO/HEO",420,1870,0.224598930481283,"COFemale"
"125","CO","NWH","Female",2008,"SCS",30,1870,0.0160427807486631,"COFemale"
"126","CO","NWH","Female",2009,"AO/AA",160,2020,0.0792079207920792,"COFemale"
"127","CO","NWH","Female",2009,"EO",230,2020,0.113861386138614,"COFemale"
"128","CO","NWH","Female",2009,"G6/G7",170,2020,0.0841584158415842,"COFemale"
"129","CO","NWH","Female",2009,"SEO/HEO",470,2020,0.232673267326733,"COFemale"
"130","CO","NWH","Female",2009,"SCS",40,2020,0.0198019801980198,"COFemale"
"131","CO","NWH","Female",2010,"AO/AA",150,2020,0.0742574257425743,"COFemale"
"132","CO","NWH","Female",2010,"EO",240,2020,0.118811881188119,"COFemale"
"133","CO","NWH","Female",2010,"G6/G7",190,2020,0.0940594059405941,"COFemale"
"134","CO","NWH","Female",2010,"SEO/HEO",490,2020,0.242574257425743,"COFemale"
"135","CO","NWH","Female",2010,"SCS",50,2020,0.0247524752475248,"COFemale"
"136","CO","NWH","Female",2011,"AO/AA",120,1560,0.0769230769230769,"COFemale"
"137","CO","NWH","Female",2011,"EO",210,1560,0.134615384615385,"COFemale"
"138","CO","NWH","Female",2011,"G6/G7",150,1560,0.0961538461538462,"COFemale"
"139","CO","NWH","Female",2011,"SEO/HEO",360,1560,0.230769230769231,"COFemale"
"140","CO","NWH","Female",2011,"SCS",40,1560,0.0256410256410256,"COFemale"
"141","CO","NWH","Female",2012,"AO/AA",50,1110,0.045045045045045,"COFemale"
"142","CO","NWH","Female",2012,"EO",120,1110,0.108108108108108,"COFemale"
"143","CO","NWH","Female",2012,"G6/G7",110,1110,0.0990990990990991,"COFemale"
"144","CO","NWH","Female",2012,"SEO/HEO",280,1110,0.252252252252252,"COFemale"
"145","CO","NWH","Female",2012,"SCS",20,1110,0.018018018018018,"COFemale"
"146","CO","NWH","Female",2013,"AO/AA",50,810,0.0617283950617284,"COFemale"
"147","CO","NWH","Female",2013,"EO",100,810,0.123456790123457,"COFemale"
"148","CO","NWH","Female",2013,"G6/G7",60,810,0.0740740740740741,"COFemale"
"149","CO","NWH","Female",2013,"SEO/HEO",180,810,0.222222222222222,"COFemale"
"150","CO","NWH","Female",2013,"SCS",20,810,0.0246913580246914,"COFemale"
"151","CO","NWH","Male",2008,"AO/AA",80,1870,0.0427807486631016,"COMale"
"152","CO","NWH","Male",2008,"EO",140,1870,0.0748663101604278,"COMale"
"153","CO","NWH","Male",2008,"G6/G7",200,1870,0.106951871657754,"COMale"
"154","CO","NWH","Male",2008,"SEO/HEO",350,1870,0.18716577540107,"COMale"
"155","CO","NWH","Male",2008,"SCS",40,1870,0.0213903743315508,"COMale"
"156","CO","NWH","Male",2009,"AO/AA",70,2020,0.0346534653465347,"COMale"
"157","CO","NWH","Male",2009,"EO",130,2020,0.0643564356435644,"COMale"
"158","CO","NWH","Male",2009,"G6/G7",210,2020,0.103960396039604,"COMale"
"159","CO","NWH","Male",2009,"SEO/HEO",360,2020,0.178217821782178,"COMale"
"160","CO","NWH","Male",2009,"SCS",50,2020,0.0247524752475248,"COMale"
"161","CO","NWH","Male",2010,"AO/AA",60,2020,0.0297029702970297,"COMale"
"162","CO","NWH","Male",2010,"EO",120,2020,0.0594059405940594,"COMale"
"163","CO","NWH","Male",2010,"G6/G7",220,2020,0.108910891089109,"COMale"
"164","CO","NWH","Male",2010,"SEO/HEO",400,2020,0.198019801980198,"COMale"
"165","CO","NWH","Male",2010,"SCS",80,2020,0.0396039603960396,"COMale"
