"Dept","Managed","value","measure","Period","group"
"FCO","Departmental Group",-0.0137488542621448,"Perc_Change","2011Q3","FCO-Departmental Group"
"GEO","Departmental Group",NA,"Perc_Change","2011Q3","GEO-Departmental Group"
"HMRC","Departmental Group",-0.00856982298398427,"Perc_Change","2011Q3","HMRC-Departmental Group"
"HMT","Departmental Group",0.0196078431372549,"Perc_Change","2011Q3","HMT-Departmental Group"
"HO","Departmental Group",-0.0277461041429114,"Perc_Change","2011Q3","HO-Departmental Group"
"MoD","Departmental Group",-0.0130164119977363,"Perc_Change","2011Q3","MoD-Departmental Group"
"MoJ","Departmental Group",-0.0113083497698882,"Perc_Change","2011Q3","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Perc_Change","2011Q3","NIO-Departmental Group"
"Scot Gov","Departmental Group",-0.00679431747992588,"Perc_Change","2011Q3","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",-0.0358490566037736,"Perc_Change","2011Q3","Welsh Gov-Departmental Group"
"Total","Y",-0.0191904302965021,"Perc_Change","2011Q3","Total-Y"
"Total","N",-0.0178768705433363,"Perc_Change","2011Q3","Total-N"
"Total","Departmental Group",-0.01890129324638,"Perc_Change","2011Q3","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",-0.0191809227579057,"Perc_Change","2011Q3","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",-0.0178768705433363,"Perc_Change","2011Q3","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",-0.0188903064079321,"Perc_Change","2011Q3","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",-0.0194891285133463,"Perc_Change","2011Q3","Total employment-Total Employment ONS total"
"AGO","Y",0,"Perc_Change","2011Q4","AGO-Y"
"BIS","Y",0.0104166666666667,"Perc_Change","2011Q4","BIS-Y"
"CO","Y",0.00574712643678161,"Perc_Change","2011Q4","CO-Y"
"DCLG","Y",-0.118483412322275,"Perc_Change","2011Q4","DCLG-Y"
"DCMS","Y",0,"Perc_Change","2011Q4","DCMS-Y"
"DECC","Y",0.0336134453781513,"Perc_Change","2011Q4","DECC-Y"
"DEFRA","Y",-0.0089086859688196,"Perc_Change","2011Q4","DEFRA-Y"
"DfE","Y",0.072289156626506,"Perc_Change","2011Q4","DfE-Y"
"DfID","Y",0.0384615384615385,"Perc_Change","2011Q4","DfID-Y"
"DfT","Y",-0.0292397660818713,"Perc_Change","2011Q4","DfT-Y"
"DH","Y",-0.0168776371308017,"Perc_Change","2011Q4","DH-Y"
"DWP","Y",-0.0128205128205128,"Perc_Change","2011Q4","DWP-Y"
"FCO","Y",0.0587155963302752,"Perc_Change","2011Q4","FCO-Y"
"GEO","Y",NA,"Perc_Change","2011Q4","GEO-Y"
"HMRC","Y",-0.00193798449612403,"Perc_Change","2011Q4","HMRC-Y"
"HMT","Y",-0.0176991150442478,"Perc_Change","2011Q4","HMT-Y"
"HO","Y",-0.027089072543618,"Perc_Change","2011Q4","HO-Y"
"MoD","Y",-0.0532847923216945,"Perc_Change","2011Q4","MoD-Y"
"MoJ","Y",-0.0302900414344906,"Perc_Change","2011Q4","MoJ-Y"
"NIO","Y",0,"Perc_Change","2011Q4","NIO-Y"
"Scot Gov","Y",NA,"Perc_Change","2011Q4","Scot Gov-Y"
"Welsh Gov","Y",NA,"Perc_Change","2011Q4","Welsh Gov-Y"
"AGO","N",-0.0141843971631206,"Perc_Change","2011Q4","AGO-N"
"BIS","N",-0.0222841225626741,"Perc_Change","2011Q4","BIS-N"
"CO","N",-0.0214285714285714,"Perc_Change","2011Q4","CO-N"
"DCLG","N",0,"Perc_Change","2011Q4","DCLG-N"
"DCMS","N",0,"Perc_Change","2011Q4","DCMS-N"
"DECC","N",0.0192307692307692,"Perc_Change","2011Q4","DECC-N"
"DEFRA","N",-0.0239808153477218,"Perc_Change","2011Q4","DEFRA-N"
"DfE","N",-0.00628930817610063,"Perc_Change","2011Q4","DfE-N"
"DfID","N",NA,"Perc_Change","2011Q4","DfID-N"
"DfT","N",-0.00582147477360931,"Perc_Change","2011Q4","DfT-N"
"DH","N",-0.0133928571428571,"Perc_Change","2011Q4","DH-N"
"DWP","N",-0.00301204819277108,"Perc_Change","2011Q4","DWP-N"
"FCO","N",-0.00376647834274953,"Perc_Change","2011Q4","FCO-N"
"GEO","N",NA,"Perc_Change","2011Q4","GEO-N"
"HMRC","N",0,"Perc_Change","2011Q4","HMRC-N"
"HMT","N",0,"Perc_Change","2011Q4","HMT-N"
"HO","N",-0.0368421052631579,"Perc_Change","2011Q4","HO-N"
"MoD","N",-0.0250990752972259,"Perc_Change","2011Q4","MoD-N"
"MoJ","N",0.0136986301369863,"Perc_Change","2011Q4","MoJ-N"
"NIO","N",NA,"Perc_Change","2011Q4","NIO-N"
"Scot Gov","N",-0.0174129353233831,"Perc_Change","2011Q4","Scot Gov-N"
"Welsh Gov","N",-0.00195694716242661,"Perc_Change","2011Q4","Welsh Gov-N"
"AGO","Departmental Group",-0.0141176470588235,"Perc_Change","2011Q4","AGO-Departmental Group"
"BIS","Departmental Group",-0.0168213457076566,"Perc_Change","2011Q4","BIS-Departmental Group"
"CO","Departmental Group",-0.0134680134680135,"Perc_Change","2011Q4","CO-Departmental Group"
"DCLG","Departmental Group",-0.0847457627118644,"Perc_Change","2011Q4","DCLG-Departmental Group"
"DCMS","Departmental Group",0,"Perc_Change","2011Q4","DCMS-Departmental Group"
"DECC","Departmental Group",0.0292397660818713,"Perc_Change","2011Q4","DECC-Departmental Group"
"DEFRA","Departmental Group",-0.0161662817551963,"Perc_Change","2011Q4","DEFRA-Departmental Group"
"DfE","Departmental Group",0.0416666666666667,"Perc_Change","2011Q4","DfE-Departmental Group"
"DfID","Departmental Group",0.0384615384615385,"Perc_Change","2011Q4","DfID-Departmental Group"
"DfT","Departmental Group",-0.0081537565521258,"Perc_Change","2011Q4","DfT-Departmental Group"
"DH","Departmental Group",-0.0151843817787419,"Perc_Change","2011Q4","DH-Departmental Group"
"DWP","Departmental Group",-0.0125024418831803,"Perc_Change","2011Q4","DWP-Departmental Group"
"FCO","Departmental Group",0.0278810408921933,"Perc_Change","2011Q4","FCO-Departmental Group"
"GEO","Departmental Group",NA,"Perc_Change","2011Q4","GEO-Departmental Group"
"HMRC","Departmental Group",-0.00184214255349299,"Perc_Change","2011Q4","HMRC-Departmental Group"
"HMT","Departmental Group",-0.0128205128205128,"Perc_Change","2011Q4","HMT-Departmental Group"
"HO","Departmental Group",-0.0285379202501955,"Perc_Change","2011Q4","HO-Departmental Group"
"MoD","Departmental Group",-0.0501470588235294,"Perc_Change","2011Q4","MoD-Departmental Group"
"MoJ","Departmental Group",-0.0298359728506787,"Perc_Change","2011Q4","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Perc_Change","2011Q4","NIO-Departmental Group"
"Scot Gov","Departmental Group",-0.0174129353233831,"Perc_Change","2011Q4","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",-0.00195694716242661,"Perc_Change","2011Q4","Welsh Gov-Departmental Group"
"Total","Y",-0.0204907372619288,"Perc_Change","2011Q4","Total-Y"
"Total","N",-0.0142141323243685,"Perc_Change","2011Q4","Total-N"
"Total","Departmental Group",-0.0191077061739522,"Perc_Change","2011Q4","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",-0.0217582804792107,"Perc_Change","2011Q4","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",-0.0142141323243685,"Perc_Change","2011Q4","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",-0.0200752823086575,"Perc_Change","2011Q4","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",-0.0191553612475774,"Perc_Change","2011Q4","Total employment-Total Employment ONS total"
"AGO","Y",0,"Perc_Change","2012Q1","AGO-Y"
"BIS","Y",0.0240549828178694,"Perc_Change","2012Q1","BIS-Y"
"CO","Y",0.00571428571428571,"Perc_Change","2012Q1","CO-Y"
"DCLG","Y",-0.021505376344086,"Perc_Change","2012Q1","DCLG-Y"
"DCMS","Y",-0.0217391304347826,"Perc_Change","2012Q1","DCMS-Y"
"DECC","Y",0.0487804878048781,"Perc_Change","2012Q1","DECC-Y"
"DEFRA","Y",-0.00224719101123596,"Perc_Change","2012Q1","DEFRA-Y"
"DfE","Y",0.00374531835205993,"Perc_Change","2012Q1","DfE-Y"
"DfID","Y",0.0185185185185185,"Perc_Change","2012Q1","DfID-Y"
"DfT","Y",-0.0180722891566265,"Perc_Change","2012Q1","DfT-Y"
"DH","Y",-0.0171673819742489,"Perc_Change","2012Q1","DH-Y"
"DWP","Y",-0.0128847530422334,"Perc_Change","2012Q1","DWP-Y"
"FCO","Y",0.00173310225303293,"Perc_Change","2012Q1","FCO-Y"
"GEO","Y",NA,"Perc_Change","2012Q1","GEO-Y"
"HMRC","Y",-0.00716952949962659,"Perc_Change","2012Q1","HMRC-Y"
"HMT","Y",0.0630630630630631,"Perc_Change","2012Q1","HMT-Y"
"HO","Y",-0.00566304860783388,"Perc_Change","2012Q1","HO-Y"
"MoD","Y",-0.0517392064324419,"Perc_Change","2012Q1","MoD-Y"
"MoJ","Y",-0.0187122439958745,"Perc_Change","2012Q1","MoJ-Y"
"NIO","Y",0.2,"Perc_Change","2012Q1","NIO-Y"
"Scot Gov","Y",NA,"Perc_Change","2012Q1","Scot Gov-Y"
"Welsh Gov","Y",NA,"Perc_Change","2012Q1","Welsh Gov-Y"
"AGO","N",0,"Perc_Change","2012Q1","AGO-N"
"BIS","N",-0.0263532763532764,"Perc_Change","2012Q1","BIS-N"
"CO","N",-0.0291970802919708,"Perc_Change","2012Q1","CO-N"
"DCLG","N",-0.0238095238095238,"Perc_Change","2012Q1","DCLG-N"
"DCMS","N",0.0909090909090909,"Perc_Change","2012Q1","DCMS-N"
"DECC","N",0.0377358490566038,"Perc_Change","2012Q1","DECC-N"
"DEFRA","N",-0.00491400491400491,"Perc_Change","2012Q1","DEFRA-N"
"DfE","N",0,"Perc_Change","2012Q1","DfE-N"
"DfID","N",NA,"Perc_Change","2012Q1","DfID-N"
"DfT","N",-0.00520494469746259,"Perc_Change","2012Q1","DfT-N"
"DH","N",-0.0135746606334842,"Perc_Change","2012Q1","DH-N"
"DWP","N",-0.0120845921450151,"Perc_Change","2012Q1","DWP-N"
"FCO","N",0,"Perc_Change","2012Q1","FCO-N"
"GEO","N",NA,"Perc_Change","2012Q1","GEO-N"
"HMRC","N",-0.00573065902578797,"Perc_Change","2012Q1","HMRC-N"
"HMT","N",0,"Perc_Change","2012Q1","HMT-N"
"HO","N",-0.0245901639344262,"Perc_Change","2012Q1","HO-N"
"MoD","N",-0.040650406504065,"Perc_Change","2012Q1","MoD-N"
"MoJ","N",0.0135135135135135,"Perc_Change","2012Q1","MoJ-N"
"NIO","N",NA,"Perc_Change","2012Q1","NIO-N"
"Scot Gov","N",-0.00506329113924051,"Perc_Change","2012Q1","Scot Gov-N"
"Welsh Gov","N",0.0137254901960784,"Perc_Change","2012Q1","Welsh Gov-N"
"AGO","Departmental Group",0,"Perc_Change","2012Q1","AGO-Departmental Group"
"BIS","Departmental Group",-0.0176991150442478,"Perc_Change","2012Q1","BIS-Departmental Group"
"CO","Departmental Group",-0.0187713310580205,"Perc_Change","2012Q1","CO-Departmental Group"
"DCLG","Departmental Group",-0.0222222222222222,"Perc_Change","2012Q1","DCLG-Departmental Group"
"DCMS","Departmental Group",0,"Perc_Change","2012Q1","DCMS-Departmental Group"
"DECC","Departmental Group",0.0454545454545455,"Perc_Change","2012Q1","DECC-Departmental Group"
"DEFRA","Departmental Group",-0.00352112676056338,"Perc_Change","2012Q1","DEFRA-Departmental Group"
"DfE","Departmental Group",0.00235294117647059,"Perc_Change","2012Q1","DfE-Departmental Group"
"DfID","Departmental Group",0.0185185185185185,"Perc_Change","2012Q1","DfID-Departmental Group"
"DfT","Departmental Group",-0.00645918966529654,"Perc_Change","2012Q1","DfT-Departmental Group"
"DH","Departmental Group",-0.0154185022026432,"Perc_Change","2012Q1","DH-Departmental Group"
"DWP","Departmental Group",-0.0128585558852621,"Perc_Change","2012Q1","DWP-Departmental Group"
"FCO","Departmental Group",0.000904159132007233,"Perc_Change","2012Q1","FCO-Departmental Group"
"GEO","Departmental Group",NA,"Perc_Change","2012Q1","GEO-Departmental Group"
"HMRC","Departmental Group",-0.00709823963657013,"Perc_Change","2012Q1","HMRC-Departmental Group"
"HMT","Departmental Group",0.0454545454545455,"Perc_Change","2012Q1","HMT-Departmental Group"
"HO","Departmental Group",-0.00845070422535211,"Perc_Change","2012Q1","HO-Departmental Group"
"MoD","Departmental Group",-0.0504722093203282,"Perc_Change","2012Q1","MoD-Departmental Group"
"MoJ","Departmental Group",-0.0183646698731963,"Perc_Change","2012Q1","MoJ-Departmental Group"
"NIO","Departmental Group",0.2,"Perc_Change","2012Q1","NIO-Departmental Group"
"Scot Gov","Departmental Group",-0.00506329113924051,"Perc_Change","2012Q1","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",0.0137254901960784,"Perc_Change","2012Q1","Welsh Gov-Departmental Group"
"Total","Y",-0.0175557653723593,"Perc_Change","2012Q1","Total-Y"
"Total","N",-0.0109958506224066,"Perc_Change","2012Q1","Total-N"
"Total","Departmental Group",-0.0161030965726362,"Perc_Change","2012Q1","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",-0.0178898394116764,"Perc_Change","2012Q1","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",-0.0109958506224066,"Perc_Change","2012Q1","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",-0.0163426842044,"Perc_Change","2012Q1","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",-0.0159911772814999,"Perc_Change","2012Q1","Total employment-Total Employment ONS total"
"AGO","Y",0,"Perc_Change","2012Q2","AGO-Y"
"BIS","Y",0.0273037542662116,"Perc_Change","2012Q2","BIS-Y"
"CO","Y",-0.00441988950276243,"Perc_Change","2012Q2","CO-Y"
"DCLG","Y",-0.0659340659340659,"Perc_Change","2012Q2","DCLG-Y"
"DCMS","Y",0,"Perc_Change","2012Q2","DCMS-Y"
"DECC","Y",0.0232558139534884,"Perc_Change","2012Q2","DECC-Y"
"DEFRA","Y",-0.0135135135135135,"Perc_Change","2012Q2","DEFRA-Y"
"DfE","Y",0.0149253731343284,"Perc_Change","2012Q2","DfE-Y"
"DfID","Y",0.0242424242424242,"Perc_Change","2012Q2","DfID-Y"
"DfT","Y",0.00613496932515337,"Perc_Change","2012Q2","DfT-Y"
"DH","Y",-0.00873362445414847,"Perc_Change","2012Q2","DH-Y"
"DWP","Y",-0.0161607790324252,"Perc_Change","2012Q2","DWP-Y"
"FCO","Y",0.110726643598616,"Perc_Change","2012Q2","FCO-Y"
"GEO","Y",NA,"Perc_Change","2012Q2","GEO-Y"
"HMRC","Y",-0.0117346171205055,"Perc_Change","2012Q2","HMRC-Y"
"HMT","Y",-0.00847457627118644,"Perc_Change","2012Q2","HMT-Y"
"HO","Y",-0.00427147603227337,"Perc_Change","2012Q2","HO-Y"
"MoD","Y",-0.031889400921659,"Perc_Change","2012Q2","MoD-Y"
"MoJ","Y",-0.018018018018018,"Perc_Change","2012Q2","MoJ-Y"
"NIO","Y",0.5,"Perc_Change","2012Q2","NIO-Y"
"Scot Gov","Y",NA,"Perc_Change","2012Q2","Scot Gov-Y"
"Welsh Gov","Y",NA,"Perc_Change","2012Q2","Welsh Gov-Y"
"AGO","N",-0.00719424460431655,"Perc_Change","2012Q2","AGO-N"
"BIS","N",-0.00146305779078274,"Perc_Change","2012Q2","BIS-N"
"CO","N",-0.0857142857142857,"Perc_Change","2012Q2","CO-N"
"DCLG","N",0.024390243902439,"Perc_Change","2012Q2","DCLG-N"
"DCMS","N",0.0833333333333333,"Perc_Change","2012Q2","DCMS-N"
"DECC","N",0.0363636363636364,"Perc_Change","2012Q2","DECC-N"
"DEFRA","N",-0.0197530864197531,"Perc_Change","2012Q2","DEFRA-N"
"DfE","N",-0.0253164556962025,"Perc_Change","2012Q2","DfE-N"
"DfID","N",NA,"Perc_Change","2012Q2","DfID-N"
"DfT","N",-0.00588620013080445,"Perc_Change","2012Q2","DfT-N"
"DH","N",0,"Perc_Change","2012Q2","DH-N"
"DWP","N",-0.00917431192660551,"Perc_Change","2012Q2","DWP-N"
"FCO","N",-0.0056710775047259,"Perc_Change","2012Q2","FCO-N"
"GEO","N",NA,"Perc_Change","2012Q2","GEO-N"
"HMRC","N",0,"Perc_Change","2012Q2","HMRC-N"
"HMT","N",-0.0232558139534884,"Perc_Change","2012Q2","HMT-N"
"HO","N",-0.00840336134453781,"Perc_Change","2012Q2","HO-N"
"MoD","N",0.00564971751412429,"Perc_Change","2012Q2","MoD-N"
"MoJ","N",0,"Perc_Change","2012Q2","MoJ-N"
"NIO","N",NA,"Perc_Change","2012Q2","NIO-N"
"Scot Gov","N",0.00318066157760814,"Perc_Change","2012Q2","Scot Gov-N"
"Welsh Gov","N",0.011605415860735,"Perc_Change","2012Q2","Welsh Gov-N"
"AGO","Departmental Group",-0.00715990453460621,"Perc_Change","2012Q2","AGO-Departmental Group"
"BIS","Departmental Group",0.0036144578313253,"Perc_Change","2012Q2","BIS-Departmental Group"
"CO","Departmental Group",-0.0603448275862069,"Perc_Change","2012Q2","CO-Departmental Group"
"DCLG","Departmental Group",-0.0378787878787879,"Perc_Change","2012Q2","DCLG-Departmental Group"
"DCMS","Departmental Group",0.0175438596491228,"Perc_Change","2012Q2","DCMS-Departmental Group"
"DECC","Departmental Group",0.0271739130434783,"Perc_Change","2012Q2","DECC-Departmental Group"
"DEFRA","Departmental Group",-0.016489988221437,"Perc_Change","2012Q2","DEFRA-Departmental Group"
"DfE","Departmental Group",0,"Perc_Change","2012Q2","DfE-Departmental Group"
"DfID","Departmental Group",0.0242424242424242,"Perc_Change","2012Q2","DfID-Departmental Group"
"DfT","Departmental Group",-0.00472813238770686,"Perc_Change","2012Q2","DfT-Departmental Group"
"DH","Departmental Group",-0.00447427293064877,"Perc_Change","2012Q2","DH-Departmental Group"
"DWP","Departmental Group",-0.0159318637274549,"Perc_Change","2012Q2","DWP-Departmental Group"
"FCO","Departmental Group",0.0551038843721771,"Perc_Change","2012Q2","FCO-Departmental Group"
"GEO","Departmental Group",NA,"Perc_Change","2012Q2","GEO-Departmental Group"
"HMRC","Departmental Group",-0.0111524163568773,"Perc_Change","2012Q2","HMRC-Departmental Group"
"HMT","Departmental Group",-0.0124223602484472,"Perc_Change","2012Q2","HMT-Departmental Group"
"HO","Departmental Group",-0.00487012987012987,"Perc_Change","2012Q2","HO-Departmental Group"
"MoD","Departmental Group",-0.0275558454263819,"Perc_Change","2012Q2","MoD-Departmental Group"
"MoJ","Departmental Group",-0.0178173719376392,"Perc_Change","2012Q2","MoJ-Departmental Group"
"NIO","Departmental Group",0.5,"Perc_Change","2012Q2","NIO-Departmental Group"
"Scot Gov","Departmental Group",0.00318066157760814,"Perc_Change","2012Q2","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",0.011605415860735,"Perc_Change","2012Q2","Welsh Gov-Departmental Group"
"Total","Y",-0.0141394119590353,"Perc_Change","2012Q2","Total-Y"
"Total","N",-0.00558002936857562,"Perc_Change","2012Q2","Total-N"
"Total","Departmental Group",-0.0122341294856529,"Perc_Change","2012Q2","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",-0.0163452428252697,"Perc_Change","2012Q2","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",-0.00558002936857562,"Perc_Change","2012Q2","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",-0.0139161716327835,"Perc_Change","2012Q2","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",-0.00947977958345008,"Perc_Change","2012Q2","Total employment-Total Employment ONS total"
"AGO","Y",0,"Perc_Change","2012Q3","AGO-Y"
"BIS","Y",-0.00986842105263158,"Perc_Change","2012Q3","BIS-Y"
"CO","Y",-0.0157894736842105,"Perc_Change","2012Q3","CO-Y"
"DCLG","Y",-0.0117647058823529,"Perc_Change","2012Q3","DCLG-Y"
"DCMS","Y",0.155555555555556,"Perc_Change","2012Q3","DCMS-Y"
"DECC","Y",0.0378787878787879,"Perc_Change","2012Q3","DECC-Y"
"DEFRA","Y",-0.0136986301369863,"Perc_Change","2012Q3","DEFRA-Y"
"DfE","Y",-0.0286458333333333,"Perc_Change","2012Q3","DfE-Y"
"DfID","Y",0.0118343195266272,"Perc_Change","2012Q3","DfID-Y"
"DfT","Y",0.0121951219512195,"Perc_Change","2012Q3","DfT-Y"
"DH","Y",-0.00440528634361234,"Perc_Change","2012Q3","DH-Y"
"DWP","Y",0.00263241023481099,"Perc_Change","2012Q3","DWP-Y"
"FCO","Y",-0.280373831775701,"Perc_Change","2012Q3","FCO-Y"
"GEO","Y",NA,"Perc_Change","2012Q3","GEO-Y"
"HMRC","Y",-0.0155274775460496,"Perc_Change","2012Q3","HMRC-Y"
"HMT","Y",0,"Perc_Change","2012Q3","HMT-Y"
"HO","Y",-0.00381315538608198,"Perc_Change","2012Q3","HO-Y"
"MoD","Y",-0.0175171363290175,"Perc_Change","2012Q3","MoD-Y"
"MoJ","Y",-0.0165137614678899,"Perc_Change","2012Q3","MoJ-Y"
"NIO","Y",0,"Perc_Change","2012Q3","NIO-Y"
"Scot Gov","Y",NA,"Perc_Change","2012Q3","Scot Gov-Y"
"Welsh Gov","Y",NA,"Perc_Change","2012Q3","Welsh Gov-Y"
"AGO","N",-0.0120772946859903,"Perc_Change","2012Q3","AGO-N"
"BIS","N",-0.00732600732600733,"Perc_Change","2012Q3","BIS-N"
"CO","N",0.0111731843575419,"Perc_Change","2012Q3","CO-N"
"DCLG","N",-0.0238095238095238,"Perc_Change","2012Q3","DCLG-N"
"DCMS","N",0,"Perc_Change","2012Q3","DCMS-N"
"DECC","N",0.087719298245614,"Perc_Change","2012Q3","DECC-N"
"DEFRA","N",-0.0151133501259446,"Perc_Change","2012Q3","DEFRA-N"
"DfE","N",-0.038961038961039,"Perc_Change","2012Q3","DfE-N"
"DfID","N",NA,"Perc_Change","2012Q3","DfID-N"
"DfT","N",-0.00592105263157895,"Perc_Change","2012Q3","DfT-N"
"DH","N",0.00458715596330275,"Perc_Change","2012Q3","DH-N"
"DWP","N",-0.00308641975308642,"Perc_Change","2012Q3","DWP-N"
"FCO","N",0.159695817490494,"Perc_Change","2012Q3","FCO-N"
"GEO","N",NA,"Perc_Change","2012Q3","GEO-N"
"HMRC","N",0.00864553314121038,"Perc_Change","2012Q3","HMRC-N"
"HMT","N",0.0238095238095238,"Perc_Change","2012Q3","HMT-N"
"HO","N",-0.00282485875706215,"Perc_Change","2012Q3","HO-N"
"MoD","N",0.00561797752808989,"Perc_Change","2012Q3","MoD-N"
"MoJ","N",0,"Perc_Change","2012Q3","MoJ-N"
"NIO","N",NA,"Perc_Change","2012Q3","NIO-N"
"Scot Gov","N",-0.00507292327203551,"Perc_Change","2012Q3","Scot Gov-N"
"Welsh Gov","N",0.0152963671128107,"Perc_Change","2012Q3","Welsh Gov-N"
"AGO","Departmental Group",-0.0120192307692308,"Perc_Change","2012Q3","AGO-Departmental Group"
"BIS","Departmental Group",-0.00778909526662672,"Perc_Change","2012Q3","BIS-Departmental Group"
"CO","Departmental Group",0.00182481751824818,"Perc_Change","2012Q3","CO-Departmental Group"
"DCLG","Departmental Group",-0.015748031496063,"Perc_Change","2012Q3","DCLG-Departmental Group"
"DCMS","Departmental Group",0.120689655172414,"Perc_Change","2012Q3","DCMS-Departmental Group"
"DECC","Departmental Group",0.0529100529100529,"Perc_Change","2012Q3","DECC-Departmental Group"
"DEFRA","Departmental Group",-0.0143712574850299,"Perc_Change","2012Q3","DEFRA-Departmental Group"
"DfE","Departmental Group",-0.0315985130111524,"Perc_Change","2012Q3","DfE-Departmental Group"
"DfID","Departmental Group",0.0118343195266272,"Perc_Change","2012Q3","DfID-Departmental Group"
"DfT","Departmental Group",-0.00415676959619952,"Perc_Change","2012Q3","DfT-Departmental Group"
"DH","Departmental Group",0,"Perc_Change","2012Q3","DH-Departmental Group"
"DWP","Departmental Group",0.00244374299969453,"Perc_Change","2012Q3","DWP-Departmental Group"
"FCO","Departmental Group",-0.0821917808219178,"Perc_Change","2012Q3","FCO-Departmental Group"
"GEO","Departmental Group",NA,"Perc_Change","2012Q3","GEO-Departmental Group"
"HMRC","Departmental Group",-0.0143146327356854,"Perc_Change","2012Q3","HMRC-Departmental Group"
"HMT","Departmental Group",0.00641025641025641,"Perc_Change","2012Q3","HMT-Departmental Group"
"HO","Departmental Group",-0.00367047308319739,"Perc_Change","2012Q3","HO-Departmental Group"
"MoD","Departmental Group",-0.0147551978537894,"Perc_Change","2012Q3","MoD-Departmental Group"
"MoJ","Departmental Group",-0.0163265306122449,"Perc_Change","2012Q3","MoJ-Departmental Group"
"NIO","Departmental Group",0,"Perc_Change","2012Q3","NIO-Departmental Group"
"Scot Gov","Departmental Group",-0.00507292327203551,"Perc_Change","2012Q3","Scot Gov-Departmental Group"
"Welsh Gov","Departmental Group",0.0152963671128107,"Perc_Change","2012Q3","Welsh Gov-Departmental Group"
"Total","Y",-0.0144166565497147,"Perc_Change","2012Q3","Total-Y"
"Total","N",0.00601646611779607,"Perc_Change","2012Q3","Total-N"
"Total","Departmental Group",-0.00985337796426383,"Perc_Change","2012Q3","Total-Departmental Group"
"Total excl. Whitehall FCO","Y",-0.00913143069398873,"Perc_Change","2012Q3","Total excl. Whitehall FCO-Y"
"Total excl. Whitehall FCO","N",0.00601646611779607,"Perc_Change","2012Q3","Total excl. Whitehall FCO-N"
"Total excl. Whitehall FCO","Departmental Group",-0.00569650550502633,"Perc_Change","2012Q3","Total excl. Whitehall FCO-Departmental Group"
"Total employment","Total Employment ONS total",-0.0099712413370421,"Perc_Change","2012Q3","Total employment-Total Employment ONS total"
"AGO","Y",0,"Perc_Change","2012Q4","AGO-Y"
"BIS","Y",0.00332225913621262,"Perc_Change","2012Q4","BIS-Y"
"CO","Y",0.0160427807486631,"Perc_Change","2012Q4","CO-Y"
"DCLG","Y",-0.0119047619047619,"Perc_Change","2012Q4","DCLG-Y"
"DCMS","Y",-0.230769230769231,"Perc_Change","2012Q4","DCMS-Y"
"DECC","Y",0.0145985401459854,"Perc_Change","2012Q4","DECC-Y"
"DEFRA","Y",0,"Perc_Change","2012Q4","DEFRA-Y"
"DfE","Y",0.00268096514745308,"Perc_Change","2012Q4","DfE-Y"
"DfID","Y",0.0116959064327485,"Perc_Change","2012Q4","DfID-Y"
"DfT","Y",0.0240963855421687,"Perc_Change","2012Q4","DfT-Y"
"DH","Y",-0.00884955752212389,"Perc_Change","2012Q4","DH-Y"
"DWP","Y",-0.0117622348246167,"Perc_Change","2012Q4","DWP-Y"
"FCO","Y",0.0303030303030303,"Perc_Change","2012Q4","FCO-Y"
"GEO","Y",NA,"Perc_Change","2012Q4","GEO-Y"
"HMRC","Y",-0.00479356734188959,"Perc_Change","2012Q4","HMRC-Y"
"HMT","Y",-0.0087719298245614,"Perc_Change","2012Q4","HMT-Y"
"HO","Y",0.0062200956937799,"Perc_Change","2012Q4","HO-Y"
"MoD","Y",-0.0277131782945736,"Perc_Change","2012Q4","MoD-Y"
"MoJ","Y",-0.00948383084577114,"Perc_Change","2012Q4","MoJ-Y"
"NIO","Y",0,"Perc_Change","2012Q4","NIO-Y"
"Scot Gov","Y",NA,"Perc_Change","2012Q4","Scot Gov-Y"
"Welsh Gov","Y",NA,"Perc_Change","2012Q4","Welsh Gov-Y"
"AGO","N",-0.0122249388753056,"Perc_Change","2012Q4","AGO-N"
