"puborg","puburl","saved.as","extension","url","marked.as.csv","filetitle","pubtitle","pubdescription","date_year","month","senjun","organogram","staff","workforce","annual","payments","strategy","special","recruitment","meetings","earners","hospitality","expenses","spending","ministerial","travel","business","date","abbrev","coredept","include","filename"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/government-offices-staff-data-and-organogram-30-june-2010","Department for Communities and Local Government_177","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/6190/1742021.csv","TRUE","Government Office Network senior salaries dataset (.csv format)","Government offices staff data and organogram: 30 June 2010","Posts and salary data for staff in the government offices network.","2010","June","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010 June","DCLG",TRUE,TRUE,"Department for Communities and Local Government_177.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/queen-elizabeth-ii-conference-centre-staff-data-and-organogram","Department for Communities and Local Government_168","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/6194/1751839.csv","TRUE","QEII Conference Centre senior posts dataset (.csv format)","Queen Elizabeth II Conference Centre staff data and organogram","Organogram and salary datasets for staff at the Queen Elizabeth II Conference Centre.
",NA,NA,"senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","DCLG",TRUE,TRUE,"Department for Communities and Local Government_168.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/dclg-staff-data-and-organogram-march-2012--6","Department for Communities and Local Government_206","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/11585/2162247.csv","TRUE","DCLG: senior post data set (.csv format)","DCLG staff data and organogram: March 2012","Details of junior and senior posts at DCLG, their salary information and an organisational chart.	","2012","March","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 March","DCLG",TRUE,TRUE,"Department for Communities and Local Government_206.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/dclg-staff-data-and-organogram-september-2011--4","Department for Communities and Local Government_216","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/11583/2039730.csv","TRUE","DCLG: senior post data set (.csv format)","DCLG staff data and organogram: September 2011","Details of junior and senior posts at DCLG, their salary information and an organisational chart.	","2011","September","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 September","DCLG",TRUE,TRUE,"Department for Communities and Local Government_216.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/dclg-staff-data-and-organogram-march-2013","Department for Communities and Local Government_199","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/209166/DCLG-organogram-March-2013-senior-data.csv","TRUE","DCLG: senior post dataset (.csv format)","DCLG staff data and organogram: March 2013","Details of junior and senior posts at the Department for Communities and Local Government.","2013","March","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 March","DCLG",TRUE,TRUE,"Department for Communities and Local Government_199.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/dclg-staff-data-and-organogram-june-2010","Department for Communities and Local Government_212","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/11373/Department_for_Communities_and_Local_Government_senior_post_dataset__.csv_format_.csv","TRUE","DCLG: senior post data set (.csv format)","DCLG staff data and organogram: June 2010","Details of junior and senior posts at the DCLG, their salary information and an organisational chart.","2010","June","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010 June","DCLG",TRUE,TRUE,"Department for Communities and Local Government_212.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/queen-elizabeth-ii-conference-centre-staff-data-and-organogram","Department for Communities and Local Government_169","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/6195/1751850.csv","TRUE","QEII Conference Centre senior salaries dataset (.csv format)","Queen Elizabeth II Conference Centre staff data and organogram","Organogram and salary datasets for staff at the Queen Elizabeth II Conference Centre.
",NA,NA,"senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA","DCLG",TRUE,TRUE,"Department for Communities and Local Government_169.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/dclg-staff-data-and-organogram-december-2012","Department for Communities and Local Government_202","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/28618/DCLG-Organogram-and-Staff-Data-senior-data.csv","TRUE","DCLG: senior post dataset (.csv format)","DCLG staff data and organogram: December 2012","Details of junior and senior posts at the DCLG, their salary information and an organisational chart. ","2012","December","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012 December","DCLG",TRUE,TRUE,"Department for Communities and Local Government_202.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/dclg-staff-data-and-organogram-march-2011--4","Department for Communities and Local Government_222","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/11581/1923732.csv","TRUE","DCLG: senior post data set (.csv format)","DCLG staff data and organogram: March 2011","Details of junior and senior posts at DCLG, their salary information and an organisational chart.	","2011","March","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011 March","DCLG",TRUE,TRUE,"Department for Communities and Local Government_222.csv"
"Department for Communities and Local Government","http://www.gov.uk/government/publications/dclg-staff-data-and-organogram-september-2013","Department for Communities and Local Government_154","csv","http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/269234/DCLG-Government-staff-and-salary-data-blank-template---September-2013-FINAL-senior-data.csv","TRUE","DCLG: senior post dataset (.csv format)","DCLG staff data and organogram: September 2013","Details of junior and senior posts at the Department for Communities and Local Government.","2013","September","senior","organogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013 September","DCLG",TRUE,TRUE,"Department for Communities and Local Government_154.csv"
