"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"47","DCMS",2012,"All grades","Disabled",10,320,0.03125,0.0645161290322581,FALSE,"DCMSAll grades",0.03125
"48","DCMS",2013,"All grades","Disabled",20,310,0.0645161290322581,0.0645161290322581,FALSE,"DCMSAll grades",0.0645161290322581
"49","DECC",2008,"SCS","Disabled",0,0,NA,0.0816326530612245,FALSE,"DECCSCS",NA
"50","DECC",2010,"All grades","Disabled",50,730,0.0684931506849315,0.0816326530612245,FALSE,"DECCAll grades",0.0684931506849315
"51","DECC",2008,"All grades","Disabled",0,0,NA,0.0816326530612245,FALSE,"DECCAll grades",NA
"52","DECC",2012,"SCS","Disabled",0,70,0,0.0816326530612245,FALSE,"DECCSCS",0
"53","DECC",2011,"SCS","Disabled",0,70,0,0.0816326530612245,FALSE,"DECCSCS",0
"54","DECC",2009,"All grades","Disabled",40,240,0.166666666666667,0.0816326530612245,FALSE,"DECCAll grades",0.166666666666667
"55","DECC",2013,"SCS","Disabled",0,80,0,0.0816326530612245,FALSE,"DECCSCS",0
"56","DECC",2009,"SCS","Disabled",0,10,0,0.0816326530612245,FALSE,"DECCSCS",0
"57","DECC",2011,"All grades","Disabled",60,840,0.0714285714285714,0.0816326530612245,FALSE,"DECCAll grades",0.0714285714285714
"58","DECC",2010,"SCS","Disabled",0,50,0,0.0816326530612245,FALSE,"DECCSCS",0
"59","DECC",2013,"All grades","Disabled",80,980,0.0816326530612245,0.0816326530612245,FALSE,"DECCAll grades",0.0816326530612245
"60","DECC",2012,"All grades","Disabled",80,910,0.0879120879120879,0.0816326530612245,FALSE,"DECCAll grades",0.0879120879120879
"61","Defra",2013,"All grades","Disabled",150,1300,0.115384615384615,0.115384615384615,FALSE,"DefraAll grades",0.115384615384615
"62","Defra",2012,"SCS","Disabled",0,40,0,0.115384615384615,FALSE,"DefraSCS",0
"63","Defra",2008,"All grades","Disabled",150,3050,0.0491803278688525,0.115384615384615,FALSE,"DefraAll grades",0.0491803278688525
"64","Defra",2010,"All grades","Disabled",140,800,0.175,0.115384615384615,FALSE,"DefraAll grades",0.175
"65","Defra",2010,"SCS","Disabled",10,30,0.333333333333333,0.115384615384615,FALSE,"DefraSCS",0.333333333333333
"66","Defra",2012,"All grades","Disabled",150,1350,0.111111111111111,0.115384615384615,FALSE,"DefraAll grades",0.111111111111111
"67","Defra",2009,"SCS","Disabled",10,140,0.0714285714285714,0.115384615384615,FALSE,"DefraSCS",0.0714285714285714
"68","Defra",2011,"SCS","Disabled",10,60,0.166666666666667,0.115384615384615,FALSE,"DefraSCS",0.166666666666667
"69","Defra",2013,"SCS","Disabled",0,40,0,0.115384615384615,FALSE,"DefraSCS",0
"70","Defra",2009,"All grades","Disabled",140,2720,0.0514705882352941,0.115384615384615,FALSE,"DefraAll grades",0.0514705882352941
"71","Defra",2011,"All grades","Disabled",170,1680,0.101190476190476,0.115384615384615,FALSE,"DefraAll grades",0.101190476190476
"72","Defra",2008,"SCS","Disabled",0,150,0,0.115384615384615,FALSE,"DefraSCS",0
"73","DfE",2008,"SCS","Disabled",0,110,0,0.111940298507463,FALSE,"DfESCS",0
"74","DfE",2011,"All grades","Disabled",190,2200,0.0863636363636364,0.111940298507463,FALSE,"DfEAll grades",0.0863636363636364
"75","DfE",2013,"All grades","Disabled",450,4020,0.111940298507463,0.111940298507463,FALSE,"DfEAll grades",0.111940298507463
"76","DfE",2010,"SCS","Disabled",0,120,0,0.111940298507463,FALSE,"DfESCS",0
"77","DfE",2008,"All grades","Disabled",240,2790,0.0860215053763441,0.111940298507463,FALSE,"DfEAll grades",0.0860215053763441
