"","Group","Date","Civil.Service.grad","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"166","MoJ",2013,"AO/AA",1,"Female",-620,4490,-0.138084632516704,"MoJFemale",0.21826280623608,0.21826280623608,0.517149220489978,0.517149220489978,FALSE,-0.138084632516704
"167","MoJ",2013,"AO/AA",1,"Male",360,4490,0.0801781737193764,"MoJMale",0.21826280623608,0.21826280623608,0.517149220489978,0.517149220489978,FALSE,0.0801781737193764
"168","MoJ",2013,"EO",2,"Male",340,4490,0.0757238307349666,"MoJMale",0.207126948775056,0.414253897550111,0.517149220489978,0.517149220489978,FALSE,0.0757238307349666
"169","MoJ",2013,"G6/G7",4,"Male",420,4490,0.0935412026726058,"MoJMale",0.175946547884187,0.703786191536748,0.517149220489978,0.517149220489978,FALSE,0.0935412026726058
"170","MoJ",2013,"EO",2,"Female",-590,4490,-0.131403118040089,"MoJFemale",0.207126948775056,0.414253897550111,0.517149220489978,0.517149220489978,FALSE,-0.131403118040089
"171","Whitehall",2013,"AO/AA",1,"Female",-113840,448830,-0.253637234587706,"Whole Civil ServiceFemale",0.440055254773522,0.440055254773522,0.388400953590446,0.388400953590446,TRUE,-0.253637234587706
"172","Whitehall",2013,"SCS",5,"Male",2770,448830,0.00617160172002763,"Whole Civil ServiceMale",0.00966958536639708,0.0483479268319854,0.388400953590446,0.388400953590446,TRUE,0.00617160172002763
"173","Whitehall",2013,"SCS",5,"Female",-1570,448830,-0.00349798364636945,"Whole Civil ServiceFemale",0.00966958536639708,0.0483479268319854,0.388400953590446,0.388400953590446,TRUE,-0.00349798364636945
"174","Whitehall",2013,"G6/G7",4,"Male",20440,448830,0.0455406278546443,"Whole Civil ServiceMale",0.078047367600205,0.31218947040082,0.388400953590446,0.388400953590446,TRUE,0.0455406278546443
"175","Whitehall",2013,"G6/G7",4,"Female",-14590,448830,-0.0325067397455607,"Whole Civil ServiceFemale",0.078047367600205,0.31218947040082,0.388400953590446,0.388400953590446,TRUE,-0.0325067397455607
"176","Whitehall",2013,"AO/AA",1,"Male",83670,448830,0.186418020185816,"Whole Civil ServiceMale",0.440055254773522,0.440055254773522,0.388400953590446,0.388400953590446,TRUE,0.186418020185816
"177","Whitehall",2013,"EO",2,"Female",-65680,448830,-0.146336029231558,"Whole Civil ServiceFemale",0.258962190584408,0.517924381168817,0.388400953590446,0.388400953590446,TRUE,-0.146336029231558
"178","Whitehall",2013,"EO",2,"Male",50550,448830,0.112626161352851,"Whole Civil ServiceMale",0.258962190584408,0.517924381168817,0.388400953590446,0.388400953590446,TRUE,0.112626161352851
"179","Whitehall",2013,"SEO/HEO",3,"Female",-42550,448830,-0.0948020408617962,"Whole Civil ServiceFemale",0.207829244925696,0.623487734777087,0.388400953590446,0.388400953590446,TRUE,-0.0948020408617962
"180","Whitehall",2013,"SEO/HEO",3,"Male",50730,448830,0.113027204063899,"Whole Civil ServiceMale",0.207829244925696,0.623487734777087,0.388400953590446,0.388400953590446,TRUE,0.113027204063899
