"","Group","Date","Civil.Service.grad","Gender","count","total","share","totalgroup","yvar"
"1011","MoJ",2013,"AO/AA","Female",21540,67980,-0.316857899382171,FALSE,-0.316857899382171
"1012","MoJ",2013,"AO/AA","Male",25470,67980,0.374669020300088,FALSE,0.374669020300088
"1013","MoJ",2013,"EO","Female",5150,67980,-0.0757575757575758,FALSE,-0.0757575757575758
"1014","MoJ",2013,"EO","Male",5040,67980,0.0741394527802295,FALSE,0.0741394527802295
"1015","MoJ",2013,"G6/G7","Female",1000,67980,-0.0147102088849662,FALSE,-0.0147102088849662
"1016","MoJ",2013,"G6/G7","Male",1080,67980,0.0158870255957635,FALSE,0.0158870255957635
"1017","MoJ",2013,"SEO/HEO","Female",4400,67980,-0.0647249190938511,FALSE,-0.0647249190938511
"1018","MoJ",2013,"SEO/HEO","Male",4080,67980,0.060017652250662,FALSE,0.060017652250662
"1019","MoJ",2013,"SCS","Female",70,67980,-0.00102971462194763,FALSE,-0.00102971462194763
"1020","MoJ",2013,"SCS","Male",140,67980,0.00205942924389526,FALSE,0.00205942924389526
"1071","Whole Civil Service",2013,"AO/AA","Female",113840,448830,-0.253637234587706,TRUE,-0.253637234587706
"1072","Whole Civil Service",2013,"AO/AA","Male",83670,448830,0.186418020185816,TRUE,0.186418020185816
"1073","Whole Civil Service",2013,"EO","Female",65680,448830,-0.146336029231558,TRUE,-0.146336029231558
"1074","Whole Civil Service",2013,"EO","Male",50550,448830,0.112626161352851,TRUE,0.112626161352851
"1075","Whole Civil Service",2013,"G6/G7","Female",14590,448830,-0.0325067397455607,TRUE,-0.0325067397455607
"1076","Whole Civil Service",2013,"G6/G7","Male",20440,448830,0.0455406278546443,TRUE,0.0455406278546443
"1077","Whole Civil Service",2013,"SEO/HEO","Female",42550,448830,-0.0948020408617962,TRUE,-0.0948020408617962
"1078","Whole Civil Service",2013,"SEO/HEO","Male",50730,448830,0.113027204063899,TRUE,0.113027204063899
"1079","Whole Civil Service",2013,"SCS","Female",1570,448830,-0.00349798364636945,TRUE,-0.00349798364636945
"1080","Whole Civil Service",2013,"SCS","Male",2770,448830,0.00617160172002763,TRUE,0.00617160172002763
