"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"177","HO",2010,"All grades","Disabled",1450,21650,0.0669745958429561,0.0897703549060543,FALSE,"HOAll grades",0.0669745958429561
"178","HO",2010,"SCS","Disabled",10,200,0.05,0.0897703549060543,FALSE,"HOSCS",0.05
"179","HO",2008,"All grades","Disabled",460,17310,0.0265742345465049,0.0897703549060543,FALSE,"HOAll grades",0.0265742345465049
"180","HO",2009,"SCS","Disabled",10,190,0.0526315789473684,0.0897703549060543,FALSE,"HOSCS",0.0526315789473684
"181","MoD",2012,"SCS","Disabled",10,90,0.111111111111111,0.104797391709362,FALSE,"MoDSCS",0.111111111111111
"182","MoD",2013,"SCS","Disabled",10,120,0.0833333333333333,0.104797391709362,FALSE,"MoDSCS",0.0833333333333333
"183","MoD",2010,"SCS","Disabled",20,300,0.0666666666666667,0.104797391709362,FALSE,"MoDSCS",0.0666666666666667
"184","MoD",2009,"SCS","Disabled",20,310,0.0645161290322581,0.104797391709362,FALSE,"MoDSCS",0.0645161290322581
"185","MoD",2012,"All grades","Disabled",1930,16090,0.119950279676818,0.104797391709362,FALSE,"MoDAll grades",0.119950279676818
"186","MoD",2013,"All grades","Disabled",2250,21470,0.104797391709362,0.104797391709362,FALSE,"MoDAll grades",0.104797391709362
"187","MoD",2010,"All grades","Disabled",3940,59290,0.0664530274919885,0.104797391709362,FALSE,"MoDAll grades",0.0664530274919885
"188","MoD",2008,"SCS","Disabled",10,290,0.0344827586206897,0.104797391709362,FALSE,"MoDSCS",0.0344827586206897
"189","MoD",2011,"SCS","Disabled",20,280,0.0714285714285714,0.104797391709362,FALSE,"MoDSCS",0.0714285714285714
"190","MoD",2008,"All grades","Disabled",3390,58940,0.0575161180861893,0.104797391709362,FALSE,"MoDAll grades",0.0575161180861893
"191","MoD",2011,"All grades","Disabled",4220,57580,0.0732893365751997,0.104797391709362,FALSE,"MoDAll grades",0.0732893365751997
"192","MoD",2009,"All grades","Disabled",3780,59060,0.0640027091093803,0.104797391709362,FALSE,"MoDAll grades",0.0640027091093803
"193","MoJ",2013,"SCS","Disabled",10,130,0.0769230769230769,0.056777856635912,FALSE,"MoJSCS",0.0769230769230769
"194","MoJ",2012,"SCS","Disabled",10,150,0.0666666666666667,0.056777856635912,FALSE,"MoJSCS",0.0666666666666667
"195","MoJ",2009,"SCS","Disabled",0,210,0,0.056777856635912,FALSE,"MoJSCS",0
"196","MoJ",2012,"All grades","Disabled",2460,45130,0.0545091956569909,0.056777856635912,FALSE,"MoJAll grades",0.0545091956569909
"197","MoJ",2011,"SCS","Disabled",0,190,0,0.056777856635912,FALSE,"MoJSCS",0
"198","MoJ",2011,"All grades","Disabled",2900,54690,0.05302614737612,0.056777856635912,FALSE,"MoJAll grades",0.05302614737612
"199","MoJ",2010,"SCS","Disabled",0,220,0,0.056777856635912,FALSE,"MoJSCS",0
"200","MoJ",2013,"All grades","Disabled",2400,42270,0.056777856635912,0.056777856635912,FALSE,"MoJAll grades",0.056777856635912
"201","MoJ",2009,"All grades","Disabled",2910,56010,0.0519550080342796,0.056777856635912,FALSE,"MoJAll grades",0.0519550080342796
"202","MoJ",2010,"All grades","Disabled",2870,54910,0.0522673465671098,0.056777856635912,FALSE,"MoJAll grades",0.0522673465671098
"203","MoJ",2008,"SCS","Disabled",0,220,0,0.056777856635912,FALSE,"MoJSCS",0
"204","MoJ",2008,"All grades","Disabled",2930,56170,0.0521630763752893,0.056777856635912,FALSE,"MoJAll grades",0.0521630763752893
"205","Whole Civil Service",2012,"All grades","Disabled",25760,311710,0.0826409162362452,0.0858525181024126,TRUE,"Whole Civil ServiceAll grades",0.0826409162362452
"206","Whole Civil Service",2011,"All grades","Disabled",28990,374220,0.0774677996900219,0.0858525181024126,TRUE,"Whole Civil ServiceAll grades",0.0774677996900219
"207","Whole Civil Service",2010,"All grades","Disabled",28450,375670,0.0757313599701866,0.0858525181024126,TRUE,"Whole Civil ServiceAll grades",0.0757313599701866
"208","Whole Civil Service",2011,"SCS","Disabled",180,3550,0.0507042253521127,0.0858525181024126,TRUE,"Whole Civil ServiceSCS",0.0507042253521127
"209","Whole Civil Service",2009,"All grades","Disabled",26800,378660,0.0707758939417947,0.0858525181024126,TRUE,"Whole Civil ServiceAll grades",0.0707758939417947
"210","Whole Civil Service",2010,"SCS","Disabled",180,3740,0.0481283422459893,0.0858525181024126,TRUE,"Whole Civil ServiceSCS",0.0481283422459893
"211","Whole Civil Service",2013,"SCS","Disabled",140,3050,0.0459016393442623,0.0858525181024126,TRUE,"Whole Civil ServiceSCS",0.0459016393442623
"212","Whole Civil Service",2008,"SCS","Disabled",130,3780,0.0343915343915344,0.0858525181024126,TRUE,"Whole Civil ServiceSCS",0.0343915343915344
"213","Whole Civil Service",2008,"All grades","Disabled",24620,375490,0.0655676582598738,0.0858525181024126,TRUE,"Whole Civil ServiceAll grades",0.0655676582598738
"214","Whole Civil Service",2009,"SCS","Disabled",170,3890,0.0437017994858612,0.0858525181024126,TRUE,"Whole Civil ServiceSCS",0.0437017994858612
"215","Whole Civil Service",2012,"SCS","Disabled",140,3120,0.0448717948717949,0.0858525181024126,TRUE,"Whole Civil ServiceSCS",0.0448717948717949
"216","Whole Civil Service",2013,"All grades","Disabled",26440,307970,0.0858525181024126,0.0858525181024126,TRUE,"Whole Civil ServiceAll grades",0.0858525181024126
