"","Group","Date","Civil.Service.grad","gradeval","share","Gender","count","total","grp","gradescore","meangradescore","sorter","totalgroup","yvar"
"71","DfID",2010,"G6/G7",4,-0.450617283950617,"Total",-730,1620,"DfID2010",1.80246913580247,0.654320987654321,0.654320987654321,FALSE,-0.450617283950617
"72","DfID",2010,"SCS",5,-0.0617283950617284,"Total",-100,1620,"DfID2010",0.308641975308642,0.654320987654321,0.654320987654321,FALSE,-0.0617283950617284
"73","DfID",2010,"AO/AA",1,-0.0987654320987654,"Total",-160,1620,"DfID2010",0.0987654320987654,0.654320987654321,0.654320987654321,FALSE,-0.0987654320987654
"74","DfID",2010,"EO",2,-0.123456790123457,"Total",-200,1620,"DfID2010",0.246913580246914,0.654320987654321,0.654320987654321,FALSE,-0.123456790123457
"75","DfID",2010,"SEO/HEO",3,-0.271604938271605,"Total",-440,1620,"DfID2010",0.814814814814815,0.654320987654321,0.654320987654321,FALSE,-0.271604938271605
"76","DfID",2013,"SEO/HEO",3,0.270718232044199,"Total",490,1810,"DfID2013",0.812154696132597,0.679558011049724,0.679558011049724,FALSE,0.270718232044199
"77","DfID",2013,"AO/AA",1,0.0552486187845304,"Total",100,1810,"DfID2013",0.0552486187845304,0.679558011049724,0.679558011049724,FALSE,0.0552486187845304
"78","DfID",2013,"EO",2,0.104972375690608,"Total",190,1810,"DfID2013",0.209944751381215,0.679558011049724,0.679558011049724,FALSE,0.104972375690608
"79","DfID",2013,"SCS",5,0.0441988950276243,"Total",80,1810,"DfID2013",0.220994475138122,0.679558011049724,0.679558011049724,FALSE,0.0441988950276243
"80","DfID",2013,"G6/G7",4,0.524861878453039,"Total",950,1810,"DfID2013",2.09944751381215,0.679558011049724,0.679558011049724,FALSE,0.524861878453039
"81","DfT",2010,"G6/G7",4,-0.0769622833843017,"Total",-1510,19620,"DfT2010",0.307849133537207,0.398470948012232,0.398470948012232,FALSE,-0.0769622833843017
"82","DfT",2010,"EO",2,-0.320081549439348,"Total",-6280,19620,"DfT2010",0.640163098878695,0.398470948012232,0.398470948012232,FALSE,-0.320081549439348
