"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","totalgroup","yvar"
"32","DCLG",2011,"All grades","Female",1190,2330,0.510729613733906,"DCLGAll grades",0.508670520231214,FALSE,0.510729613733906
"33","DCLG",2012,"SCS","Female",40,90,0.444444444444444,"DCLGSCS",0.508670520231214,FALSE,0.444444444444444
"34","DCLG",2012,"All grades","Female",960,1880,0.51063829787234,"DCLGAll grades",0.508670520231214,FALSE,0.51063829787234
"35","DCLG",2013,"SCS","Female",40,90,0.444444444444444,"DCLGSCS",0.508670520231214,FALSE,0.444444444444444
"36","DCLG",2013,"All grades","Female",880,1730,0.508670520231214,"DCLGAll grades",0.508670520231214,FALSE,0.508670520231214
"37","DCMS",2008,"SCS","Female",10,30,0.333333333333333,"DCMSSCS",0.512820512820513,FALSE,0.333333333333333
"38","DCMS",2008,"All grades","Female",220,480,0.458333333333333,"DCMSAll grades",0.512820512820513,FALSE,0.458333333333333
"39","DCMS",2009,"SCS","Female",20,40,0.5,"DCMSSCS",0.512820512820513,FALSE,0.5
"40","DCMS",2009,"All grades","Female",220,470,0.468085106382979,"DCMSAll grades",0.512820512820513,FALSE,0.468085106382979
"41","DCMS",2010,"SCS","Female",20,50,0.4,"DCMSSCS",0.512820512820513,FALSE,0.4
"42","DCMS",2010,"All grades","Female",230,500,0.46,"DCMSAll grades",0.512820512820513,FALSE,0.46
"43","DCMS",2011,"SCS","Female",20,50,0.4,"DCMSSCS",0.512820512820513,FALSE,0.4
"44","DCMS",2011,"All grades","Female",210,440,0.477272727272727,"DCMSAll grades",0.512820512820513,FALSE,0.477272727272727
"45","DCMS",2012,"SCS","Female",20,40,0.5,"DCMSSCS",0.512820512820513,FALSE,0.5
"46","DCMS",2012,"All grades","Female",210,460,0.456521739130435,"DCMSAll grades",0.512820512820513,FALSE,0.456521739130435
"47","DCMS",2013,"SCS","Female",20,40,0.5,"DCMSSCS",0.512820512820513,FALSE,0.5
"48","DCMS",2013,"All grades","Female",200,390,0.512820512820513,"DCMSAll grades",0.512820512820513,FALSE,0.512820512820513
"49","DECC",2008,"SCS","Female",0,0,NA,"DECCSCS",0.465753424657534,FALSE,NA
"50","DECC",2008,"All grades","Female",0,0,NA,"DECCAll grades",0.465753424657534,FALSE,NA
"51","DECC",2009,"SCS","Female",10,60,0.166666666666667,"DECCSCS",0.465753424657534,FALSE,0.166666666666667
"52","DECC",2009,"All grades","Female",380,910,0.417582417582418,"DECCAll grades",0.465753424657534,FALSE,0.417582417582418
"53","DECC",2010,"SCS","Female",20,80,0.25,"DECCSCS",0.465753424657534,FALSE,0.25
"54","DECC",2010,"All grades","Female",460,1050,0.438095238095238,"DECCAll grades",0.465753424657534,FALSE,0.438095238095238
