"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","totalgroup","yvar"
"83","DfE",2013,"SCS","Female",150,330,0.454545454545455,"DfESCS",0.596034696406444,FALSE,0.454545454545455
"84","DfE",2013,"All grades","Female",4810,8070,0.596034696406444,"DfEAll grades",0.596034696406444,FALSE,0.596034696406444
"85","DfID",2008,"SCS","Female",40,100,0.4,"DfIDSCS",0.513812154696133,FALSE,0.4
"86","DfID",2008,"All grades","Female",840,1670,0.502994011976048,"DfIDAll grades",0.513812154696133,FALSE,0.502994011976048
"87","DfID",2009,"SCS","Female",30,100,0.3,"DfIDSCS",0.513812154696133,FALSE,0.3
"88","DfID",2009,"All grades","Female",830,1660,0.5,"DfIDAll grades",0.513812154696133,FALSE,0.5
"89","DfID",2010,"SCS","Female",30,100,0.3,"DfIDSCS",0.513812154696133,FALSE,0.3
"90","DfID",2010,"All grades","Female",820,1620,0.506172839506173,"DfIDAll grades",0.513812154696133,FALSE,0.506172839506173
"91","DfID",2011,"SCS","Female",30,80,0.375,"DfIDSCS",0.513812154696133,FALSE,0.375
"92","DfID",2011,"All grades","Female",830,1610,0.515527950310559,"DfIDAll grades",0.513812154696133,FALSE,0.515527950310559
"93","DfID",2012,"SCS","Female",30,80,0.375,"DfIDSCS",0.513812154696133,FALSE,0.375
"94","DfID",2012,"All grades","Female",880,1710,0.514619883040936,"DfIDAll grades",0.513812154696133,FALSE,0.514619883040936
"95","DfID",2013,"SCS","Female",30,80,0.375,"DfIDSCS",0.513812154696133,FALSE,0.375
"96","DfID",2013,"All grades","Female",930,1810,0.513812154696133,"DfIDAll grades",0.513812154696133,FALSE,0.513812154696133
"97","DfT",2008,"SCS","Female",60,200,0.3,"DfTSCS",0.424496644295302,FALSE,0.3
"98","DfT",2008,"All grades","Female",8140,19450,0.418508997429306,"DfTAll grades",0.424496644295302,FALSE,0.418508997429306
"99","DfT",2009,"SCS","Female",50,210,0.238095238095238,"DfTSCS",0.424496644295302,FALSE,0.238095238095238
"100","DfT",2009,"All grades","Female",8130,19530,0.416282642089094,"DfTAll grades",0.424496644295302,FALSE,0.416282642089094
"101","DfT",2010,"SCS","Female",50,230,0.217391304347826,"DfTSCS",0.424496644295302,FALSE,0.217391304347826
"102","DfT",2010,"All grades","Female",8170,19620,0.416411824668705,"DfTAll grades",0.424496644295302,FALSE,0.416411824668705
"103","DfT",2011,"SCS","Female",40,200,0.2,"DfTSCS",0.424496644295302,FALSE,0.2
"104","DfT",2011,"All grades","Female",7740,18620,0.415682062298604,"DfTAll grades",0.424496644295302,FALSE,0.415682062298604
"105","DfT",2012,"SCS","Female",60,200,0.3,"DfTSCS",0.424496644295302,FALSE,0.3
"106","DfT",2012,"All grades","Female",7510,17940,0.418617614269788,"DfTAll grades",0.424496644295302,FALSE,0.418617614269788
"107","DfT",2013,"SCS","Female",50,200,0.25,"DfTSCS",0.424496644295302,FALSE,0.25
"108","DfT",2013,"All grades","Female",7590,17880,0.424496644295302,"DfTAll grades",0.424496644295302,FALSE,0.424496644295302
"109","DH",2008,"SCS","Female",160,400,0.4,"DHSCS",0.492239467849224,FALSE,0.4
"110","DH",2008,"All grades","Female",2700,5650,0.47787610619469,"DHAll grades",0.492239467849224,FALSE,0.47787610619469
"111","DH",2009,"SCS","Female",160,420,0.380952380952381,"DHSCS",0.492239467849224,FALSE,0.380952380952381
"112","DH",2009,"All grades","Female",2730,5550,0.491891891891892,"DHAll grades",0.492239467849224,FALSE,0.491891891891892
"113","DH",2010,"SCS","Female",180,440,0.409090909090909,"DHSCS",0.492239467849224,FALSE,0.409090909090909
"114","DH",2010,"All grades","Female",2800,5590,0.500894454382826,"DHAll grades",0.492239467849224,FALSE,0.500894454382826
"115","DH",2011,"SCS","Female",170,390,0.435897435897436,"DHSCS",0.492239467849224,FALSE,0.435897435897436
"116","DH",2011,"All grades","Female",2610,5210,0.500959692898273,"DHAll grades",0.492239467849224,FALSE,0.500959692898273
"117","DH",2012,"SCS","Female",160,360,0.444444444444444,"DHSCS",0.492239467849224,FALSE,0.444444444444444
"118","DH",2012,"All grades","Female",2240,4590,0.4880174291939,"DHAll grades",0.492239467849224,FALSE,0.4880174291939
"119","DH",2013,"SCS","Female",150,360,0.416666666666667,"DHSCS",0.492239467849224,FALSE,0.416666666666667
"120","DH",2013,"All grades","Female",2220,4510,0.492239467849224,"DHAll grades",0.492239467849224,FALSE,0.492239467849224
"121","DWP",2008,"SCS","Female",130,360,0.361111111111111,"DWPSCS",0.675962692769415,FALSE,0.361111111111111
"122","DWP",2008,"All grades","Female",79930,117570,0.679850301947776,"DWPAll grades",0.675962692769415,FALSE,0.679850301947776
"123","DWP",2009,"SCS","Female",140,380,0.368421052631579,"DWPSCS",0.675962692769415,FALSE,0.368421052631579
"124","DWP",2009,"All grades","Female",81690,121120,0.674455085865258,"DWPAll grades",0.675962692769415,FALSE,0.674455085865258
"125","DWP",2010,"SCS","Female",140,400,0.35,"DWPSCS",0.675962692769415,FALSE,0.35
"126","DWP",2010,"All grades","Female",88400,133520,0.662073097663271,"DWPAll grades",0.675962692769415,FALSE,0.662073097663271
"127","DWP",2011,"SCS","Female",130,340,0.382352941176471,"DWPSCS",0.675962692769415,FALSE,0.382352941176471
"128","DWP",2011,"All grades","Female",81910,122400,0.669199346405229,"DWPAll grades",0.675962692769415,FALSE,0.669199346405229
"129","DWP",2012,"SCS","Female",110,290,0.379310344827586,"DWPSCS",0.675962692769415,FALSE,0.379310344827586
"130","DWP",2012,"All grades","Female",76100,112480,0.676564722617354,"DWPAll grades",0.675962692769415,FALSE,0.676564722617354
"131","DWP",2013,"SCS","Female",100,280,0.357142857142857,"DWPSCS",0.675962692769415,FALSE,0.357142857142857
"132","DWP",2013,"All grades","Female",73200,108290,0.675962692769415,"DWPAll grades",0.675962692769415,FALSE,0.675962692769415
"133","FCO",2008,"SCS","Female",80,430,0.186046511627907,"FCOSCS",0.388030888030888,FALSE,0.186046511627907
"134","FCO",2008,"All grades","Female",4360,11340,0.384479717813051,"FCOAll grades",0.388030888030888,FALSE,0.384479717813051
"135","FCO",2009,"SCS","Female",90,420,0.214285714285714,"FCOSCS",0.388030888030888,FALSE,0.214285714285714
"136","FCO",2009,"All grades","Female",4530,11850,0.382278481012658,"FCOAll grades",0.388030888030888,FALSE,0.382278481012658
"137","FCO",2010,"SCS","Female",90,430,0.209302325581395,"FCOSCS",0.388030888030888,FALSE,0.209302325581395
"138","FCO",2010,"All grades","Female",4540,11930,0.380553227158424,"FCOAll grades",0.388030888030888,FALSE,0.380553227158424
"139","FCO",2011,"SCS","Female",90,400,0.225,"FCOSCS",0.388030888030888,FALSE,0.225
"140","FCO",2011,"All grades","Female",4360,11390,0.382791922739245,"FCOAll grades",0.388030888030888,FALSE,0.382791922739245
"141","FCO",2012,"SCS","Female",110,500,0.22,"FCOSCS",0.388030888030888,FALSE,0.22
"142","FCO",2012,"All grades","Female",4760,12070,0.394366197183099,"FCOAll grades",0.388030888030888,FALSE,0.394366197183099
"143","FCO",2013,"SCS","Female",110,460,0.239130434782609,"FCOSCS",0.388030888030888,FALSE,0.239130434782609
"144","FCO",2013,"All grades","Female",4020,10360,0.388030888030888,"FCOAll grades",0.388030888030888,FALSE,0.388030888030888
"145","HMRC",2008,"SCS","Female",110,420,0.261904761904762,"HMRCSCS",0.58038857738949,FALSE,0.261904761904762
"146","HMRC",2008,"All grades","Female",54740,95370,0.57397504456328,"HMRCAll grades",0.58038857738949,FALSE,0.57397504456328
"147","HMRC",2009,"SCS","Female",140,480,0.291666666666667,"HMRCSCS",0.58038857738949,FALSE,0.291666666666667
"148","HMRC",2009,"All grades","Female",53180,93110,0.57115240038664,"HMRCAll grades",0.58038857738949,FALSE,0.57115240038664
"149","HMRC",2010,"SCS","Female",130,420,0.30952380952381,"HMRCSCS",0.58038857738949,FALSE,0.30952380952381
"150","HMRC",2010,"All grades","Female",49810,87350,0.570234688036634,"HMRCAll grades",0.58038857738949,FALSE,0.570234688036634
"151","HMRC",2011,"SCS","Female",120,390,0.307692307692308,"HMRCSCS",0.58038857738949,FALSE,0.307692307692308
"152","HMRC",2011,"All grades","Female",45700,78580,0.581572919317893,"HMRCAll grades",0.58038857738949,FALSE,0.581572919317893
"153","HMRC",2012,"SCS","Female",140,390,0.358974358974359,"HMRCSCS",0.58038857738949,FALSE,0.358974358974359
"154","HMRC",2012,"All grades","Female",45740,78860,0.58001521683997,"HMRCAll grades",0.58038857738949,FALSE,0.58001521683997
"155","HMRC",2013,"SCS","Female",120,330,0.363636363636364,"HMRCSCS",0.58038857738949,FALSE,0.363636363636364
"156","HMRC",2013,"All grades","Female",44510,76690,0.58038857738949,"HMRCAll grades",0.58038857738949,FALSE,0.58038857738949
"157","HMT",2008,"SCS","Female",50,160,0.3125,"HMTSCS",0.528301886792453,FALSE,0.3125
"158","HMT",2008,"All grades","Female",940,2540,0.37007874015748,"HMTAll grades",0.528301886792453,FALSE,0.37007874015748
"159","HMT",2009,"SCS","Female",60,200,0.3,"HMTSCS",0.528301886792453,FALSE,0.3
"160","HMT",2009,"All grades","Female",3270,6780,0.482300884955752,"HMTAll grades",0.528301886792453,FALSE,0.482300884955752
"161","HMT",2010,"SCS","Female",80,270,0.296296296296296,"HMTSCS",0.528301886792453,FALSE,0.296296296296296
"162","HMT",2010,"All grades","Female",3240,6300,0.514285714285714,"HMTAll grades",0.528301886792453,FALSE,0.514285714285714
"163","HMT",2011,"SCS","Female",60,190,0.315789473684211,"HMTSCS",0.528301886792453,FALSE,0.315789473684211
"164","HMT",2011,"All grades","Female",3010,5720,0.526223776223776,"HMTAll grades",0.528301886792453,FALSE,0.526223776223776
"165","HMT",2012,"SCS","Female",70,190,0.368421052631579,"HMTSCS",0.528301886792453,FALSE,0.368421052631579
"166","HMT",2012,"All grades","Female",2760,5230,0.527724665391969,"HMTAll grades",0.528301886792453,FALSE,0.527724665391969
"167","HMT",2013,"SCS","Female",80,190,0.421052631578947,"HMTSCS",0.528301886792453,FALSE,0.421052631578947
"168","HMT",2013,"All grades","Female",2800,5300,0.528301886792453,"HMTAll grades",0.528301886792453,FALSE,0.528301886792453
"169","HO",2008,"SCS","Female",70,220,0.318181818181818,"HOSCS",0.520211560256895,FALSE,0.318181818181818
"170","HO",2008,"All grades","Female",15340,26910,0.570048309178744,"HOAll grades",0.520211560256895,FALSE,0.570048309178744
"171","HO",2009,"SCS","Female",80,240,0.333333333333333,"HOSCS",0.520211560256895,FALSE,0.333333333333333
"172","HO",2009,"All grades","Female",14780,26240,0.563262195121951,"HOAll grades",0.520211560256895,FALSE,0.563262195121951
"173","HO",2010,"SCS","Female",90,270,0.333333333333333,"HOSCS",0.520211560256895,FALSE,0.333333333333333
"174","HO",2010,"All grades","Female",15240,27030,0.563817980022198,"HOAll grades",0.520211560256895,FALSE,0.563817980022198
"175","HO",2011,"SCS","Female",70,220,0.318181818181818,"HOSCS",0.520211560256895,FALSE,0.318181818181818
"176","HO",2011,"All grades","Female",15700,29650,0.529510961214165,"HOAll grades",0.520211560256895,FALSE,0.529510961214165
"177","HO",2012,"SCS","Female",80,210,0.380952380952381,"HOSCS",0.520211560256895,FALSE,0.380952380952381
"178","HO",2012,"All grades","Female",13780,26350,0.522960151802657,"HOAll grades",0.520211560256895,FALSE,0.522960151802657
"179","HO",2013,"SCS","Female",80,200,0.4,"HOSCS",0.520211560256895,FALSE,0.4
"180","HO",2013,"All grades","Female",13770,26470,0.520211560256895,"HOAll grades",0.520211560256895,FALSE,0.520211560256895
"181","MoD",2008,"SCS","Female",40,330,0.121212121212121,"MoDSCS",0.345140314852841,FALSE,0.121212121212121
"182","MoD",2008,"All grades","Female",28430,81950,0.346918852959121,"MoDAll grades",0.345140314852841,FALSE,0.346918852959121
"183","MoD",2009,"SCS","Female",50,330,0.151515151515152,"MoDSCS",0.345140314852841,FALSE,0.151515151515152
"184","MoD",2009,"All grades","Female",27580,77830,0.354362071180779,"MoDAll grades",0.345140314852841,FALSE,0.354362071180779
"185","MoD",2010,"SCS","Female",60,340,0.176470588235294,"MoDSCS",0.345140314852841,FALSE,0.176470588235294
"186","MoD",2010,"All grades","Female",27630,77650,0.355827430779137,"MoDAll grades",0.345140314852841,FALSE,0.355827430779137
"187","MoD",2011,"SCS","Female",50,330,0.151515151515152,"MoDSCS",0.345140314852841,FALSE,0.151515151515152
"188","MoD",2011,"All grades","Female",25950,73730,0.351959853519599,"MoDAll grades",0.345140314852841,FALSE,0.351959853519599
