"","Group","Date","Age.band","gradeval","Gender","count","total","share","sharebothgenders","gradescore","meangradescore","sorter","totalgroup","yvar"
"38","DCMS",2013,"< 29",1,"Female",20,390,-0.0512820512820513,0.102564102564103,0.102564102564103,0.47008547008547,0.47008547008547,FALSE,-0.0512820512820513
"39","DCMS",2013,"50-59",4,"Male",40,390,0.102564102564103,0.205128205128205,0.82051282051282,0.47008547008547,0.47008547008547,FALSE,0.102564102564103
"40","DCMS",2013,"60-64",5,"Female",0,390,0,0.0256410256410256,0.128205128205128,0.47008547008547,0.47008547008547,FALSE,0
"41","DCMS",2013,"65 +",6,"Male",0,390,0,0,0,0.47008547008547,0.47008547008547,FALSE,0
"42","DCMS",2013,"65 +",6,"Female",0,390,0,0,0,0.47008547008547,0.47008547008547,FALSE,0
"43","DCMS",2013,"30-39",2,"Female",90,390,-0.230769230769231,0.384615384615385,0.769230769230769,0.47008547008547,0.47008547008547,FALSE,-0.230769230769231
"44","DCMS",2013,"50-59",4,"Female",40,390,-0.102564102564103,0.205128205128205,0.82051282051282,0.47008547008547,0.47008547008547,FALSE,-0.102564102564103
"45","DCMS",2013,"40-49",3,"Female",60,390,-0.153846153846154,0.333333333333333,1,0.47008547008547,0.47008547008547,FALSE,-0.153846153846154
"46","DCMS",2013,"40-49",3,"Male",70,390,0.179487179487179,0.333333333333333,1,0.47008547008547,0.47008547008547,FALSE,0.179487179487179
"47","DCMS",2013,"< 29",1,"Male",20,390,0.0512820512820513,0.102564102564103,0.102564102564103,0.47008547008547,0.47008547008547,FALSE,0.0512820512820513
"48","DCMS",2013,"30-39",2,"Male",60,390,0.153846153846154,0.384615384615385,0.769230769230769,0.47008547008547,0.47008547008547,FALSE,0.153846153846154
"49","DECC",2013,"30-39",2,"Female",270,1460,-0.184931506849315,0.383561643835616,0.767123287671233,0.412100456621005,0.412100456621005,FALSE,-0.184931506849315
"50","DECC",2013,"30-39",2,"Male",290,1460,0.198630136986301,0.383561643835616,0.767123287671233,0.412100456621005,0.412100456621005,FALSE,0.198630136986301
"51","DECC",2013,"40-49",3,"Female",160,1460,-0.10958904109589,0.253424657534247,0.76027397260274,0.412100456621005,0.412100456621005,FALSE,-0.10958904109589
"52","DECC",2013,"< 29",1,"Male",110,1460,0.0753424657534247,0.171232876712329,0.171232876712329,0.412100456621005,0.412100456621005,FALSE,0.0753424657534247
"53","DECC",2013,"< 29",1,"Female",140,1460,-0.0958904109589041,0.171232876712329,0.171232876712329,0.412100456621005,0.412100456621005,FALSE,-0.0958904109589041
"54","DECC",2013,"65 +",6,"Male",10,1460,0.00684931506849315,0.00684931506849315,0.0410958904109589,0.412100456621005,0.412100456621005,FALSE,0.00684931506849315
"55","DECC",2013,"40-49",3,"Male",210,1460,0.143835616438356,0.253424657534247,0.76027397260274,0.412100456621005,0.412100456621005,FALSE,0.143835616438356
