"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"414","Whole Civil Service",2009,"SCS","Female",1620,4930,0.328600405679513,"Whole Civil ServiceSCS",0.531448432591404,1,TRUE,0.328600405679513
"416","Whole Civil Service",2009,"All grades","Female",278060,524420,0.530223866366653,"Whole Civil ServiceAll grades",0.531448432591404,1,TRUE,0.530223866366653
"418","Whole Civil Service",2010,"SCS","Female",1730,5070,0.341222879684418,"Whole Civil ServiceSCS",0.531448432591404,1,TRUE,0.341222879684418
"420","Whole Civil Service",2010,"All grades","Female",279820,527490,0.530474511365144,"Whole Civil ServiceAll grades",0.531448432591404,1,TRUE,0.530474511365144
"422","Whole Civil Service",2011,"SCS","Female",1600,4610,0.3470715835141,"Whole Civil ServiceSCS",0.531448432591404,1,TRUE,0.3470715835141
"423","Whole Civil Service",2011,"All grades","Female",264110,498430,0.529883835242662,"Whole Civil ServiceAll grades",0.531448432591404,1,TRUE,0.529883835242662
"426","Whole Civil Service",2012,"SCS","Female",1550,4420,0.350678733031674,"Whole Civil ServiceSCS",0.531448432591404,1,TRUE,0.350678733031674
"428","Whole Civil Service",2012,"All grades","Female",246100,463810,0.530605204717449,"Whole Civil ServiceAll grades",0.531448432591404,1,TRUE,0.530605204717449
"429","Whole Civil Service",2013,"SCS","Female",1570,4340,0.361751152073733,"Whole Civil ServiceSCS",0.531448432591404,1,TRUE,0.361751152073733
"431","Whole Civil Service",2013,"All grades","Female",238530,448830,0.531448432591404,"Whole Civil ServiceAll grades",0.531448432591404,1,TRUE,0.531448432591404
"1","BIS",2008,"SCS","Male",240,340,0.705882352941177,"BISSCS",0.501922020867655,0,FALSE,0.705882352941177
"3","BIS",2008,"All grades","Male",5330,10780,0.49443413729128,"BISAll grades",0.501922020867655,0,FALSE,0.49443413729128
"5","BIS",2009,"SCS","Male",240,370,0.648648648648649,"BISSCS",0.501922020867655,0,FALSE,0.648648648648649
"7","BIS",2009,"All grades","Male",5180,10610,0.488218661639962,"BISAll grades",0.501922020867655,0,FALSE,0.488218661639962
"9","BIS",2010,"SCS","Male",240,380,0.631578947368421,"BISSCS",0.501922020867655,0,FALSE,0.631578947368421
"11","BIS",2010,"All grades","Male",5310,10900,0.487155963302752,"BISAll grades",0.501922020867655,0,FALSE,0.487155963302752
"13","BIS",2011,"SCS","Male",250,410,0.609756097560976,"BISSCS",0.501922020867655,0,FALSE,0.609756097560976
"16","BIS",2011,"All grades","Male",5570,11820,0.471235194585448,"BISAll grades",0.501922020867655,0,FALSE,0.471235194585448
"17","BIS",2012,"SCS","Male",230,380,0.605263157894737,"BISSCS",0.501922020867655,0,FALSE,0.605263157894737
