Dept,Whitehall?,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,Change from baseline 2010 Q3 FTE,Change from baseline 2010 Q4 FTE,Change from baseline 2011 Q1 FTE,Change from baseline 2011 Q2 FTE,Change from baseline 2011 Q3 FTE,Change from baseline 2011 Q4 FTE,Change from baseline 2012 Q1 FTE,Change from baseline 2012 Q2 FTE,Change from baseline 2012 Q3 FTE,Change from baseline 2012 Q4 FTE,% Change from baseline 2010 Q3,% Change from baseline 2010 Q4,% Change from baseline 2011 Q1,% Change from baseline 2011 Q2,% Change from baseline 2011 Q3,% Change from baseline 2011 Q4,% Change from baseline 2012 Q1,% Change from baseline 2012 Q2,% Change from baseline 2012 Q3,% Change from baseline 2012 Q4,Product,Change Rate,FTE start,FTE end,FTE end calc,Diff,Dept group,Dept group 2,Stdev of rate
FCO,Non-Whitehall Civil Service,0,-30,-260,-20,-40,-20,0,-30,10,30,-0.005300353,-0.046181172,-0.003724395,-0.007476636,-0.003766478,0,-0.005671078,0.001901141,0.0056926,0,-30,-290,-310,-350,-370,-370,-400,-390,-360,0,-0.005300353,-0.051236749,-0.054770318,-0.061837456,-0.065371025,-0.065371025,-0.070671378,-0.068904594,-0.06360424,0.93639576,-0.007275303,5660,5300,5300,0,Foreign facing,Foreign facing,0.01520816
GEO,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Other,Other,
HMRC,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Delivery,Delivery,
HMT,Non-Whitehall Civil Service,0,-850,6040,-5510,-760,-190,-530,-820,-970,-330,-0.011312217,0.081303002,-0.068592058,-0.010157712,-0.002565487,-0.007174766,-0.011180802,-0.013375621,-0.004612159,0,-850,5190,-320,-1080,-1270,-1800,-2620,-3590,-3920,0,-0.011312217,0.069071067,-0.004258717,-0.01437317,-0.016901783,-0.023955283,-0.034868246,-0.047777482,-0.052169284,0.947830716,-0.005935577,75140,71220,71220,0,Centre,Centre,0.038204995
HO,Non-Whitehall Civil Service,0,-1160,-530,-1220,-730,-730,-210,-120,-90,200,-0.039903681,-0.018989609,-0.044558072,-0.027905199,-0.028706252,-0.008502024,-0.004899959,-0.003693065,0.008237232,0,-1160,-1690,-2910,-3640,-4370,-4580,-4700,-4790,-4590,0,-0.039903681,-0.058135535,-0.100103199,-0.125214998,-0.150326797,-0.15755074,-0.161678707,-0.164774682,-0.157894737,0.842105263,-0.018913328,29070,24480,24480,0,Delivery,Delivery,0.01784797
MoD,Non-Whitehall Civil Service,0,-460,-1050,-1400,-920,-3410,-3260,-1690,-880,-1410,-0.006250849,-0.014357993,-0.019422863,-0.013016412,-0.048881881,-0.049133384,-0.026787129,-0.014332248,-0.023298083,0,-460,-1510,-2910,-3830,-7240,-10500,-12190,-13070,-14480,0,-0.006250849,-0.020519092,-0.039543416,-0.052045115,-0.098382932,-0.14268243,-0.165647506,-0.177605653,-0.196765865,0.803234135,-0.024051488,73590,59110,59110,0,Delivery,Delivery,0.015419473
MoJ,Non-Whitehall Civil Service,0,-341,-620,-1950,-810,-2020,-1160,-1200,-1010,-635,-0.004490979,-0.008202252,-0.026010751,-0.011093003,-0.027974352,-0.016526806,-0.017383998,-0.014890386,-0.009503285,0,-341,-961,-2911,-3721,-5741,-6901,-8101,-9111,-9746,0,-0.004490979,-0.012656394,-0.038337943,-0.049005663,-0.075609114,-0.090886343,-0.106690373,-0.119992098,-0.128355064,0.871644936,-0.015147781,75930,66184,66184,0,Delivery,Delivery,0.007902499
NIO,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,Other,Other,
Scot Gov,Non-Whitehall Civil Service,0,-130,1200,-1590,-220,-280,-80,50,-80,-30,-0.007728894,0.071899341,-0.088876467,-0.013496933,-0.017412935,-0.005063291,0.003180662,-0.005072923,-0.001912046,0,-130,1070,-520,-740,-1020,-1100,-1050,-1130,-1160,0,-0.007728894,0.063614744,-0.030915577,-0.043995244,-0.060642093,-0.065398335,-0.062425684,-0.067181926,-0.068965517,0.931034483,-0.007908447,16820,15660,15660,0,Other,Devolved,0.040646011
Welsh Gov,Non-Whitehall Civil Service,0,-60,-100,-150,-190,-10,70,60,80,0,-0.010695187,-0.018018018,-0.027522936,-0.035849057,-0.001956947,0.01372549,0.011605416,0.015296367,0,0,-60,-160,-310,-500,-510,-440,-380,-300,-300,0,-0.010695187,-0.028520499,-0.055258467,-0.08912656,-0.090909091,-0.078431373,-0.067736185,-0.053475936,-0.053475936,0.946524064,-0.006087936,5610,5310,5310,0,Other,Devolved,0.018457958
