Organisation,Whitehall,Group,Managed,Include
Postal Services Commission (until 2011),NWH,BIS,,Yes
Skills Funding Agency (from 2011),NWH,BIS,,Yes
UK Intellectual Property Office (from 2010),NWH,BIS,,Yes
UK Intellectual Property Office (until 2009),NWH,BIS,,Yes
UK Space Agency (from 2012),NWH,BIS,,Yes
Attorney General's Departments,WH,AGO,,No
Attorney General's Office,WH,AGO,,No
Crown Prosecution Service,NWH,AGO,,No
Crown Prosecution Service Inspectorate,NWH,AGO,,No
National Fraud Authority (from 2010 to 2011),NWH,AGO,,No
Revenue and Customs Prosecutions Office (until 2009),NWH,AGO,,No
Serious Fraud Office,NWH,AGO,,No
Treasury Solicitor,NWH,AGO,,No
