Month,Short Form,IfG classification,Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,IFG notes,IfG analysis - Non-consultant total,Non payroll,Non payroll component total
01/10/2011,DCLG,Non-Whitehall CS,Planning Inspectorate,Executive Agency,Department for Communities & Local Government,222,198.81,132,121.06,73,70.45,255,214.48,4,3.4,0,0,686,608,0,0,0,0,0,0,0,0,0,0,686,608,1748593,35344,0,1499,365207,155609,2306252,0,0,0,2306252,,,0,,
01/10/2011,DCLG,Non-Whitehall CS,Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,1,1,0,0,0,0,1,1,2,2,45,45,123672,1113,8636,1328,23375,10257,168381,5625,1685,7310,175691,,,1,,
01/10/2011,DCLG,Non CS,Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,4.4,18,17.43,6,6,3,3,0,0,35,34,0,0,0,0,1,1,0,0,1,1,36,35,114155,0,0,1110,18093,10593,143952,0,0,0,143952,,,1,,
01/10/2011,DCLG,Non CS,Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,37,36.66,100,96.91,24,24,8,8,9,1.31,182,171,0,0,0,0,0,0,0,0,0,0,182,171,737491,455,0,3314,65566,63210,870036,0,0,0,870036,,,0,,
01/10/2011,DCLG,Non CS,Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,33,32.93,33,33,0,0,0,0,0,0,0,0,0,0,33,33,144492,2744,0,0,16260,14972,178468,0,0,0,178468,,,0,,
01/10/2011,DCLG,Non CS,Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,22,21.17,36,35.25,12,11.83,2,2,1,1,0,0,73,71,3,3,0,0,0,0,0,0,3,3,76,74,209831,4779,0,0,42376,17935,274921,9594,0,9594,284515,,,3,,
01/10/2011,DCLG,Non CS,West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,12,11.94,10,9.7,2,2,4,4,0,0,36,35,2,2,0,0,0,0,1,0.8,3,2.8,39,38,133761,4600,0,0,23650,12678,174689,6716,6334,13050,187739,,,2,,
01/11/2011,DCLG,Whitehall,Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,147,140.74,279,268.8,816,797.16,593,573.37,92,89.06,0,0,1927,1869.13,9,9,7,7,22,22,9,9,47,47,1974,1916.13,6254372.73,19398.5,-4480,41265.83,1267502.81,569616.62,8147676.49,235644,174742,410386,8558062.49,,,38,,
01/11/2011,DCLG,Non-Whitehall CS,Fire Service College,Executive Agency,Department for Communities & Local Government,63,61.8,35,33,79,77,17,17,1,1,0,0,195,190,0,0,4,3.8,0,0,0,0,4,3.8,199,194,474266,0,0,5174,93141,40043,612623,31968,0,31968,644591,,,3.8,,
01/11/2011,DCLG,Non CS,Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,131,125.69,190,185.67,262,257.18,34,33.8,50,50,91,89.56,758,742,2,2,1,1,3,3,0,0,6,6,764,748,2697426,508447,0,9606,658868,269019,4143366,29125,0,29125,4172491,,,6,,
01/11/2011,DCLG,Non CS,Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,1,1,0,0,0,0,0,0,1,1,39,39,149693,64,0,0,26215,14836,190809,2423,0,2423,193232,,,1,,
01/11/2011,DCLG,Non CS,Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,16,15.8,16,15,12,10.3,0,0,55,52,1,1,0,0,0,0,0,0,1,1,56,53,196733,0,0,231,17874,26614,241452,2622,0,2622,244074,,,1,,
01/11/2011,DCLG,Non CS,Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,4,3.4,17,16,0,0,1,1,0,0,22,20,0,0,0,0,0,0,0,0,0,0,22,20,61500,0,0,0,5805,6763,74068,0,0,0,74068,,,0,,
01/11/2011,DCLG,Non CS,London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10.3,8,7.8,14,13.6,0,0,35,34,0,0,0,0,5,0.5,0,0,5,0.5,40,34,159826,0,7403,0,20886,17171,205285,2750,0,2750,208035,,,0.5,,
01/11/2011,DCLG,Non-Whitehall CS,Planning Inspectorate,Executive Agency,Department for Communities & Local Government,221,198.21,132,120.63,73,70.45,254,213.43,4,3.5,0,0,684,606,0,0,0,0,0,0,0,0,0,0,684,606,1784703,34561,0,1899,365940,154440,2341543,0,0,0,2341543,,,0,,
01/11/2011,DCLG,Non-Whitehall CS,Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,0,0,0,0,0,0,0,0,0,0,43,43,123018,993,0,16053,23975,12153,176192,4279,0,4279,180471,,,0,,
01/11/2011,DCLG,Non CS,Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,4.4,17,16.43,5,5,3,3,0,0,33,32,0,0,0,0,1,1,0,0,1,1,34,33,109496,0,0,0,16944,10080,136520,9677,0,9677,146197,,,1,,
01/11/2011,DCLG,Non CS,Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,36,35.66,100,96.81,24,24,8,8,8,1.22,180,170,0,0,0,0,0,0,0,0,0,0,180,170,706006,455,0,798,66662,63023,836944,0,0,0,836944,,,0,,
01/11/2011,DCLG,Non CS,Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,33,32.93,33,33,0,0,0,0,0,0,0,0,0,0,33,33,144493,2744,0,0,16260,14965,178463,0,0,0,178463,,,0,,
01/11/2011,DCLG,Non CS,Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,22,21.17,34,33.25,12,11.83,2,2,1,1,0,0,71,69,2,2,0,0,0,0,0,0,2,2,73,71,209637,4890,0,0,42191,18277,274995,11374,0,11374,286369,,,2,,
01/11/2011,DCLG,Non CS,West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,12,11.94,10,9.7,2,2,4,4,0,0,36,35,1,1,0,0,0,0,1,0.8,2,1.8,38,37,139932,4600,0,0,24443,13640,182615,3871,6334,10205,192820,,,1,,
01/12/2011,DCLG,Whitehall,Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,146,139.74,275,264.83,814,795.05,590,570.49,92,89.06,0,0,1917,1859.17,8,8,9,9,31,31,10,10,58,58,1975,1917.17,6251612.35,50569.15,2560,21876.02,1273669.37,548656.93,8148943.82,160651,286209,446860,8595803.82,,,48,,
01/12/2011,DCLG,Non-Whitehall CS,Fire Service College,Executive Agency,Department for Communities & Local Government,63,61.8,35,33,77,74.5,17,17,1,1,0,0,193,187.3,0,0,4,3.8,0,0,0,0,4,3.8,197,191.1,489098.3,0,0,121.5,93814.91,39581.43,622616.14,25253.52,0,25253.52,647869.66,,,3.8,,
01/12/2011,DCLG,Non CS,Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,129,123.71,190,185.68,263,258.26,34,33.8,51,51,88,86.56,755,739.01,2,2,0,0,4,4,0,0,6,6,761,745.01,2685971.44,516395,308669,8829.06,663077.72,314514.2,4497456.42,20999,0,20999,4518455.42,,,6,,
01/12/2011,DCLG,Non CS,Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,2,2,0,0,0,0,0,0,2,2,40,40,149162.43,64.28,0,0,27243.71,14609.22,191079.64,5025,0,5025,196104.64,,,2,,
01/12/2011,DCLG,Non CS,Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,16,15.8,13,12,12,10.3,0,0,52,49.1,1,1,0,0,0,0,0,0,1,1,53,50.1,215557,0,0,722,17384,24629,258292,1389,0,1389,259681,,,1,,
01/12/2011,DCLG,Non CS,Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,66748,0,0,0,5850,7275,79873,0,0,0,79873,,,0,,
01/12/2011,DCLG,Non CS,London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10.3,8,6.83,13,13,0,0,34,32.13,0,0,0,0,5,0.09,1,0.08,6,0.17,40,32.3,150729.88,0,0,0,19842.68,15269.34,185841.9,250,6600,6850,192691.9,,,0.09,,
01/12/2011,DCLG,Non-Whitehall CS,Planning Inspectorate,Executive Agency,Department for Communities & Local Government,220,197.61,132,120.26,73,70.45,255,214.43,4,3.5,0,0,684,606.25,0,0,0,0,0,0,0,0,0,0,684,606.25,1785258.4,23251,19003,2639,391291.33,168765.3,2390208.03,0,0,0,2390208.03,,,0,,
01/12/2011,DCLG,Non-Whitehall CS,Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,0,0,0,0,0,0,3,3,3,3,46,46,122955.53,320.75,0,10236.36,23606.89,11346.01,168465.54,,4998.62,4998.62,173464.16,,,0,,
01/12/2011,DCLG,Non CS,Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,5,4.4,17,16.43,5,5,3,3,0,0,33,31.63,0,0,0,0,1,1,0,0,1,1,34,32.63,107976.15,0,0,0,16735.6,9954.54,134666.29,10886.4,0,10886.4,145552.69,,,1,,
01/12/2011,DCLG,Non CS,Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,36,35.66,99,95.71,24,24,8,8,8,1.22,179,168.56,0,0,0,0,0,0,0,0,0,0,179,168.56,681718.99,455,0,342.24,64077.7,60041.08,806635.01,0,0,0,806635.01,,,0,,
01/12/2011,DCLG,Non CS,Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,32,31.93,32,31.93,0,0,0,0,0,0,0,0,0,0,32,31.93,141045.95,2660.93,0,0,15886.13,14628.62,174221.63,0,0,0,174221.63,,,0,,
01/12/2011,DCLG,Non CS,Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,35,34.25,12,11.83,2,2,1,1,0,0,73,71.25,0,0,0,0,0,0,0,0,0,0,73,71.25,221058,6901,0,0,42621,18378,288958,1939,0,1939,290897,,,0,,
01/12/2011,DCLG,Non CS,West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,11,10.94,10,9.7,2,2,4,4,0,0,35,34.05,1,1,0,0,0,0,1,0.8,2,1.8,37,35.85,132580.48,4600,0,0,23785.1,12770.64,173736.22,5994,6334,12328,186064.22,,,1,,
01/01/2012,DCLG,Whitehall,Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,143,137.5,272,261.7,809,789.5,592,571.5,91,88.1,0,0,1907,1848.3,4,4,9,9,36,36,8,8,57,57,1964,1905.3,6246614.71,73113.08,1920,34633.05,1275606.75,554907.89,8186795.48,181676,365957,547633,8734428.48,,,49,,
01/01/2012,DCLG,Non-Whitehall CS,Fire Service College,Executive Agency,Department for Communities & Local Government,62,60.6,34,32,74,72,17,17,1,1,0,0,188,182.6,0,0,4,3.8,0,0,0,0,4,3.8,192,186.4,456628.1,0,0,5848.9,88044.77,37525.59,588047.36,32554.36,0,32554.36,620601.72,,,3.8,,
01/01/2012,DCLG,Non CS,Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,124,119.01,214,209.93,234,228.62,39,38.8,49,48.7,88,86.56,748,731.62,2,2,0,0,4,4,0,0,6,6,754,737.62,2645757.57,678991.96,0,4896.73,641890.5,261342.57,4232879.33,26448,0,26448,4259327.33,,,6,,
01/01/2012,DCLG,Non CS,Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,3,3,0,0,0,0,0,0,3,3,41,41,150310.58,64.28,0,0,26891.93,14791.29,192058.08,9988,0,9988,202046.08,,,3,,
01/01/2012,DCLG,Non CS,Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,15,14.8,14,13,12,10.3,0,0,52,49.1,1,1,2,1.6,0,0,0,0,3,2.6,55,51.7,226197,0,0,0,16571,23879,266647,6757,0,6757,273404,,,2.6,,
01/01/2012,DCLG,Non CS,Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,66800,0,0,0,6052,7313,80165,0,0,0,80165,,,0,,
01/01/2012,DCLG,Non CS,London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,11,10,7,6.8,13,13,0,0,33,31.8,0,0,0,0,5,0.36,2,0.18,7,0.54,40,32.34,149303.58,0,0,0,19842.68,15269.34,184415.6,2056.71,5799.12,7855.83,192271.43,,,0.36,,
01/01/2012,DCLG,Non-Whitehall CS,Planning Inspectorate,Executive Agency,Department for Communities & Local Government,220,197.62,130,118.26,73,70.45,255,214.58,4,3.5,0,0,682,604.41,0,0,0,0,0,0,0,0,0,0,682,604.41,1785431,23170,0,4687,370709,157060,2341057,0,0,0,2341057,,,0,,
01/01/2012,DCLG,Non-Whitehall CS,Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,0,0,0,0,1,1,0,0,1,1,44,44,123062.83,328,0,4529.33,23520.63,10733.52,162174.31,1645,0,1645,163819.31,,,1,,
01/01/2012,DCLG,Non CS,Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,4,4,17,16.43,5,5,3,3,0,0,32,31.23,0,0,0,0,1,1,0,0,1,1,33,32.23,103735.02,0,0,0,16451.82,10019.86,130206.7,11491.2,0,11491.2,141697.9,,,1,,
01/01/2012,DCLG,Non CS,Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,32,31.8,101,97.91,24,24,8,8,8,1.22,177,166.9,0,0,0,0,0,0,0,0,0,0,177,166.9,673447.69,429,0,720,63892.12,60043.95,798532.76,0,0,0,798532.76,,,0,,
01/01/2012,DCLG,Non CS,Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,32,31.93,32,31.93,0,0,0,0,0,0,0,0,0,0,32,31.93,140729.13,2660.93,0,0,15858.14,14164.37,173412.57,0,0,0,173412.57,,,0,,
01/01/2012,DCLG,Non CS,Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,35,34.25,12,11.83,2,2,1,1,0,0,73,71.25,0,0,0,0,0,0,0,0,0,0,73,71.25,206409,4185,0,0,42535,17702,270831,0,0,0,270831,,,0,,
01/01/2012,DCLG,Non CS,West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,9,8.41,12,11.54,10,9.7,2,2,4,4,0,0,37,35.65,0,0,0,0,0,0,1,0.8,1,0.8,38,36.45,134433,5000,0,0,23785.1,13000.68,176218.78,0,6334,6334,182552.78,,,0,,
01/02/2012,DCLG,Whitehall,Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,140,134.5,268,259,798,778.9,587,566.9,90,86.9,0,0,1883,1826.2,17,17,8,8,30,30,7,7,62,62,1945,1888.2,6005126.44,67691.93,99600,29535.95,1272618.29,556332.22,8030904.83,293056,488019,781075,8811979.83,,,55,,
01/02/2012,DCLG,Non-Whitehall CS,Fire Service College,Executive Agency,Department for Communities & Local Government,64,59.6,33,31.4,66,64.4,15,15,1,1,0,0,179,171.4,0,0,4,3.8,0,0,0,0,4,3.8,183,175.2,315527,0,0,0,56114,22117,393758,18185,0,18185,411943,,,3.8,,
01/02/2012,DCLG,Non CS,Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,128,122.98,214,209.93,236,230.7,40,39.8,49,48.7,87,85.56,754,737.67,2,2,1,1,5,5,0,0,8,8,762,745.67,2640630.41,196120.48,0,9204.43,643023.96,260615.19,3749594.47,29844,0,29844,3779438.47,,,8,,
01/02/2012,DCLG,Non CS,Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,38,38,38,1,1,0,0,0,0,0,0,1,1,39,39,150595.25,64.28,0,0,26891.93,14830.62,192382.08,3997,0,3997,196379.08,,,1,,
01/02/2012,DCLG,Non CS,Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,4,7,7,15,14.8,14,13,12,10.3,0,0,52,49.1,1,1,1,0.6,0,0,0,0,2,1.6,54,50.7,199878,0,0,536,16654,25435,242503,12762,0,12762,255265,,,1.6,,
01/02/2012,DCLG,Non CS,Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,66651,0,0,0,5913,7154,79718,0,0,0,79718,,,0,,
01/02/2012,DCLG,Non CS,London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,10,9.3,7,6.8,13,12.4,0,0,32,30.5,0,0,0,0,5,0.63,0,0,5,0.63,37,31.13,145336.1,0,0,0,19387.69,14670.34,179394.13,4040.31,0,4040.31,183434.44,,,0.63,,
01/02/2012,DCLG,Non-Whitehall CS,Planning Inspectorate,Executive Agency,Department for Communities & Local Government,224,200.83,126,113.72,75,72.05,253,214.08,4,3.5,0,0,682,604.18,0,0,0,0,0,0,0,0,0,0,682,604.18,1760575,23764,0,7324,361413,152613,2305689,0,0,0,2305689,,,0,,
01/02/2012,DCLG,Non-Whitehall CS,Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,5,5,7,7,27,27,3,3,1,1,0,0,43,43,0,0,0,0,0,0,0,0,0,0,43,43,125446.06,596.44,0,4194.78,23188.52,10974.26,164400.06,1645,0,1645,166045.06,,,0,,
01/02/2012,DCLG,Non CS,Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.8,4,4,17,16.43,5,5,3,3,0,0,32,31.23,0,0,0,0,1,1,0,0,1,1,33,32.23,100986.02,0,0,0,15598.39,7392.18,123976.59,15120,0,15120,139096.59,,,1,,
01/02/2012,DCLG,Non CS,Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,32,31.8,96,92.91,26,26,8,8,8,1.22,174,163.9,0,0,0,0,0,0,0,0,0,0,174,163.9,638309.5,436.65,0,1021.2,63374.74,59143.13,762285.22,0,0,0,762285.22,,,0,,
01/02/2012,DCLG,Non CS,Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,32,31.93,32,31.93,0,0,0,0,0,0,0,0,0,0,32,31.93,140407.75,2660.93,0,0,15822.29,14155.75,173046.72,0,0,0,173046.72,,,0,,
01/02/2012,DCLG,Non CS,Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,35,34.25,12,11.83,2,2,1,1,0,0,73,71.25,3,3,0,0,0,0,0,0,3,3,76,74.25,204286,3932,0,0,42189,17998,268405,537,0,537,268942,,,3,,
01/02/2012,DCLG,Non CS,West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,12,11.54,10,9.7,2,2,4,4,0,0,36,34.65,0,0,0,0,0,0,1,0.8,1,0.8,37,35.45,133446.45,5000,0,0,23875.1,12984.43,175305.98,0,6334,6334,181639.98,,,0,,
01/03/2012,DCLG,Whitehall,Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,139,133.5,269,260.2,795,776.1,585,565,90,86.9,0,0,1878,1821.7,14,14,5,5,27,27,7,7,53,53,1931,1874.7,6423423.7,59570.86,10900,32997.71,1258700.58,550357.21,8335950.06,291779,202235,494014,8829964.06,,,46,,
01/03/2012,DCLG,Non-Whitehall CS,Fire Service College,Executive Agency,Department for Communities & Local Government,64,59.6,33,31.4,67,65.4,14,14,1,1,0,0,179,171.4,0,0,4,3.8,0,0,0,0,4,3.8,183,175.2,307156,0,0,0,56034,22110,385300,88387,0,88387,473687,,,3.8,,
01/03/2012,DCLG,Non CS,Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,129,123.95,212,207.93,240,233.96,37,36.8,49,48.7,87,85.33,754,736.67,6,6,2,2,7,7,0,0,15,15,769,751.67,2661436.61,136720.63,0,4991.63,648802.04,263742.38,3715693.29,91526.95,0,91526.95,3807220.24,,,15,,
01/03/2012,DCLG,Non CS,Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,37.5,38,37.5,1,1,0,0,0,0,0,0,1,1,39,38.5,150488.5,64.28,0,0,26891.93,14815.85,192260.56,2996,0,2996,195256.56,,,1,,
01/03/2012,DCLG,Non CS,Infrastructure Planining Commission,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,3,6,6,14,13.8,15,14,12,10.3,0,0,50,47.1,1,1,2,1.6,0,0,0,0,3,2.6,53,49.7,229361.29,0,0,3364.3,16228.64,24879.57,273833.8,14227.13,0,14227.13,288060.93,The Infrastructure Planning Commission closed as of 31st March 2012.,,2.6,,
01/03/2012,DCLG,Non CS,Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,69682,0,0,0,6020,7266,82968,0,0,0,82968,,,0,,
01/03/2012,DCLG,Non CS,London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,2,2,10,9.28,7,6.8,12,12,0,0,31,30.08,1,0.03,0,0,5,0.45,1,0.08,7,0.56,38,30.64,145186.21,0,0,0,19571.42,14785.56,179543.19,2313.36,9000,11313.36,190856.55,,,0.48,,
01/03/2012,DCLG,Non-Whitehall CS,Planning Inspectorate,Executive Agency,Department for Communities & Local Government,220,196.02,130,118.19,74,71.45,249,211.2,4,3.5,0,0,677,600.36,0,0,0,0,0,0,0,0,0,0,677,600.36,1759213,23040,0,11519,361152,153780,2308704,0,0,0,2308704,,,0,,
01/03/2012,DCLG,Non-Whitehall CS,Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,8,8,27,27,3,3,1,1,0,0,43,43,1,1,0,0,1,1,0,0,2,2,45,45,124359.66,244.25,0,8300.38,23392.98,11382.77,167680.04,1645,2215,3860,171540.04,,,2,,
01/03/2012,DCLG,Non CS,Standards Board for England,Executive Non-Departmental Public Body,Department for Communities & Local Government,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,The Standards Board for England closed as of 31st March 2012.,,0,,
01/03/2012,DCLG,Non CS,Tenants Services Authority,Executive Non-Departmental Public Body,Department for Communities & Local Government,4,3.97,32,31.8,96,92.91,26,25.8,8,8,8,1.22,174,163.7,0,0,0,0,0,0,0,0,0,0,174,163.7,687545.58,442,0,1403.5,63348.23,61645.22,814384.53,0,0,0,814384.53,The Tenant Services Authority closed as of 31st March 2012.,,0,,
01/03/2012,DCLG,Non CS,Thurrock Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,32,31.93,32,31.93,0,0,0,0,0,0,0,0,0,0,32,31.93,142769.35,2660.93,72086.7,919.27,21990.2,24509.38,264935.83,0,0,0,264935.83,Thurrock Thames Gateway Development closed as of 31st March 2012.,,0,,
01/03/2012,DCLG,Non CS,Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,23,22.17,35,34.25,12,11.83,2,2,1,1,0,0,73,71.25,3,3,0,0,0,0,0,0,3,3,76,74.25,226032,3611,0,0,49877,22351,301871,7927,0,7927,309798,,,3,,
01/03/2012,DCLG,Non CS,West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,8,7.41,12,11.54,10,9.7,2,2,4,4,9,1.5,45,36.15,0,0,0,0,0,0,1,0.8,1,0.8,46,36.95,142322.6,5000,0,0,24658.34,17500.84,189481.78,0,6133,6133,195614.78,,,0,,
01/04/2012,DCLG,Whitehall,Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,138,132.5,265,256.2,782,763.7,587,567.8,90,86.9,0,0,1862,1807.1,14,14,3,3,24,24,4,4,45,45,1907,1852.1,6071677.82,80938.09,-423560,26075.06,1253370.36,554802.93,7563304.26,310629,342128,652757,8216061.26,The figure for non-consolidated performance payments is negative because of two accrual journals reversed in April.,,41,,
01/04/2012,DCLG,Non-Whitehall CS,Fire Service College,Executive Agency,Department for Communities & Local Government,64,59.6,33,31.4,66,64.4,15,14.5,1,1,0,0,179,170.9,0,0,4,3.8,0,0,0,0,4,3.8,183,174.7,323291.61,0,0,0,55462.45,23301.16,402055.22,20171.8,0,20171.8,422227.02,,,3.8,,
01/04/2012,DCLG,Non CS,Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,123,118.93,200,196.38,217,211.74,37,36.8,43,42.88,239,234.15,859,840.88,3,3,0,0,6,6,0,0,9,9,868,849.88,3003901.7,982095.29,0,11879.9,664311.73,302331,4964519.62,37156.29,0,37156.29,5001675.91,,,9,,
01/04/2012,DCLG,Non CS,Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,38,37,38,37,1,1,0,0,0,0,0,0,1,1,39,38,155183.06,15268.95,0,0,28720.05,17225.96,216398.02,2847,0,2847,219245.02,,,1,,
