Month,Short Form,IfG classification,Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,IFG notes,IfG analysis - Non-consultant total,Non payroll,Non payroll component total
01/09/2011,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,21,19.1,6,6,29,26.9,39,34.5,10,10,0,0,105,97,0,0,0,0,0,0,0,0,0,0,105,97,305233.76,4702.25,3690,824.66,60885.63,27083.89,402420.19,3432.92,,3432.92,405853.11,Scotland Office figures include staff working in the Office of the Advocate General for Scotland,,0,,
01/10/2011,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,20,16.1,10,8.3,29,26.6,39,35.5,10,10,0,0,108,97,2,2,0,0,0,0,0,0,2,2,110,99,305233.76,4702.25,3690,824.66,60885.63,27083.89,402420.19,3432.92,,3432.92,405853.11,Scotland Office figures include staff working in the Office of the Advocate General for Scotland,,2,,
01/11/2011,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,18,17.1,6,6,29,27.9,38,34.9,9,9,0,0,100,95,4,4,0,0,0,0,0,0,4,4,104,99,358582.08,5412.87,,2444.44,71025.47,33156.68,470621.54,4095.03,,4095.03,474716.57,Scotland Office figures include staff working in the Office of the Advocate General for Scotland,,4,,
01/12/2011,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,18,17.1,6,6,29,28.1,39,35.9,9,9,0,0,101,96,3,3,0,0,0,0,0,0,3,3,104,99,309183.03,5797,0,4825.92,63078.83,28309.07,411193.85,11034.14,0,11034.14,422227.99,Scotland Office figures include staff working in the Office of the Advocate General for Scotland,,3,,
01/01/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,16,15.1,8,8,29,28.1,40,36.9,9,9,0,0,102,97,4,4,0,0,0,0,0,0,4,4,106,101,353617.1,4390.54,,3122.73,68712.87,32207.06,462050.3,7989.28,,7989.28,470039.58,Scotland Office figures include staff working in the Office of the Advocate General for Scotland,,4,,
01/02/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,16,15.1,8,8,28,27.1,39,35.9,9,9,,,100,95,4,4,,,,,,,4,4,104,99,374449.86,7053.1,,4346.26,76685.38,34534.06,497068.66,6290.1,,6290.1,503358.76,Scotland Office figures include staff working in the Office of the Advocate General for Scotland,,4,,
01/03/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,15,14.1,8,8,27,26.1,39,35.5,8,8,0,0,97,92,4,4,0,0,0,0,0,0,4,4,101,96,489672.88,6124.42,500,15735.52,48661.49,95274.59,655968.9,10712.8,,10712.8,666681.7,Scotland Office figures include staff working in the Office of the Advocate General for Scotland,,4,,
01/04/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,15,14.1,8,8,26,25.3,38,34.9,9,9,,,96,91,4,4,,,,,,,4,4,100,95,312040.42,5543.54,250,7803.71,58783.45,29744.7,414165.82,4413.94,0,4413.94,418579.76,,,4,,
01/05/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,15,14.1,9,9,26,25.3,38,34.9,9,9,,,97,92,5,5,,,,,,,5,5,102,97,321927.85,6764.81,0,5176.06,66640.31,30332.31,430841.34,7692.2,0,7692.2,438533.54,,,5,,
01/06/2012,Scot Off,Whitehall,Scotland Office,Ministerial Department,Scotland Office,14,13.1,8,8,26,25.3,39,35.9,9,9,0,0,96,91,5,5,0,0,0,0,0,0,5,5,101,96,317771.68,6305.77,0,5255.02,63457.03,29739.48,422528.98,7363.62,0,7363.62,429892.6,Scotland Office figures include staff working in the Office of the Advocate General for Scotland,,5,,
