Organisation,Whitehall,Group,Include
Child Support Agency (until 2008),NWH,WelshGov,No
Department for Work and Pensions (excl agencies) (from 2012),NWH,DWP,Yes
Disability and Carers Service (until 2008),NWH,DWP,Yes
DWP Corporate and Shared Services (until 2011),NWH,DWP,Yes
Health and Safety Executive,NWH,DWP,Yes
Jobcentre Plus (until 2011),NWH,DWP,Yes
Pension Services (until 2008),NWH,DWP,Yes
"Pensions, Disability and Carer's Service (from 2009 until 2011)",NWH,DWP,Yes
DWP Shared Services (until 2009),NWH,DWP,Yes
Rent Service (until 2009),NWH,DWP,Yes
