Dept group,Organisation,Dept IfG,Whitehall,Managed,Year,Communications and Marketing,Economics,Engineering,Finance,Human Resources,Information Technology,Inspector of Education and Training,Internal Audit,Knowledge and Information Management,Law,Medicine,Operational Delivery,Operational Research,Planning,Policy Delivery,Procurement and Contract Management,Programme and Project Management,Property Asset Management,Psychology,Science,Social and Market Research,Statistics,Tax Professionals,Veterinarian,Other,Not Reported,Total
Work and Pensions,Jobcentre Plus,DWP,Non-Whitehall,Yes,2010,250,0,0,620,330,20,0,0,0,0,0,80630,0,0,540,..,400,0,..,0,0,0,0,0,0,0,82800
Work and Pensions,Pensions & Disability Carers Service ,DWP,Non-Whitehall,Yes,2010,..,0,0,400,100,0,0,0,0,0,0,12760,0,0,730,0,10,0,0,0,0,0,0,0,0,0,14000
Work and Pensions,The Health and Safety Executive,DWP,Non-Whitehall,No,2010,50,10,0,50,50,10,0,..,10,10,..,2480,0,0,130,10,0,0,10,270,0,20,0,0,500,0,3600
Work and Pensions,The Rent Service,DWP,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Foreign and Commonwealth Office,Foreign and Commonwealth Office (excl agencies),FCO,Whitehall,Yes,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5940,5940
Security and Intelligence Services,Security and Intelligence Services,FCO,Non-Whitehall,No,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5580,5580
Foreign and Commonwealth Office,Wilton Park Executive Agency,FCO,Non-Whitehall,No,2010,0,0,0,..,..,..,0,0,0,0,0,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,70
Foreign and Commonwealth Office,Foreign and Commonwealth Office Services,FCO,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Government Equalities Office,Government Equalities Office,GEO,Whitehall,Yes,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110
UK Statistics Authority,Census Field,CO,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chancellor's other departments,Debt Management Office,HMT,Non-Whitehall,Yes,2010,0,..,0,10,..,30,0,..,0,0,0,30,0,0,10,..,0,0,0,0,0,0,0,0,..,0,90
Chancellor's other departments,Government Actuary's Department,HMT,Non-Whitehall,Yes,2010,0,0,0,10,10,10,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
HM Revenue and Customs,HM Revenue and Customs,HMRC,Non-Whitehall,Yes,2010,150,0,0,460,940,1210,0,50,0,150,0,43580,0,0,1380,110,1660,0,0,0,0,290,8700,0,0,16680,75360
HM Treasury,HM Treasury,HMT,Whitehall,Yes,2010,30,130,0,50,60,40,0,10,..,..,0,10,0,0,330,10,0,0,0,0,10,10,0,0,720,0,1420
HM Treasury,Office for Budget Responsibility,HMT,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
HM Treasury,Asset Protection Agency,HMT,Non-Whitehall,No,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chancellor's other departments,National Savings and Investments,HMT,Non-Whitehall,No,2010,20,0,0,30,..,10,0,..,..,0,0,10,0,0,..,10,10,..,0,0,10,..,0,0,40,0,140
