Dept group,Organisation,Dept IfG,Whitehall,Managed,Year,Communications and Marketing,Economics,Engineering,Finance,Human Resources,Information Technology,Inspector of Education and Training,Internal Audit,Knowledge and Information Management,Law,Medicine,Operational Delivery,Operational Research,Planning,Policy Delivery,Procurement and Contract Management,Programme and Project Management,Property Asset Management,Psychology,Science,Social and Market Research,Statistics,Tax Professionals,Veterinarian,Other,Not Reported,Total
Justice,Tribunals Service,MoJ,Non-Whitehall,Yes,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Justice,UK Supreme Court,MoJ,Non-Whitehall,No,2013,..,0,0,..,..,..,0,0,..,10,0,30,0,0,0,0,0,..,0,0,0,0,0,0,0,0,50
Justice,Wales Office,MoJ,Non-Whitehall,No,2013,10,0,0,..,..,0,0,0,0,..,0,..,0,0,30,0,0,0,0,0,0,0,0,0,0,0,40
Justice,Legal Aid Agency,MoJ,Non-Whitehall,Yes,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Northern Ireland Office,Northern Ireland Office,NIO,Whitehall,Yes,2013,..,0,0,10,..,0,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,90
Scottish Government,Crown Office and Procurator Fiscal,Scot Gov,Non-Whitehall,No,2013,10,0,0,10,30,30,0,0,20,440,0,1010,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1580
Scottish Government,Disclosure Scotland,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170
Scottish Government,Fisheries Research Services,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,General Register Scotland,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,GROS Census Field,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Historic Scotland,Scot Gov,Non-Whitehall,No,2013,30,0,180,30,20,10,0,0,10,0,0,700,0,10,10,..,10,..,0,..,10,0,0,0,0,0,1010
Scottish Government,HM Inspectorate of Education,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Mental Health Tribunal Scotland,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,National Records of Scotland,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,380
Scottish Government,National Archive for Scotland,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Office for the Scottish Charity Regulator,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
Scottish Government,Accountant in Bankruptcy,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140
Scottish Government,Registers of Scotland,Scot Gov,Non-Whitehall,No,2013,30,0,0,40,20,30,0,0,10,20,0,790,0,0,10,0,..,10,0,0,0,0,0,0,0,0,940
Scottish Government,Scottish Court Service,Scot Gov,Non-Whitehall,No,2013,0,0,0,10,40,30,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330
Scottish Government,Scottish Fisheries Protection Agency,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Scottish Government (excl agencies),Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4920,4920
Scottish Government,Scottish Housing Regulator,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
Scottish Government,Scottish Law Commission,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Scottish Prison Service Headquarters,Scot Gov,Non-Whitehall,No,2013,..,0,200,250,170,20,0,..,0,10,20,3240,0,0,0,30,0,0,60,0,0,..,0,0,200,0,4210
Scottish Government,Scottish Public Pensions Agency,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250
Scottish Government,Social Work Inspection Agency,Scot Gov,Non-Whitehall,No,2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scottish Government,Student Awards Agency,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,190
Scottish Government,Transport Scotland,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,370
Scottish Government,Education Scotland,Scot Gov,Non-Whitehall,No,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240
Welsh Assembly,ESTYN,Welsh Gov,Non-Whitehall,No,2013,..,0,0,..,..,0,50,0,..,0,0,20,0,0,0,..,..,..,0,0,0,..,0,0,..,0,100
Welsh Assembly,Welsh Government,Welsh Gov,Non-Whitehall,No,2013,220,40,40,420,230,130,0,40,180,100,30,1810,0,40,1370,80,160,100,0,20,70,40,0,..,170,0,5290
ONS total,All employees,Total employment,Total Employment ONS total,Total Employment ONS total,2013,3080,850,1500,8870,5630,7370,400,670,1410,8130,600,240500,460,550,16510,2200,4570,1470,600,6090,410,1300,23460,380,57140,19780,413930
