#,Columns that need attention when updating,"Raw ONS figures as collated, summed by department and Whitehall/non-Whitehall",,,,,,,,,,,,,,Reclassifications in each period,,,,,,,,,,,,,,"Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,,"% Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,,Calculated rates,,,,,,"Cumulative change to each period, accounting for reclassifications",,,,,,,,,,,,,,"Cumulative % change to each period, accounting for reclassifications",,,,,,,,,,,,,,,Latest and previous period figures. Relies on information entered on SETUP sheet being correct and up to date.,,,,,,,,,
#,,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHECK: Latest quarter: 2013 Q4,,,,CHECK: Previous quarter: 2013 Q3,,,,,
Dept,Whitehall?,ONS 2010 Q3 FTE,ONS 2010 Q4 FTE,ONS 2011 Q1 FTE,ONS 2011 Q2 FTE,ONS 2011 Q3 FTE,ONS 2011 Q4 FTE,ONS 2012 Q1 FTE,ONS 2012 Q2 FTE,ONS 2012 Q3 FTE,ONS 2012 Q4 FTE,ONS 2013 Q1 FTE,ONS 2013 Q2 FTE,ONS 2013 Q3 FTE,ONS 2013 Q4 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Reclass 2013 Q1,Reclass 2013 Q2,Reclass 2013 Q3,Reclass 2013 Q4,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,Change 2013 Q1 FTE,Change 2013 Q2 FTE,Change 2013 Q3 FTE,Change 2013 Q4 FTE,% Change 2010 Q3 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,% Change 2013 Q1 FTE,% Change 2013 Q2 FTE,% Change 2013 Q3 FTE,% Change 2013 Q4 FTE,Product,Number of periods,Change Rate,Cumulative net change,Cumulative % change,Check total change,Cumulative net change to 2010 Q3,Cumulative net change to 2010 Q4,Cumulative net change to 2011 Q1,Cumulative net change to 2011 Q2,Cumulative net change to 2011 Q3,Cumulative net change to 2011 Q4,Cumulative net change to 2012 Q1,Cumulative net change to 2012 Q2,Cumulative net change to 2012 Q3,Cumulative net change to 2012 Q4,Cumulative net change to 2013 Q1,Cumulative net change to 2013 Q2,Cumulative net change to 2013 Q3,Cumulative net change to 2013 Q4,Cumulative % net change to 2010 Q3,Cumulative % net change to 2010 Q4,Cumulative % net change to 2011 Q1,Cumulative % net change to 2011 Q2,Cumulative % net change to 2011 Q3,Cumulative % net change to 2011 Q4,Cumulative % net change to 2012 Q1,Cumulative % net change to 2012 Q2,Cumulative % net change to 2012 Q3,Cumulative % net change to 2012 Q4,Cumulative % net change to 2013 Q1,Cumulative % net change to 2013 Q2,Cumulative % net change to 2013 Q3,Cumulative % net change to 2013 Q4,Check cumulative change,Cumulative % net change to Previous Quarter,Cumulative % net change to Latest Quarter,Cumulative net change to Previous Quarter,Cumulative net change to Latest Quarter,Net change in Previous Quarter,Net change in Latest Quarter,% net change in Previous Quarter,% net change in Latest Quarter,ONS total in previous quarter,ONS total in latest quarter
DH,Whitehall,2540,2570,2560,2390,2370,2330,2290,2270,2260,2240,2200,1870,1850,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-10,-170,-20,-40,-40,-20,-10,-20,-40,-330,-20,-10,0,0.011811024,-0.003891051,-0.06640625,-0.008368201,-0.016877637,-0.017167382,-0.008733624,-0.004405286,-0.008849558,-0.017857143,-0.15,-0.010695187,-0.005405405,0.724409449,13,-0.024494895,-690,-0.275590551,OK,0,30,20,-150,-170,-210,-250,-270,-280,-300,-340,-670,-690,-700,0,0.011811024,0.007874016,-0.059055118,-0.066929134,-0.082677165,-0.098425197,-0.106299213,-0.11023622,-0.118110236,-0.133858268,-0.263779528,-0.271653543,-0.275590551,OK,-0.271653543,-0.275590551,-690,-700,-20,-10,-0.010695187,-0.005405405,1850,1840
DWP,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
FCO,Whitehall,5900,5770,5660,5560,5450,5770,5780,6420,4620,4760,4770,4740,4690,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130,-110,-100,-110,320,10,640,-1800,140,10,-30,-50,10,0,-0.022033898,-0.019064125,-0.017667845,-0.019784173,0.058715596,0.001733102,0.110726644,-0.280373832,0.03030303,0.00210084,-0.006289308,-0.010548523,0.002132196,0.796610169,13,-0.017339438,-1210,-0.203389831,OK,0,-130,-240,-340,-450,-130,-120,520,-1280,-1140,-1130,-1160,-1210,-1200,0,-0.022033898,-0.040677966,-0.057627119,-0.076271186,-0.022033898,-0.020338983,0.088135593,-0.216949153,-0.193220339,-0.191525424,-0.196610169,-0.205084746,-0.203389831,OK,-0.205084746,-0.203389831,-1210,-1200,-50,10,-0.010548523,0.002132196,4690,4700
GEO,Whitehall,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,,,0,0
HMRC,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
HMT,Whitehall,1360,1300,1240,1150,1130,1110,1180,1140,1140,1130,1130,1100,1110,1090,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,-60,-60,-90,-20,-20,70,-10,0,-10,0,-30,10,-20,0,-0.044117647,-0.046153846,-0.072580645,-0.017391304,-0.017699115,0.063063063,-0.008474576,0,-0.00877193,0,-0.026548673,0.009090909,-0.018018018,0.82256192,13,-0.014913182,-220,-0.17743808,OK,0,-60,-120,-210,-230,-250,-180,-190,-190,-200,-200,-230,-220,-240,0,-0.044117647,-0.088235294,-0.154411765,-0.169117647,-0.183823529,-0.132352941,-0.139705882,-0.139705882,-0.147252322,-0.147252322,-0.169891641,-0.162345201,-0.17743808,OK,-0.162345201,-0.17743808,-220,-240,10,-20,0.009090909,-0.018018018,1110,1090
HO,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
MoD,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
MoJ,Whitehall,3300,4470,4510,4300,4250,4160,4060,4260,4290,4340,4310,4340,4160,4080,0,1269,0,0,0,0,0,200,100,25,0,0,0,0,0,-99,40,-210,-50,-90,-100,0,-70,25,-30,30,-180,-80,0,-0.03,0.008948546,-0.046563193,-0.011627907,-0.021176471,-0.024038462,0,-0.016431925,0.005827506,-0.006912442,0.006960557,-0.041474654,-0.019230769,0.819386133,13,-0.015206264,-734,-0.180613867,OK,0,-99,-59,-269,-319,-409,-509,-509,-579,-554,-584,-554,-734,-814,0,-0.03,-0.021319911,-0.06689038,-0.077740492,-0.097270694,-0.118970917,-0.118970917,-0.133447921,-0.128398084,-0.134422982,-0.128398084,-0.164547472,-0.180613867,OK,-0.164547472,-0.180613867,-734,-814,-180,-80,-0.041474654,-0.019230769,4160,4080
NIO,Whitehall,110,110,100,50,50,50,60,90,90,90,90,90,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-50,0,0,10,30,0,0,0,0,10,0,0,0,-0.090909091,-0.5,0,0,0.2,0.5,0,0,0,0,0.111111111,0,0.909090909,13,-0.007304742,-10,-0.090909091,OK,0,0,-10,-60,-60,-60,-50,-20,-20,-20,-20,-20,-10,-10,0,0,-0.090909091,-0.545454545,-0.545454545,-0.545454545,-0.454545455,-0.181818182,-0.181818182,-0.181818182,-0.181818182,-0.181818182,-0.090909091,-0.090909091,OK,-0.090909091,-0.090909091,-10,-10,10,0,0.111111111,0,100,100
Scot Gov,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
Welsh Gov,Whitehall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0
