#,Columns that need attention when updating,"Raw ONS figures as collated, summed by department and Whitehall/non-Whitehall",,,,,,,,,,,,,,Reclassifications in each period,,,,,,,,,,,,,,"Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,,"% Change in each period, accounting for reclassifications in each period",,,,,,,,,,,,,,Calculated rates,,,,,,"Cumulative change to each period, accounting for reclassifications",,,,,,,,,,,,,,"Cumulative % change to each period, accounting for reclassifications",,,,,,,,,,,,,,,Latest and previous period figures. Relies on information entered on SETUP sheet being correct and up to date.,,,,,,,,,
#,,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHECK: Latest quarter: 2013 Q4,,,,CHECK: Previous quarter: 2013 Q3,,,,,
Dept,Whitehall?,ONS 2010 Q3 FTE,ONS 2010 Q4 FTE,ONS 2011 Q1 FTE,ONS 2011 Q2 FTE,ONS 2011 Q3 FTE,ONS 2011 Q4 FTE,ONS 2012 Q1 FTE,ONS 2012 Q2 FTE,ONS 2012 Q3 FTE,ONS 2012 Q4 FTE,ONS 2013 Q1 FTE,ONS 2013 Q2 FTE,ONS 2013 Q3 FTE,ONS 2013 Q4 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Reclass 2013 Q1,Reclass 2013 Q2,Reclass 2013 Q3,Reclass 2013 Q4,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,Change 2013 Q1 FTE,Change 2013 Q2 FTE,Change 2013 Q3 FTE,Change 2013 Q4 FTE,% Change 2010 Q3 FTE,% Change 2010 Q4 FTE,% Change 2011 Q1 FTE,% Change 2011 Q2 FTE,% Change 2011 Q3 FTE,% Change 2011 Q4 FTE,% Change 2012 Q1 FTE,% Change 2012 Q2 FTE,% Change 2012 Q3 FTE,% Change 2012 Q4 FTE,% Change 2013 Q1 FTE,% Change 2013 Q2 FTE,% Change 2013 Q3 FTE,% Change 2013 Q4 FTE,Product,Number of periods,Change Rate,Cumulative net change,Cumulative % change,Check total change,Cumulative net change to 2010 Q3,Cumulative net change to 2010 Q4,Cumulative net change to 2011 Q1,Cumulative net change to 2011 Q2,Cumulative net change to 2011 Q3,Cumulative net change to 2011 Q4,Cumulative net change to 2012 Q1,Cumulative net change to 2012 Q2,Cumulative net change to 2012 Q3,Cumulative net change to 2012 Q4,Cumulative net change to 2013 Q1,Cumulative net change to 2013 Q2,Cumulative net change to 2013 Q3,Cumulative net change to 2013 Q4,Cumulative % net change to 2010 Q3,Cumulative % net change to 2010 Q4,Cumulative % net change to 2011 Q1,Cumulative % net change to 2011 Q2,Cumulative % net change to 2011 Q3,Cumulative % net change to 2011 Q4,Cumulative % net change to 2012 Q1,Cumulative % net change to 2012 Q2,Cumulative % net change to 2012 Q3,Cumulative % net change to 2012 Q4,Cumulative % net change to 2013 Q1,Cumulative % net change to 2013 Q2,Cumulative % net change to 2013 Q3,Cumulative % net change to 2013 Q4,Check cumulative change,Cumulative % net change to Previous Quarter,Cumulative % net change to Latest Quarter,Cumulative net change to Previous Quarter,Cumulative net change to Latest Quarter,Net change in Previous Quarter,Net change in Latest Quarter,% net change in Previous Quarter,% net change in Latest Quarter,ONS total in previous quarter,ONS total in latest quarter
DfID,Departmental Group,1600,1580,1570,1560,1560,1620,1650,1690,1710,1730,1760,1810,1830,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-10,-10,0,60,30,40,20,20,30,50,20,-10,0,-0.0125,-0.006329114,-0.006369427,0,0.038461538,0.018518519,0.024242424,0.01183432,0.011695906,0.01734104,0.028409091,0.011049724,-0.005464481,1.1375,13,0.00995949,230,0.1375,OK,0,-20,-30,-40,-40,20,50,90,110,130,160,210,230,220,0,-0.0125,-0.01875,-0.025,-0.025,0.0125,0.03125,0.05625,0.06875,0.08125,0.1,0.13125,0.14375,0.1375,OK,0.14375,0.1375,230,220,20,-10,0.011049724,-0.005464481,1830,1820
DfT,Departmental Group,18400,18150,17670,17380,17170,17030,16920,16840,16770,16770,16790,16470,16460,16060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-250,-480,-290,-210,-140,-110,-80,-70,0,20,-320,-10,-400,0,-0.013586957,-0.026446281,-0.016411998,-0.012082854,-0.008153757,-0.00645919,-0.004728132,-0.00415677,0,0.001192606,-0.019058964,-0.000607165,-0.024301337,0.872826087,13,-0.01040845,-1940,-0.127173913,OK,0,-250,-730,-1020,-1230,-1370,-1480,-1560,-1630,-1630,-1610,-1930,-1940,-2340,0,-0.013586957,-0.039673913,-0.055434783,-0.066847826,-0.074456522,-0.080434783,-0.084782609,-0.088586957,-0.088586957,-0.0875,-0.104891304,-0.105434783,-0.127173913,OK,-0.105434783,-0.127173913,-1940,-2340,-10,-400,-0.000607165,-0.024301337,16460,16060
DH,Departmental Group,5110,5090,5020,4850,4610,4540,4470,4450,4450,4420,4390,9130,9120,9250,0,0,0,0,0,0,0,0,0,0,0,4800,0,0,0,-20,-70,-170,-240,-70,-70,-20,0,-30,-30,-60,-10,130,0,-0.003913894,-0.013752456,-0.033864542,-0.049484536,-0.015184382,-0.015418502,-0.004474273,0,-0.006741573,-0.00678733,-0.013667426,-0.00109529,0.014254386,0.858495358,13,-0.011667858,-790,-0.141504642,OK,0,-20,-90,-260,-500,-570,-640,-660,-660,-690,-720,-780,-790,-660,0,-0.003913894,-0.017612524,-0.050880626,-0.097847358,-0.111545988,-0.125244618,-0.129158513,-0.129158513,-0.135029354,-0.140900196,-0.152641879,-0.153569982,-0.141504642,OK,-0.153569982,-0.141504642,-790,-660,-10,130,-0.00109529,0.014254386,9120,9250
DWP,Departmental Group,115430,112320,109590,105700,102380,101100,99800,98210,98450,97290,95710,93780,92230,90180,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,-3110,-2730,-3890,-3320,-1280,-1300,-1590,240,-1160,-1580,-1860,-1550,-2050,0,-0.026942736,-0.024305556,-0.035495939,-0.03140965,-0.012502442,-0.012858556,-0.015931864,0.002443743,-0.011782631,-0.016240107,-0.019433706,-0.016528044,-0.022227041,0.781835856,13,-0.018753497,-23130,-0.218164144,OK,0,-3110,-5840,-9730,-13050,-14330,-15630,-17220,-16980,-18140,-19720,-21580,-23130,-25180,0,-0.026942736,-0.050593433,-0.084293511,-0.113055531,-0.124144503,-0.13540674,-0.149181322,-0.14710214,-0.15715152,-0.17083947,-0.186953132,-0.200391206,-0.218164144,OK,-0.200391206,-0.218164144,-23130,-25180,-1550,-2050,-0.016528044,-0.022227041,92230,90180
FCO,Departmental Group,11560,11400,11030,10910,10760,11060,11070,11680,10720,10900,10920,10930,11060,11080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-160,-370,-120,-150,300,10,610,-960,180,20,10,130,20,0,-0.01384083,-0.03245614,-0.01087942,-0.013748854,0.027881041,0.000904159,0.055103884,-0.082191781,0.016791045,0.001834862,0.000915751,0.01189387,0.001808318,0.958477509,13,-0.003256929,-500,-0.041522491,OK,0,-160,-530,-650,-800,-500,-490,120,-840,-660,-640,-630,-500,-480,0,-0.01384083,-0.045847751,-0.056228374,-0.069204152,-0.043252595,-0.042387543,0.010380623,-0.07266436,-0.057093426,-0.055363322,-0.05449827,-0.043252595,-0.041522491,OK,-0.043252595,-0.041522491,-500,-480,130,20,0.01189387,0.001808318,11060,11080
GEO,Departmental Group,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,,,0,0
HMRC,Departmental Group,71320,70540,70610,71180,70570,70440,69940,69160,68170,67880,68020,67380,66570,65960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-780,70,570,-610,-130,-500,-780,-990,-290,140,-640,-810,-610,0,-0.010936624,0.000992345,0.008072511,-0.008569823,-0.001842143,-0.00709824,-0.011152416,-0.014314633,-0.004254071,0.002062463,-0.009408997,-0.012021371,-0.009163287,0.924845766,13,-0.005991846,-4750,-0.075154234,OK,0,-780,-710,-140,-750,-880,-1380,-2160,-3150,-3440,-3300,-3940,-4750,-5360,0,-0.010936624,-0.009955132,-0.001962984,-0.010515984,-0.012338755,-0.019349411,-0.030286035,-0.044167134,-0.048233315,-0.046270331,-0.055243971,-0.066601234,-0.075154234,OK,-0.066601234,-0.075154234,-4750,-5360,-810,-610,-0.012021371,-0.009163287,66570,65960
HMT,Departmental Group,1730,1670,1610,1530,1560,1540,1610,1560,1570,1570,1570,1530,1560,1560,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,-60,-60,-80,30,-20,70,-20,10,0,0,-40,30,0,0,-0.034682081,-0.035928144,-0.049689441,0.019607843,-0.012820513,0.045454545,-0.01242236,0.006410256,0,0,-0.025477707,0.019607843,0,0.919075145,13,-0.006470315,-140,-0.080924855,OK,0,-60,-120,-200,-170,-190,-120,-140,-130,-130,-130,-170,-140,-140,0,-0.034682081,-0.069364162,-0.115606936,-0.098265896,-0.10982659,-0.069364162,-0.080924855,-0.075033348,-0.075033348,-0.075033348,-0.098599378,-0.080924855,-0.080924855,OK,-0.080924855,-0.080924855,-140,-140,30,0,0.019607843,0,1560,1560
HO,Departmental Group,29070,27910,27380,26310,25580,24850,24640,24520,24430,24630,24810,24840,25320,25330,0,0,0,150,0,0,0,0,0,40,-100,0,-60,-80,0,-1160,-530,-1220,-730,-730,-210,-120,-90,160,280,30,540,90,0,-0.039903681,-0.018989609,-0.044558072,-0.027746104,-0.02853792,-0.008450704,-0.00487013,-0.003670473,0.006549325,0.01136825,0.00120919,0.02173913,0.003554502,0.873263929,13,-0.010370273,-3780,-0.126736071,OK,0,-1160,-1690,-2910,-3640,-4370,-4580,-4700,-4790,-4630,-4350,-4320,-3780,-3690,0,-0.039903681,-0.058135535,-0.100103199,-0.12507183,-0.15004046,-0.157223217,-0.161327649,-0.164405973,-0.158933397,-0.149371941,-0.14834337,-0.129829096,-0.126736071,OK,-0.129829096,-0.126736071,-3780,-3690,540,90,0.02173913,0.003554502,25320,25330
MoD,Departmental Group,73590,73130,72080,70680,68000,64590,61330,59640,58760,57350,56710,56390,56230,55760,0,0,0,0,-1760,0,0,0,0,0,0,0,0,0,0,-460,-1050,-1400,-920,-3410,-3260,-1690,-880,-1410,-640,-320,-160,-470,0,-0.006250849,-0.014357993,-0.019422863,-0.013016412,-0.050147059,-0.050472209,-0.027555845,-0.014755198,-0.023995916,-0.011159547,-0.005642744,-0.002837383,-0.008358527,0.777323006,13,-0.019190345,-15600,-0.222676994,OK,0,-460,-1510,-2910,-3830,-7240,-10500,-12190,-13070,-14480,-15120,-15440,-15600,-16070,0,-0.006250849,-0.020519092,-0.039543416,-0.052045115,-0.099582264,-0.145028337,-0.168587804,-0.180855455,-0.200511578,-0.209433507,-0.213894471,-0.216124953,-0.222676994,OK,-0.216124953,-0.222676994,-15600,-16070,-160,-470,-0.002837383,-0.008358527,56230,55760
MoJ,Departmental Group,79230,78790,78210,76050,70720,68610,67350,66150,65070,64460,63520,63770,62490,60220,0,0,0,0,-4470,0,0,0,0,0,0,1600,0,0,0,-440,-580,-2160,-860,-2110,-1260,-1200,-1080,-610,-940,-1350,-1280,-2270,0,-0.005553452,-0.00736134,-0.027617952,-0.01130835,-0.029835973,-0.01836467,-0.017817372,-0.016326531,-0.00937452,-0.014582687,-0.021253149,-0.020072134,-0.036325812,0.787831567,13,-0.018176694,-13870,-0.212168433,OK,0,-440,-1020,-3180,-4040,-6150,-7410,-8610,-9690,-10300,-11240,-12590,-13870,-16140,0,-0.005553452,-0.012873911,-0.040136312,-0.050990786,-0.079305399,-0.096213652,-0.112316749,-0.126809537,-0.134995278,-0.147609371,-0.165725356,-0.182471029,-0.212168433,OK,-0.182471029,-0.212168433,-13870,-16140,-1280,-2270,-0.020072134,-0.036325812,62490,60220
NIO,Departmental Group,110,110,100,50,50,50,60,90,90,90,90,90,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-50,0,0,10,30,0,0,0,0,10,0,0,0,-0.090909091,-0.5,0,0,0.2,0.5,0,0,0,0,0.111111111,0,0.909090909,13,-0.007304742,-10,-0.090909091,OK,0,0,-10,-60,-60,-60,-50,-20,-20,-20,-20,-20,-10,-10,0,0,-0.090909091,-0.545454545,-0.545454545,-0.545454545,-0.454545455,-0.181818182,-0.181818182,-0.181818182,-0.181818182,-0.181818182,-0.090909091,-0.090909091,OK,-0.090909091,-0.090909091,-10,-10,10,0,0.111111111,0,100,100
Scot Gov,Departmental Group,16750,16620,16370,16190,16080,15800,15720,15770,15690,15660,15820,15880,15950,15900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130,-250,-180,-110,-280,-80,50,-80,-30,160,60,70,-50,0,-0.007761194,-0.015042118,-0.010995724,-0.006794317,-0.017412935,-0.005063291,0.003180662,-0.005072923,-0.001912046,0.010217114,0.003792668,0.00440806,-0.003134796,0.949253731,13,-0.003998075,-800,-0.050746269,OK,0,-130,-380,-560,-670,-950,-1030,-980,-1060,-1090,-930,-870,-800,-850,0,-0.007761194,-0.022686567,-0.033432836,-0.04,-0.056716418,-0.061492537,-0.058507463,-0.063283582,-0.065074627,-0.055522388,-0.051940299,-0.047761194,-0.050746269,OK,-0.047761194,-0.050746269,-800,-850,70,-50,0.00440806,-0.003134796,15950,15900
Welsh Gov,Departmental Group,5610,5550,5450,5300,5110,5100,5170,5230,5310,5310,5390,5490,5530,5500,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,-60,-100,-150,-190,-10,70,60,80,0,40,100,40,-30,0,-0.010695187,-0.018018018,-0.027522936,-0.035849057,-0.001956947,0.01372549,0.011605416,0.015296367,0,0.007532957,0.018552876,0.007285974,-0.005424955,0.973116519,13,-0.00209407,-120,-0.026883481,OK,0,-60,-160,-310,-500,-510,-440,-380,-300,-300,-260,-160,-120,-150,0,-0.010695187,-0.028520499,-0.055258467,-0.08912656,-0.090909091,-0.078431373,-0.067736185,-0.053475936,-0.053475936,-0.046345811,-0.028652783,-0.021575572,-0.026883481,OK,-0.021575572,-0.026883481,-120,-150,40,-30,0.007285974,-0.005424955,5530,5500
Total,Whitehall,31790,32230,31610,30140,29420,29500,29570,30550,28730,28900,28990,28690,28450,28410,0,1269,0,90,0,0,0,298,100,25,100,90,0,0,0,-829,-620,-1560,-720,80,70,682,-1920,145,-10,-390,-240,-40,0,-0.026077383,-0.019236736,-0.049351471,-0.02388852,0.002719239,0.002372881,0.023063916,-0.062847791,0.005046989,-0.000346021,-0.013452915,-0.008365284,-0.001405975,0.838347684,13,-0.013471692,-5312,-0.161652316,OK,0,-829,-1449,-3009,-3729,-3649,-3579,-2897,-4817,-4672,-4682,-5072,-5312,-5352,0,-0.026077383,-0.044812475,-0.091952385,-0.113644298,-0.111234086,-0.10912515,-0.088578087,-0.14585894,-0.1415481,-0.141845142,-0.153389826,-0.160471961,-0.161652316,OK,-0.160471961,-0.161652316,-5312,-5352,-240,-40,-0.008365284,-0.001405975,28450,28410
Total,Non-Whitehall,446350,437750,431610,422210,414380,405820,398740,393670,391310,387820,385010,386860,383860,378300,0,-1269,0,-90,0,0,0,852,-100,15,-190,6310,0,0,0,-7331,-6140,-9310,-7830,-8560,-7080,-5922,-2260,-3505,-2620,-4460,-3000,-5560,0,-0.016424331,-0.014026271,-0.021570399,-0.018545274,-0.020657368,-0.017446158,-0.014851783,-0.005740849,-0.008957093,-0.006755711,-0.011584115,-0.007754743,-0.014484447,0.835095089,13,-0.013766644,-68018,-0.164904911,OK,0,-7331,-13471,-22781,-30611,-39171,-46251,-52173,-54433,-57938,-60558,-65018,-68018,-73578,0,-0.016424331,-0.030220229,-0.051138766,-0.068735657,-0.087973127,-0.103884493,-0.117193406,-0.122261465,-0.130123451,-0.136000085,-0.14600876,-0.152631242,-0.164904911,OK,-0.152631242,-0.164904911,-68018,-73578,-3000,-5560,-0.007754743,-0.014484447,383860,378300
Total,Departmental Group,478140,469980,463220,452350,443800,435320,428310,424220,420040,416720,414000,415550,412310,406710,0,0,0,0,0,0,0,1150,0,40,-90,6400,0,0,0,-8160,-6760,-10870,-8550,-8480,-7010,-5240,-4180,-3360,-2630,-4850,-3240,-5600,0,-0.017066131,-0.014383591,-0.023466172,-0.018901293,-0.019107706,-0.016103097,-0.012234129,-0.009853378,-0.007999238,-0.006311192,-0.011714976,-0.007796896,-0.013582014,0.835339169,13,-0.013744474,-73330,-0.164660831,OK,0,-8160,-14920,-25790,-34340,-42820,-49830,-55070,-59250,-62610,-65240,-70090,-73330,-78930,0,-0.017066131,-0.03120425,-0.053938177,-0.071819969,-0.08955536,-0.104216338,-0.115175472,-0.123893982,-0.130902163,-0.136387206,-0.146504409,-0.153159025,-0.164660831,OK,-0.153159025,-0.164660831,-73330,-78930,-3240,-5600,-0.007796896,-0.013582014,412310,406710
Total excl. Whitehall FCO,Whitehall,25890,26460,25950,24580,23970,23730,23790,24130,24110,24140,24220,23950,23760,23710,0,1269,0,90,0,0,0,298,100,25,100,90,0,0,0,-699,-510,-1460,-610,-240,60,42,-120,5,-20,-360,-190,-50,0,-0.026998841,-0.019274376,-0.056262042,-0.024816924,-0.010012516,0.002528445,0.001765448,-0.004973063,0.000207383,-0.0008285,-0.014863749,-0.007933194,-0.002104377,0.846794801,13,-0.012710597,-4102,-0.153205199,OK,0,-699,-1209,-2669,-3279,-3519,-3459,-3417,-3537,-3532,-3552,-3912,-4102,-4152,0,-0.026998841,-0.045752832,-0.099440726,-0.121789838,-0.130582931,-0.128384658,-0.126845866,-0.131188116,-0.13100794,-0.1317279,-0.144633679,-0.151419466,-0.153205199,OK,-0.151419466,-0.153205199,-4102,-4152,-190,-50,-0.007933194,-0.002104377,23760,23710
Total excl. Whitehall FCO,Non-Whitehall,446350,437750,431610,422210,414380,405820,398740,393670,391310,387820,385010,386860,383860,378300,0,-1269,0,-90,0,0,0,852,-100,15,-190,6310,0,0,0,-7331,-6140,-9310,-7830,-8560,-7080,-5922,-2260,-3505,-2620,-4460,-3000,-5560,0,-0.016424331,-0.014026271,-0.021570399,-0.018545274,-0.020657368,-0.017446158,-0.014851783,-0.005740849,-0.008957093,-0.006755711,-0.011584115,-0.007754743,-0.014484447,0.835095089,13,-0.013766644,-68018,-0.164904911,OK,0,-7331,-13471,-22781,-30611,-39171,-46251,-52173,-54433,-57938,-60558,-65018,-68018,-73578,0,-0.016424331,-0.030220229,-0.051138766,-0.068735657,-0.087973127,-0.103884493,-0.117193406,-0.122261465,-0.130123451,-0.136000085,-0.14600876,-0.152631242,-0.164904911,OK,-0.152631242,-0.164904911,-68018,-73578,-3000,-5560,-0.007754743,-0.014484447,383860,378300
Total excl. Whitehall FCO,Departmental Group,472240,464210,457560,446790,438350,429550,422530,417800,415420,411960,409230,410810,407620,402010,0,0,0,0,0,0,0,1150,0,40,-90,6400,0,0,0,-8030,-6650,-10770,-8440,-8800,-7020,-5880,-2380,-3500,-2640,-4820,-3190,-5610,0,-0.017004066,-0.014325413,-0.023537897,-0.018890306,-0.020075282,-0.016342684,-0.013916172,-0.005696506,-0.008425208,-0.006408389,-0.011778218,-0.007765147,-0.013762818,0.83581709,13,-0.01370108,-72120,-0.16418291,OK,0,-8030,-14680,-25450,-33890,-42690,-49710,-55590,-57970,-61470,-64110,-68930,-72120,-77730,0,-0.017004066,-0.031085889,-0.053892089,-0.071764357,-0.09039895,-0.105264272,-0.117715568,-0.122741506,-0.130132592,-0.135707041,-0.145886871,-0.152519185,-0.16418291,OK,-0.152519185,-0.16418291,-72120,-77730,-3190,-5610,-0.007765147,-0.013762818,407620,402010
Total employment,Total Employment ONS total,478380,470210,470760,452560,443740,435240,428280,424220,419990,416670,413890,415480,412200,406630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8170,550,-18200,-8820,-8500,-6960,-4060,-4230,-3320,-2780,1590,-3280,-5570,1,-0.017078473,0.00116969,-0.038660889,-0.019489129,-0.019155361,-0.015991177,-0.00947978,-0.009971241,-0.00790495,-0.006671947,0.0038416,-0.007894483,-0.013512858,0.850014633,13,-0.01242233,-66180,-0.149985367,OK,0,-8170,-7620,-25820,-34640,-43140,-50100,-54160,-58390,-61710,-64490,-62900,-66180,-71750,0,-0.017078473,-0.01592876,-0.053973828,-0.072411054,-0.090179355,-0.104728459,-0.113215435,-0.122057778,-0.128997868,-0.134809148,-0.13148543,-0.138341904,-0.149985367,OK,-0.138341904,-0.149985367,-66180,-71750,-3280,-5570,-0.007894483,-0.013512858,412200,406630
