Dept,Whitehall?,Raw 2010 Q3 FTE,Raw 2010 Q4 FTE,Raw 2011 Q1 FTE,Raw 2011 Q2 FTE,Raw 2011 Q3 FTE,Raw 2011 Q4 FTE,Raw 2012 Q1 FTE,Raw 2012 Q2 FTE,Raw 2012 Q3 FTE,Raw 2012 Q4 FTE,Reclass 2010 Q3,Reclass 2010 Q4,Reclass 2011 Q1,Reclass 2011 Q2,Reclass 2011 Q3,Reclass 2011 Q4,Reclass 2012 Q1,Reclass 2012 Q2,Reclass 2012 Q3,Reclass 2012 Q4,Change 2010 Q3 FTE,Change 2010 Q4 FTE,Change 2011 Q1 FTE,Change 2011 Q2 FTE,Change 2011 Q3 FTE,Change 2011 Q4 FTE,Change 2012 Q1 FTE,Change 2012 Q2 FTE,Change 2012 Q3 FTE,Change 2012 Q4 FTE,perc Change 2010 Q3 FTE,perc Change 2010 Q4 FTE,perc Change 2011 Q1 FTE,perc Change 2011 Q2 FTE,perc Change 2011 Q3 FTE,perc Change 2011 Q4 FTE,perc Change 2012 Q1 FTE,perc Change 2012 Q2 FTE,perc Change 2012 Q3 FTE,perc Change 2012 Q4 FTE,Product,Number of periods,Change Rate,Cumulative endogenous change,Cumulative perc cut,Check total change,Dept group,Dept group alt,Cumulative abs endog change to 2010 Q3,Cumulative abs endog change to 2010 Q4,Cumulative abs endog change to 2011 Q1,Cumulative abs endog change to 2011 Q2,Cumulative abs endog change to 2011 Q3,Cumulative abs endog change to 2011 Q4,Cumulative abs endog change to 2012 Q1,Cumulative abs endog change to 2012 Q2,Cumulative abs endog change to 2012 Q3,Cumulative abs endog change to 2012 Q4,Cumulative perc endog change to 2010 Q3,Cumulative perc endog change to 2010 Q4,Cumulative perc endog change to 2011 Q1,Cumulative perc endog change to 2011 Q2,Cumulative perc endog change to 2011 Q3,Cumulative perc endog change to 2011 Q4,Cumulative perc endog change to 2012 Q1,Cumulative perc endog change to 2012 Q2,Cumulative perc endog change to 2012 Q3,Cumulative perc endog change to 2012 Q4,Check cumulative change
Scot Gov,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,0,,,Other,Devolved,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Welsh Gov,Core Whitehall Depts.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,0,,,Other,Devolved,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
AGO,Non-Whitehall Civil Service,9100,8980,8900,8670,8460,8340,8340,8280,8180,8080,0,0,0,-40,0,0,0,0,0,0,0,-120,-80,-190,-210,-120,0,-60,-100,-100,0,-0.013186813,-0.008908686,-0.021348315,-0.024221453,-0.014184397,0,-0.007194245,-0.012077295,-0.012224939,0.892008568,9,-0.012617451,-980,-0.107991432,OK,Other,Other,0,-120,-200,-390,-600,-720,-720,-780,-880,-980,0,-0.013186813,-0.021978022,-0.042857143,-0.066040534,-0.079288186,-0.079288186,-0.085912012,-0.096951722,-0.107991432,OK
BIS,Non-Whitehall Civil Service,8460,8200,8120,7630,14880,14570,14220,14220,14170,14280,0,0,0,0,7290,0,0,0,0,0,0,-260,-80,-490,-40,-310,-350,0,-50,110,0,-0.030732861,-0.009756098,-0.060344828,-0.005242464,-0.020833333,-0.024021963,0,-0.003516174,0.007762879,0.860987188,9,-0.016493103,-1470,-0.139012812,OK,Policy,Policy,0,-260,-340,-830,-870,-1180,-1530,-1530,-1580,-1470,0,-0.030732861,-0.040189125,-0.098108747,-0.102836879,-0.121527778,-0.142630405,-0.142630405,-0.145645066,-0.139012812,OK
CO,Non-Whitehall Civil Service,1950,1630,1580,1330,1230,1200,1100,720,750,780,0,0,0,-200,0,0,0,-68,0,0,0,-320,-50,-50,-100,-30,-100,-312,30,30,0,-0.164102564,-0.030674847,-0.03164557,-0.07518797,-0.024390244,-0.083333333,-0.283636364,0.041666667,0.04,0.503609023,9,-0.073385103,-902,-0.496390977,OK,Centre,Centre,0,-320,-370,-420,-520,-550,-650,-962,-932,-902,0,-0.164102564,-0.18974359,-0.215384615,-0.274378253,-0.292076345,-0.351069983,-0.535130133,-0.515760555,-0.496390977,OK
DCLG,Non-Whitehall Civil Service,2090,2050,1950,1910,840,840,820,840,820,830,0,0,0,0,-1060,0,0,0,0,0,0,-40,-100,-40,-10,0,-20,20,-20,10,0,-0.019138756,-0.048780488,-0.020512821,-0.005235602,0,-0.023809524,0.024390244,-0.023809524,0.012195122,0.898268398,9,-0.011849938,-200,-0.101731602,OK,Policy,Policy,0,-40,-140,-180,-190,-190,-210,-190,-210,-200,0,-0.019138756,-0.066985646,-0.086124402,-0.090909091,-0.090909091,-0.112554113,-0.090909091,-0.112554113,-0.101731602,OK
DCMS,Non-Whitehall Civil Service,110,120,120,120,110,110,120,130,130,110,0,0,0,0,0,0,0,0,0,0,0,10,0,0,-10,0,10,10,0,-20,0,0.090909091,0,0,-0.083333333,0,0.090909091,0.083333333,0,-0.153846154,1,9,0,0,0,OK,Policy,Policy,0,10,10,10,0,0,10,20,20,0,0,0.090909091,0.090909091,0.090909091,-1.11E-16,-1.11E-16,0.090909091,0.181818182,0.181818182,-3.33E-16,OK
DECC,Non-Whitehall Civil Service,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9,,0,,,Policy,Policy,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
DEFRA,Non-Whitehall Civil Service,7070,6910,6880,6870,6560,6440,6400,6290,6210,6170,0,0,0,0,0,0,0,0,0,0,0,-160,-30,-10,-310,-120,-40,-110,-80,-40,0,-0.022630835,-0.004341534,-0.001453488,-0.045123726,-0.018292683,-0.00621118,-0.0171875,-0.012718601,-0.006441224,0.872701556,9,-0.015015202,-900,-0.127298444,OK,Policy,Policy,0,-160,-190,-200,-510,-630,-670,-780,-860,-900,0,-0.022630835,-0.026874116,-0.028288543,-0.072135785,-0.089108911,-0.09476662,-0.110325318,-0.121640736,-0.127298444,OK
DfE,Non-Whitehall Civil Service,1670,1630,1620,1610,1590,1670,1670,2750,2660,2580,0,0,0,0,0,0,0,1120,0,0,0,-40,-10,-10,-20,80,0,-40,-90,-80,0,-0.023952096,-0.006134969,-0.00617284,-0.01242236,0.050314465,0,-0.023952096,-0.032727273,-0.030075188,0.915710397,9,-0.009736196,-210,-0.084289603,OK,Policy,Policy,0,-40,-50,-60,-80,0,0,-40,-130,-210,0,-0.023952096,-0.02994012,-0.035928144,-0.047904192,0,0,-0.023952096,-0.055895482,-0.084289603,OK
