"","Group","Date","Civil.Service.grad","Ethnic.grou","count","total","share","sorter","yvar","minpop"
"46","DECC",2012,"All grades","Ethnic Minority",140,830,0.168674698795181,0.168674698795181,0.168674698795181,0.14
"47","DECC",2012,"SCS","Ethnic Minority",0,70,0,0.168674698795181,0,0.14
"48","DECC",2011,"All grades","Ethnic Minority",120,790,0.151898734177215,0.168674698795181,0.151898734177215,0.14
"49","DECC",2011,"SCS","Ethnic Minority",0,60,0,0.168674698795181,0,0.14
"50","DECC",2010,"SCS","Ethnic Minority",0,50,0,0.168674698795181,0,0.14
"51","Defra",2008,"All grades","Ethnic Minority",340,2230,0.152466367713004,0.158536585365854,0.152466367713004,0.14
"52","Defra",2012,"SCS","Ethnic Minority",0,90,0,0.158536585365854,0,0.14
"53","Defra",2011,"SCS","Ethnic Minority",0,110,0,0.158536585365854,0,0.14
"54","Defra",2009,"SCS","Ethnic Minority",0,100,0,0.158536585365854,0,0.14
"55","Defra",2010,"SCS","Ethnic Minority",0,110,0,0.158536585365854,0,0.14
"56","Defra",2008,"SCS","Ethnic Minority",0,110,0,0.158536585365854,0,0.14
"57","Defra",2012,"All grades","Ethnic Minority",260,1640,0.158536585365854,0.158536585365854,0.158536585365854,0.14
"58","Defra",2010,"All grades","Ethnic Minority",300,1880,0.159574468085106,0.158536585365854,0.159574468085106,0.14
"59","Defra",2011,"All grades","Ethnic Minority",330,2100,0.157142857142857,0.158536585365854,0.157142857142857,0.14
"60","Defra",2009,"All grades","Ethnic Minority",300,2000,0.15,0.158536585365854,0.15,0.14
"61","DfE",2012,"SCS","Ethnic Minority",10,120,0.0833333333333333,0.155555555555556,0.0833333333333333,0.14
"62","DfE",2011,"SCS","Ethnic Minority",10,120,0.0833333333333333,0.155555555555556,0.0833333333333333,0.14
"63","DfE",2010,"SCS","Ethnic Minority",0,120,0,0.155555555555556,0,0.14
"64","DfE",2010,"All grades","Ethnic Minority",370,2640,0.140151515151515,0.155555555555556,0.140151515151515,0.14
"65","DfE",2009,"SCS","Ethnic Minority",0,130,0,0.155555555555556,0,0.14
