"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","yvar"
"23","DCLG",2009,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.476534296028881,0.357142857142857
"24","DCLG",2009,"All grades","Female",2090,5070,0.412228796844181,"DCLGAll grades",0.476534296028881,0.412228796844181
"25","DCLG",2010,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.476534296028881,0.357142857142857
"26","DCLG",2010,"All grades","Female",2040,4930,0.413793103448276,"DCLGAll grades",0.476534296028881,0.413793103448276
"27","DCLG",2011,"SCS","Female",50,140,0.357142857142857,"DCLGSCS",0.476534296028881,0.357142857142857
"28","DCLG",2011,"All grades","Female",1850,4400,0.420454545454545,"DCLGAll grades",0.476534296028881,0.420454545454545
"29","DCLG",2012,"SCS","Female",40,90,0.444444444444444,"DCLGSCS",0.476534296028881,0.444444444444444
"30","DCLG",2012,"All grades","Female",1320,2770,0.476534296028881,"DCLGAll grades",0.476534296028881,0.476534296028881
"31","DCMS",2008,"SCS","Female",10,30,0.333333333333333,"DCMSSCS",0.457627118644068,0.333333333333333
"32","DCMS",2008,"All grades","Female",260,580,0.448275862068966,"DCMSAll grades",0.457627118644068,0.448275862068966
"33","DCMS",2009,"SCS","Female",20,60,0.333333333333333,"DCMSSCS",0.457627118644068,0.333333333333333
"34","DCMS",2009,"All grades","Female",390,760,0.513157894736842,"DCMSAll grades",0.457627118644068,0.513157894736842
"35","DCMS",2010,"SCS","Female",40,70,0.571428571428571,"DCMSSCS",0.457627118644068,0.571428571428571
"36","DCMS",2010,"All grades","Female",420,860,0.488372093023256,"DCMSAll grades",0.457627118644068,0.488372093023256
"37","DCMS",2011,"SCS","Female",40,70,0.571428571428571,"DCMSSCS",0.457627118644068,0.571428571428571
"38","DCMS",2011,"All grades","Female",400,780,0.512820512820513,"DCMSAll grades",0.457627118644068,0.512820512820513
"39","DCMS",2012,"SCS","Female",20,40,0.5,"DCMSSCS",0.457627118644068,0.5
"40","DCMS",2012,"All grades","Female",270,590,0.457627118644068,"DCMSAll grades",0.457627118644068,0.457627118644068
"41","DECC",2008,"SCS","Female",0,0,NA,"DECCSCS",0.450381679389313,NA
"42","DECC",2008,"All grades","Female",0,0,NA,"DECCAll grades",0.450381679389313,NA
"43","DECC",2009,"SCS","Female",10,60,0.166666666666667,"DECCSCS",0.450381679389313,0.166666666666667
"44","DECC",2009,"All grades","Female",380,910,0.417582417582418,"DECCAll grades",0.450381679389313,0.417582417582418
"45","DECC",2010,"SCS","Female",20,80,0.25,"DECCSCS",0.450381679389313,0.25
"46","DECC",2010,"All grades","Female",460,1050,0.438095238095238,"DECCAll grades",0.450381679389313,0.438095238095238
"47","DECC",2011,"SCS","Female",20,80,0.25,"DECCSCS",0.450381679389313,0.25
"48","DECC",2011,"All grades","Female",520,1170,0.444444444444444,"DECCAll grades",0.450381679389313,0.444444444444444
"49","DECC",2012,"SCS","Female",30,90,0.333333333333333,"DECCSCS",0.450381679389313,0.333333333333333
"50","DECC",2012,"All grades","Female",590,1310,0.450381679389313,"DECCAll grades",0.450381679389313,0.450381679389313
