"","Group","Date","Civil.Service.grad","Disability.statu","count","total","share","sorter","totalgroup","grp","yvar"
"21","DCLG",2012,"SCS","Disabled",0,70,0,0.06,FALSE,"DCLGSCS",0
"22","DCLG",2011,"SCS","Disabled",10,110,0.0909090909090909,0.06,FALSE,"DCLGSCS",0.0909090909090909
"23","DCLG",2009,"SCS","Disabled",10,100,0.1,0.06,FALSE,"DCLGSCS",0.1
"24","DCLG",2010,"SCS","Disabled",10,110,0.0909090909090909,0.06,FALSE,"DCLGSCS",0.0909090909090909
"25","DCLG",2008,"SCS","Disabled",0,120,0,0.06,FALSE,"DCLGSCS",0
"26","DCLG",2010,"All grades","Disabled",240,4390,0.0546697038724374,0.06,FALSE,"DCLGAll grades",0.0546697038724374
"27","DCLG",2012,"All grades","Disabled",150,2500,0.06,0.06,FALSE,"DCLGAll grades",0.06
"28","DCLG",2009,"All grades","Disabled",260,4600,0.0565217391304348,0.06,FALSE,"DCLGAll grades",0.0565217391304348
"29","DCLG",2011,"All grades","Disabled",230,4030,0.0570719602977667,0.06,FALSE,"DCLGAll grades",0.0570719602977667
"30","DCLG",2008,"All grades","Disabled",230,4460,0.0515695067264574,0.06,FALSE,"DCLGAll grades",0.0515695067264574
"31","DCMS",2012,"All grades","Disabled",20,450,0.0444444444444444,0.0444444444444444,FALSE,"DCMSAll grades",0.0444444444444444
"32","DCMS",2012,"SCS","Disabled",0,30,0,0.0444444444444444,FALSE,"DCMSSCS",0
"33","DCMS",2010,"SCS","Disabled",0,60,0,0.0444444444444444,FALSE,"DCMSSCS",0
"34","DCMS",2011,"SCS","Disabled",0,60,0,0.0444444444444444,FALSE,"DCMSSCS",0
"35","DCMS",2010,"All grades","Disabled",40,730,0.0547945205479452,0.0444444444444444,FALSE,"DCMSAll grades",0.0547945205479452
"36","DCMS",2009,"SCS","Disabled",0,40,0,0.0444444444444444,FALSE,"DCMSSCS",0
"37","DCMS",2011,"All grades","Disabled",40,690,0.0579710144927536,0.0444444444444444,FALSE,"DCMSAll grades",0.0579710144927536
"38","DCMS",2009,"All grades","Disabled",30,550,0.0545454545454545,0.0444444444444444,FALSE,"DCMSAll grades",0.0545454545454545
"39","DCMS",2008,"SCS","Disabled",0,20,0,0.0444444444444444,FALSE,"DCMSSCS",0
"40","DCMS",2008,"All grades","Disabled",10,400,0.025,0.0444444444444444,FALSE,"DCMSAll grades",0.025
"41","DECC",2009,"SCS","Disabled",0,10,0,0.0879120879120879,FALSE,"DECCSCS",0
"42","DECC",2008,"SCS","Disabled",0,0,NA,0.0879120879120879,FALSE,"DECCSCS",NA
"43","DECC",2010,"All grades","Disabled",50,730,0.0684931506849315,0.0879120879120879,FALSE,"DECCAll grades",0.0684931506849315
"44","DECC",2008,"All grades","Disabled",0,0,NA,0.0879120879120879,FALSE,"DECCAll grades",NA
"45","DECC",2009,"All grades","Disabled",40,240,0.166666666666667,0.0879120879120879,FALSE,"DECCAll grades",0.166666666666667
"46","DECC",2012,"All grades","Disabled",80,910,0.0879120879120879,0.0879120879120879,FALSE,"DECCAll grades",0.0879120879120879
"47","DECC",2012,"SCS","Disabled",0,70,0,0.0879120879120879,FALSE,"DECCSCS",0
"48","DECC",2011,"All grades","Disabled",60,840,0.0714285714285714,0.0879120879120879,FALSE,"DECCAll grades",0.0714285714285714
"49","DECC",2011,"SCS","Disabled",0,70,0,0.0879120879120879,FALSE,"DECCSCS",0
"50","DECC",2010,"SCS","Disabled",0,50,0,0.0879120879120879,FALSE,"DECCSCS",0
"51","Defra",2008,"All grades","Disabled",770,9670,0.0796277145811789,0.116822429906542,FALSE,"DefraAll grades",0.0796277145811789
"52","Defra",2012,"SCS","Disabled",0,60,0,0.116822429906542,FALSE,"DefraSCS",0
"53","Defra",2011,"SCS","Disabled",10,70,0.142857142857143,0.116822429906542,FALSE,"DefraSCS",0.142857142857143
