"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"145","DfID",2009,"SCS","Male",70,100,0.7,"DfIDSCS",0.514619883040936,0,FALSE,0.7
"148","DfID",2009,"All grades","Male",830,1660,0.5,"DfIDAll grades",0.514619883040936,0,FALSE,0.5
"149","DfID",2010,"SCS","Male",60,90,0.666666666666667,"DfIDSCS",0.514619883040936,0,FALSE,0.666666666666667
"151","DfID",2010,"All grades","Male",810,1630,0.496932515337423,"DfIDAll grades",0.514619883040936,0,FALSE,0.496932515337423
"154","DfID",2011,"SCS","Male",50,80,0.625,"DfIDSCS",0.514619883040936,0,FALSE,0.625
"155","DfID",2011,"All grades","Male",780,1610,0.484472049689441,"DfIDAll grades",0.514619883040936,0,FALSE,0.484472049689441
"157","DfID",2012,"SCS","Male",50,80,0.625,"DfIDSCS",0.514619883040936,0,FALSE,0.625
"160","DfID",2012,"All grades","Male",830,1710,0.485380116959064,"DfIDAll grades",0.514619883040936,0,FALSE,0.485380116959064
"161","DfT",2008,"SCS","Male",110,150,0.733333333333333,"DfTSCS",0.37125748502994,0,FALSE,0.733333333333333
"163","DfT",2008,"All grades","Male",1290,2040,0.632352941176471,"DfTAll grades",0.37125748502994,0,FALSE,0.632352941176471
"165","DfT",2009,"SCS","Male",100,140,0.714285714285714,"DfTSCS",0.37125748502994,0,FALSE,0.714285714285714
"168","DfT",2009,"All grades","Male",1320,2100,0.628571428571429,"DfTAll grades",0.37125748502994,0,FALSE,0.628571428571429
"169","DfT",2010,"SCS","Male",110,160,0.6875,"DfTSCS",0.37125748502994,0,FALSE,0.6875
"171","DfT",2010,"All grades","Male",1340,2150,0.623255813953488,"DfTAll grades",0.37125748502994,0,FALSE,0.623255813953488
"174","DfT",2011,"SCS","Male",90,130,0.692307692307692,"DfTSCS",0.37125748502994,0,FALSE,0.692307692307692
"175","DfT",2011,"All grades","Male",1190,1910,0.62303664921466,"DfTAll grades",0.37125748502994,0,FALSE,0.62303664921466
"177","DfT",2012,"SCS","Male",80,120,0.666666666666667,"DfTSCS",0.37125748502994,0,FALSE,0.666666666666667
"180","DfT",2012,"All grades","Male",1050,1670,0.62874251497006,"DfTAll grades",0.37125748502994,0,FALSE,0.62874251497006
"181","DH",2008,"SCS","Male",150,260,0.576923076923077,"DHSCS",0.565400843881857,0,FALSE,0.576923076923077
"183","DH",2008,"All grades","Male",1000,2230,0.448430493273543,"DHAll grades",0.565400843881857,0,FALSE,0.448430493273543
"185","DH",2009,"SCS","Male",160,270,0.592592592592593,"DHSCS",0.565400843881857,0,FALSE,0.592592592592593
"188","DH",2009,"All grades","Male",1010,2320,0.435344827586207,"DHAll grades",0.565400843881857,0,FALSE,0.435344827586207
"189","DH",2010,"SCS","Male",170,290,0.586206896551724,"DHSCS",0.565400843881857,0,FALSE,0.586206896551724
"191","DH",2010,"All grades","Male",1190,2710,0.439114391143911,"DHAll grades",0.565400843881857,0,FALSE,0.439114391143911
"194","DH",2011,"SCS","Male",150,260,0.576923076923077,"DHSCS",0.565400843881857,0,FALSE,0.576923076923077
"195","DH",2011,"All grades","Male",1150,2640,0.435606060606061,"DHAll grades",0.565400843881857,0,FALSE,0.435606060606061
"197","DH",2012,"SCS","Male",130,220,0.590909090909091,"DHSCS",0.565400843881857,0,FALSE,0.590909090909091
"200","DH",2012,"All grades","Male",1030,2370,0.434599156118143,"DHAll grades",0.565400843881857,0,FALSE,0.434599156118143
"201","DWP",2008,"SCS","Male",230,360,0.638888888888889,"DWPSCS",0.676624877745177,0,FALSE,0.638888888888889
"203","DWP",2008,"All grades","Male",37610,117540,0.319976178322273,"DWPAll grades",0.676624877745177,0,FALSE,0.319976178322273
"205","DWP",2009,"SCS","Male",230,370,0.621621621621622,"DWPSCS",0.676624877745177,0,FALSE,0.621621621621622
"208","DWP",2009,"All grades","Male",39440,121130,0.325600594402708,"DWPAll grades",0.676624877745177,0,FALSE,0.325600594402708
"209","DWP",2010,"SCS","Male",250,390,0.641025641025641,"DWPSCS",0.676624877745177,0,FALSE,0.641025641025641
"211","DWP",2010,"All grades","Male",45120,133520,0.337926902336729,"DWPAll grades",0.676624877745177,0,FALSE,0.337926902336729
