"","Group","Date","Wage.band","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","yvar"
"37","DCLG",2012,"60-70",6,"Male",30,1880,0.0159574468085106,"DCLGMale",0.074468085106383,0.446808510638298,0.51063829787234,0.51063829787234,0.0159574468085106
"38","DCLG",2012,"30-40",3,"Female",-370,1880,-0.196808510638298,"DCLGFemale",0.377659574468085,1.13297872340426,0.51063829787234,0.51063829787234,-0.196808510638298
"39","DCLG",2012,"50-60",5,"Female",-170,1880,-0.0904255319148936,"DCLGFemale",0.180851063829787,0.904255319148936,0.51063829787234,0.51063829787234,-0.0904255319148936
"40","DCLG",2012,"50-60",5,"Male",170,1880,0.0904255319148936,"DCLGMale",0.180851063829787,0.904255319148936,0.51063829787234,0.51063829787234,0.0904255319148936
"41","DCLG",2012,"60-70",6,"Female",-40,1880,-0.0212765957446809,"DCLGFemale",0.074468085106383,0.446808510638298,0.51063829787234,0.51063829787234,-0.0212765957446809
"42","DCLG",2012,"60-70",6,"Female",-20,1880,-0.0106382978723404,"DCLGFemale",0.074468085106383,0.446808510638298,0.51063829787234,0.51063829787234,-0.0106382978723404
"43","DCLG",2012,"40-50",4,"Male",160,1880,0.0851063829787234,"DCLGMale",0.159574468085106,0.638297872340426,0.51063829787234,0.51063829787234,0.0851063829787234
"44","DCLG",2012,"40-50",4,"Female",-140,1880,-0.074468085106383,"DCLGFemale",0.159574468085106,0.638297872340426,0.51063829787234,0.51063829787234,-0.074468085106383
"45","DCLG",2012,"60-70",6,"Male",50,1880,0.0265957446808511,"DCLGMale",0.074468085106383,0.446808510638298,0.51063829787234,0.51063829787234,0.0265957446808511
"46","DCLG",2012,"20-30",2,"Female",-220,1880,-0.117021276595745,"DCLGFemale",0.196808510638298,0.393617021276596,0.51063829787234,0.51063829787234,-0.117021276595745
"47","DCLG",2012,"30-40",3,"Male",340,1880,0.180851063829787,"DCLGMale",0.377659574468085,1.13297872340426,0.51063829787234,0.51063829787234,0.180851063829787
"48","DCLG",2012,"20-30",2,"Male",150,1880,0.0797872340425532,"DCLGMale",0.196808510638298,0.393617021276596,0.51063829787234,0.51063829787234,0.0797872340425532
"49","DCMS",2012,"< 20",1,"Male",10,460,0.0217391304347826,"DCMSMale",0.0217391304347826,0.0217391304347826,0.470108695652174,0.470108695652174,0.0217391304347826
"50","DCMS",2012,"40-50",4,"Female",-40,460,-0.0869565217391304,"DCMSFemale",0.217391304347826,0.869565217391304,0.470108695652174,0.470108695652174,-0.0869565217391304
"51","DCMS",2012,"40-50",4,"Male",60,460,0.130434782608696,"DCMSMale",0.217391304347826,0.869565217391304,0.470108695652174,0.470108695652174,0.130434782608696
