"","Group","Date","Civil.Service.grad","Gender","count","total","share","grp","sorter","gensort","totalgroup","yvar"
"184","DH",2008,"All grades","Female",2700,5670,0.476190476190476,"DHAll grades",0.489082969432314,1,FALSE,0.476190476190476
"186","DH",2009,"SCS","Female",160,410,0.390243902439024,"DHSCS",0.489082969432314,1,FALSE,0.390243902439024
"187","DH",2009,"All grades","Female",2730,5560,0.491007194244604,"DHAll grades",0.489082969432314,1,FALSE,0.491007194244604
"190","DH",2010,"SCS","Female",180,430,0.418604651162791,"DHSCS",0.489082969432314,1,FALSE,0.418604651162791
"192","DH",2010,"All grades","Female",2800,5590,0.500894454382826,"DHAll grades",0.489082969432314,1,FALSE,0.500894454382826
"193","DH",2011,"SCS","Female",170,410,0.414634146341463,"DHSCS",0.489082969432314,1,FALSE,0.414634146341463
"196","DH",2011,"All grades","Female",2610,5210,0.500959692898273,"DHAll grades",0.489082969432314,1,FALSE,0.500959692898273
"198","DH",2012,"SCS","Female",160,370,0.432432432432432,"DHSCS",0.489082969432314,1,FALSE,0.432432432432432
"199","DH",2012,"All grades","Female",2240,4580,0.489082969432314,"DHAll grades",0.489082969432314,1,FALSE,0.489082969432314
"202","DWP",2008,"SCS","Female",130,360,0.361111111111111,"DWPSCS",0.676624877745177,1,FALSE,0.361111111111111
"204","DWP",2008,"All grades","Female",79930,117540,0.680023821677727,"DWPAll grades",0.676624877745177,1,FALSE,0.680023821677727
"206","DWP",2009,"SCS","Female",140,370,0.378378378378378,"DWPSCS",0.676624877745177,1,FALSE,0.378378378378378
"207","DWP",2009,"All grades","Female",81690,121130,0.674399405597292,"DWPAll grades",0.676624877745177,1,FALSE,0.674399405597292
"210","DWP",2010,"SCS","Female",140,390,0.358974358974359,"DWPSCS",0.676624877745177,1,FALSE,0.358974358974359
"212","DWP",2010,"All grades","Female",88400,133520,0.662073097663271,"DWPAll grades",0.676624877745177,1,FALSE,0.662073097663271
"213","DWP",2011,"SCS","Female",130,360,0.361111111111111,"DWPSCS",0.676624877745177,1,FALSE,0.361111111111111
"216","DWP",2011,"All grades","Female",81910,122410,0.669144677722408,"DWPAll grades",0.676624877745177,1,FALSE,0.669144677722408
"218","DWP",2012,"SCS","Female",110,300,0.366666666666667,"DWPSCS",0.676624877745177,1,FALSE,0.366666666666667
"219","DWP",2012,"All grades","Female",76100,112470,0.676624877745177,"DWPAll grades",0.676624877745177,1,FALSE,0.676624877745177
"222","FCO",2008,"SCS","Female",80,440,0.181818181818182,"FCOSCS",0.394366197183099,1,FALSE,0.181818181818182
"224","FCO",2008,"All grades","Female",4360,11350,0.384140969162996,"FCOAll grades",0.394366197183099,1,FALSE,0.384140969162996
"226","FCO",2009,"SCS","Female",90,430,0.209302325581395,"FCOSCS",0.394366197183099,1,FALSE,0.209302325581395
"227","FCO",2009,"All grades","Female",4530,11850,0.382278481012658,"FCOAll grades",0.394366197183099,1,FALSE,0.382278481012658
"230","FCO",2010,"SCS","Female",90,430,0.209302325581395,"FCOSCS",0.394366197183099,1,FALSE,0.209302325581395
"232","FCO",2010,"All grades","Female",4540,11930,0.380553227158424,"FCOAll grades",0.394366197183099,1,FALSE,0.380553227158424
"233","FCO",2011,"SCS","Female",90,410,0.219512195121951,"FCOSCS",0.394366197183099,1,FALSE,0.219512195121951
"236","FCO",2011,"All grades","Female",4360,11390,0.382791922739245,"FCOAll grades",0.394366197183099,1,FALSE,0.382791922739245
"238","FCO",2012,"SCS","Female",110,500,0.22,"FCOSCS",0.394366197183099,1,FALSE,0.22
"239","FCO",2012,"All grades","Female",4760,12070,0.394366197183099,"FCOAll grades",0.394366197183099,1,FALSE,0.394366197183099
"242","HMRC",2008,"SCS","Female",110,410,0.268292682926829,"HMRCSCS",0.58001521683997,1,FALSE,0.268292682926829
"244","HMRC",2008,"All grades","Female",54740,95370,0.57397504456328,"HMRCAll grades",0.58001521683997,1,FALSE,0.57397504456328
"246","HMRC",2009,"SCS","Female",140,480,0.291666666666667,"HMRCSCS",0.58001521683997,1,FALSE,0.291666666666667
"247","HMRC",2009,"All grades","Female",53180,93120,0.571091065292096,"HMRCAll grades",0.58001521683997,1,FALSE,0.571091065292096
"250","HMRC",2010,"SCS","Female",130,420,0.30952380952381,"HMRCSCS",0.58001521683997,1,FALSE,0.30952380952381
"252","HMRC",2010,"All grades","Female",49810,87370,0.570104154744191,"HMRCAll grades",0.58001521683997,1,FALSE,0.570104154744191
"253","HMRC",2011,"SCS","Female",120,390,0.307692307692308,"HMRCSCS",0.58001521683997,1,FALSE,0.307692307692308
"256","HMRC",2011,"All grades","Female",45700,78590,0.58149891843746,"HMRCAll grades",0.58001521683997,1,FALSE,0.58149891843746
"258","HMRC",2012,"SCS","Female",140,400,0.35,"HMRCSCS",0.58001521683997,1,FALSE,0.35
"259","HMRC",2012,"All grades","Female",45740,78860,0.58001521683997,"HMRCAll grades",0.58001521683997,1,FALSE,0.58001521683997
"262","HMT",2008,"SCS","Female",70,220,0.318181818181818,"HMTSCS",0.526717557251908,1,FALSE,0.318181818181818
"264","HMT",2008,"All grades","Female",2930,5910,0.495769881556684,"HMTAll grades",0.526717557251908,1,FALSE,0.495769881556684
"266","HMT",2009,"SCS","Female",60,200,0.3,"HMTSCS",0.526717557251908,1,FALSE,0.3
"267","HMT",2009,"All grades","Female",3270,6790,0.48159057437408,"HMTAll grades",0.526717557251908,1,FALSE,0.48159057437408
"270","HMT",2010,"SCS","Female",80,260,0.307692307692308,"HMTSCS",0.526717557251908,1,FALSE,0.307692307692308
"272","HMT",2010,"All grades","Female",3240,6310,0.513470681458003,"HMTAll grades",0.526717557251908,1,FALSE,0.513470681458003
"273","HMT",2011,"SCS","Female",60,190,0.315789473684211,"HMTSCS",0.526717557251908,1,FALSE,0.315789473684211
"276","HMT",2011,"All grades","Female",3010,5730,0.525305410122164,"HMTAll grades",0.526717557251908,1,FALSE,0.525305410122164
"278","HMT",2012,"SCS","Female",70,200,0.35,"HMTSCS",0.526717557251908,1,FALSE,0.35
"279","HMT",2012,"All grades","Female",2760,5240,0.526717557251908,"HMTAll grades",0.526717557251908,1,FALSE,0.526717557251908
"282","HO",2008,"SCS","Female",70,220,0.318181818181818,"HOSCS",0.522960151802657,1,FALSE,0.318181818181818
"284","HO",2008,"All grades","Female",15340,26910,0.570048309178744,"HOAll grades",0.522960151802657,1,FALSE,0.570048309178744
"286","HO",2009,"SCS","Female",80,250,0.32,"HOSCS",0.522960151802657,1,FALSE,0.32
"287","HO",2009,"All grades","Female",14780,26240,0.563262195121951,"HOAll grades",0.522960151802657,1,FALSE,0.563262195121951
"290","HO",2010,"SCS","Female",90,250,0.36,"HOSCS",0.522960151802657,1,FALSE,0.36
"292","HO",2010,"All grades","Female",15240,27040,0.563609467455621,"HOAll grades",0.522960151802657,1,FALSE,0.563609467455621
"293","HO",2011,"SCS","Female",70,210,0.333333333333333,"HOSCS",0.522960151802657,1,FALSE,0.333333333333333
"296","HO",2011,"All grades","Female",15700,29660,0.529332434254889,"HOAll grades",0.522960151802657,1,FALSE,0.529332434254889
"298","HO",2012,"SCS","Female",80,220,0.363636363636364,"HOSCS",0.522960151802657,1,FALSE,0.363636363636364
"299","HO",2012,"All grades","Female",13780,26350,0.522960151802657,"HOAll grades",0.522960151802657,1,FALSE,0.522960151802657
"302","MoD",2008,"SCS","Female",40,320,0.125,"MoDSCS",0.344564526382708,1,FALSE,0.125
"304","MoD",2008,"All grades","Female",28430,81950,0.346918852959121,"MoDAll grades",0.344564526382708,1,FALSE,0.346918852959121
"306","MoD",2009,"SCS","Female",50,320,0.15625,"MoDSCS",0.344564526382708,1,FALSE,0.15625
"307","MoD",2009,"All grades","Female",27580,77860,0.354225533007963,"MoDAll grades",0.344564526382708,1,FALSE,0.354225533007963
"310","MoD",2010,"SCS","Female",60,340,0.176470588235294,"MoDSCS",0.344564526382708,1,FALSE,0.176470588235294
"312","MoD",2010,"All grades","Female",27630,77670,0.355735805330243,"MoDAll grades",0.344564526382708,1,FALSE,0.355735805330243
"313","MoD",2011,"SCS","Female",50,320,0.15625,"MoDSCS",0.344564526382708,1,FALSE,0.15625
"316","MoD",2011,"All grades","Female",25950,73730,0.351959853519599,"MoDAll grades",0.344564526382708,1,FALSE,0.351959853519599
"318","MoD",2012,"SCS","Female",50,270,0.185185185185185,"MoDSCS",0.344564526382708,1,FALSE,0.185185185185185
"319","MoD",2012,"All grades","Female",21680,62920,0.344564526382708,"MoDAll grades",0.344564526382708,1,FALSE,0.344564526382708
"322","MoJ",2008,"SCS","Female",120,330,0.363636363636364,"MoJSCS",0.47271714922049,1,FALSE,0.363636363636364
"324","MoJ",2008,"All grades","Female",42990,88590,0.485269217744666,"MoJAll grades",0.47271714922049,1,FALSE,0.485269217744666
"326","MoJ",2009,"SCS","Female",110,300,0.366666666666667,"MoJSCS",0.47271714922049,1,FALSE,0.366666666666667
"327","MoJ",2009,"All grades","Female",43210,89070,0.485124059728304,"MoJAll grades",0.47271714922049,1,FALSE,0.485124059728304
"330","MoJ",2010,"SCS","Female",110,310,0.354838709677419,"MoJSCS",0.47271714922049,1,FALSE,0.354838709677419
"332","MoJ",2010,"All grades","Female",41100,85550,0.48042080654588,"MoJAll grades",0.47271714922049,1,FALSE,0.48042080654588
"333","MoJ",2011,"SCS","Female",90,270,0.333333333333333,"MoJSCS",0.47271714922049,1,FALSE,0.333333333333333
"336","MoJ",2011,"All grades","Female",40050,83440,0.479985618408437,"MoJAll grades",0.47271714922049,1,FALSE,0.479985618408437
"338","MoJ",2012,"SCS","Female",70,200,0.35,"MoJSCS",0.47271714922049,1,FALSE,0.35
"339","MoJ",2012,"All grades","Female",33960,71840,0.47271714922049,"MoJAll grades",0.47271714922049,1,FALSE,0.47271714922049
"342","Whole Civil Service",2008,"SCS","Female",1520,4790,0.317327766179541,"Whole Civil ServiceSCS",0.530605204717449,1,TRUE,0.317327766179541
"344","Whole Civil Service",2008,"All grades","Female",277830,525160,0.529038769137025,"Whole Civil ServiceAll grades",0.530605204717449,1,TRUE,0.529038769137025
"346","Whole Civil Service",2009,"SCS","Female",1620,4930,0.328600405679513,"Whole Civil ServiceSCS",0.530605204717449,1,TRUE,0.328600405679513
"347","Whole Civil Service",2009,"All grades","Female",278060,524420,0.530223866366653,"Whole Civil ServiceAll grades",0.530605204717449,1,TRUE,0.530223866366653
"350","Whole Civil Service",2010,"SCS","Female",1730,5070,0.341222879684418,"Whole Civil ServiceSCS",0.530605204717449,1,TRUE,0.341222879684418
"352","Whole Civil Service",2010,"All grades","Female",279820,527490,0.530474511365144,"Whole Civil ServiceAll grades",0.530605204717449,1,TRUE,0.530474511365144
"353","Whole Civil Service",2011,"SCS","Female",1600,4610,0.3470715835141,"Whole Civil ServiceSCS",0.530605204717449,1,TRUE,0.3470715835141
"356","Whole Civil Service",2011,"All grades","Female",264110,498430,0.529883835242662,"Whole Civil ServiceAll grades",0.530605204717449,1,TRUE,0.529883835242662
"358","Whole Civil Service",2012,"SCS","Female",1550,4420,0.350678733031674,"Whole Civil ServiceSCS",0.530605204717449,1,TRUE,0.350678733031674
"359","Whole Civil Service",2012,"All grades","Female",246100,463810,0.530605204717449,"Whole Civil ServiceAll grades",0.530605204717449,1,TRUE,0.530605204717449
"1","BIS",2008,"SCS","Male",240,340,0.705882352941177,"BISSCS",0.502229654403567,0,FALSE,0.705882352941177
"3","BIS",2008,"All grades","Male",5330,10780,0.49443413729128,"BISAll grades",0.502229654403567,0,FALSE,0.49443413729128
"5","BIS",2009,"SCS","Male",240,370,0.648648648648649,"BISSCS",0.502229654403567,0,FALSE,0.648648648648649
"8","BIS",2009,"All grades","Male",5180,10610,0.488218661639962,"BISAll grades",0.502229654403567,0,FALSE,0.488218661639962
"9","BIS",2010,"SCS","Male",240,380,0.631578947368421,"BISSCS",0.502229654403567,0,FALSE,0.631578947368421
"11","BIS",2010,"All grades","Male",5310,10900,0.487155963302752,"BISAll grades",0.502229654403567,0,FALSE,0.487155963302752
"14","BIS",2011,"SCS","Male",250,410,0.609756097560976,"BISSCS",0.502229654403567,0,FALSE,0.609756097560976
