"","Group","Gender","Date","Civil.Service.grad","count","total","share","grp","sorter","totalgroup","yvar"
"89","Defra","Female",2010,"SCS",50,150,0.333333333333333,"DefraSenior Civil Service",0.4,FALSE,0.333333333333333
"90","Defra","Female",2010,"All grades",1410,2730,0.516483516483517,"DefraTotal",0.4,FALSE,0.516483516483517
"91","Defra","Female",2011,"SCS",50,130,0.384615384615385,"DefraSenior Civil Service",0.4,FALSE,0.384615384615385
"92","Defra","Female",2011,"All grades",1320,2620,0.50381679389313,"DefraTotal",0.4,FALSE,0.50381679389313
"93","Defra","Female",2012,"SCS",30,100,0.3,"DefraSenior Civil Service",0.4,FALSE,0.3
"94","Defra","Female",2012,"All grades",1090,2160,0.50462962962963,"DefraTotal",0.4,FALSE,0.50462962962963
"95","Defra","Female",2013,"SCS",40,100,0.4,"DefraSenior Civil Service",0.4,FALSE,0.4
"96","Defra","Female",2013,"All grades",1100,2170,0.506912442396313,"DefraTotal",0.4,FALSE,0.506912442396313
"97","DfE","Female",2008,"SCS",70,150,0.466666666666667,"DfESenior Civil Service",0.5,FALSE,0.466666666666667
"98","DfE","Female",2008,"All grades",1940,3350,0.57910447761194,"DfETotal",0.5,FALSE,0.57910447761194
"99","DfE","Female",2009,"SCS",90,150,0.6,"DfESenior Civil Service",0.5,FALSE,0.6
"100","DfE","Female",2009,"All grades",2000,3380,0.591715976331361,"DfETotal",0.5,FALSE,0.591715976331361
"101","DfE","Female",2010,"SCS",80,150,0.533333333333333,"DfESenior Civil Service",0.5,FALSE,0.533333333333333
"102","DfE","Female",2010,"All grades",1870,3100,0.603225806451613,"DfETotal",0.5,FALSE,0.603225806451613
"103","DfE","Female",2011,"SCS",80,130,0.615384615384615,"DfESenior Civil Service",0.5,FALSE,0.615384615384615
"104","DfE","Female",2011,"All grades",1660,2780,0.597122302158273,"DfETotal",0.5,FALSE,0.597122302158273
"105","DfE","Female",2012,"SCS",70,140,0.5,"DfESenior Civil Service",0.5,FALSE,0.5
"106","DfE","Female",2012,"All grades",1660,2790,0.594982078853047,"DfETotal",0.5,FALSE,0.594982078853047
"107","DfE","Female",2013,"SCS",80,160,0.5,"DfESenior Civil Service",0.5,FALSE,0.5
"108","DfE","Female",2013,"All grades",2300,3900,0.58974358974359,"DfETotal",0.5,FALSE,0.58974358974359
"109","DfID","Female",2008,"SCS",40,100,0.4,"DfIDSenior Civil Service",0.375,FALSE,0.4
"110","DfID","Female",2008,"All grades",840,1670,0.502994011976048,"DfIDTotal",0.375,FALSE,0.502994011976048
"111","DfID","Female",2009,"SCS",30,100,0.3,"DfIDSenior Civil Service",0.375,FALSE,0.3
"112","DfID","Female",2009,"All grades",830,1660,0.5,"DfIDTotal",0.375,FALSE,0.5
"113","DfID","Female",2010,"SCS",30,100,0.3,"DfIDSenior Civil Service",0.375,FALSE,0.3
"114","DfID","Female",2010,"All grades",820,1620,0.506172839506173,"DfIDTotal",0.375,FALSE,0.506172839506173
"115","DfID","Female",2011,"SCS",30,80,0.375,"DfIDSenior Civil Service",0.375,FALSE,0.375
"116","DfID","Female",2011,"All grades",830,1610,0.515527950310559,"DfIDTotal",0.375,FALSE,0.515527950310559
