"","Age.band","Group","Date","count","total","share","gradeval","sorter","totalgroup","share2","left","grp","yvar"
"146","30-39","DfID",2010,520,1640,0.317073170731707,2,6.22651933701657,FALSE,-0.158536585365854,FALSE,"FALSE2010",-0.158536585365854
"147","40-49","DfID",2010,590,1640,0.359756097560976,3,6.22651933701657,FALSE,-0.179878048780488,FALSE,"FALSE2010",-0.179878048780488
"148","50-59","DfID",2010,320,1640,0.195121951219512,4,6.22651933701657,FALSE,-0.0975609756097561,FALSE,"FALSE2010",-0.0975609756097561
"149","60-64","DfID",2010,80,1640,0.0487804878048781,5,6.22651933701657,FALSE,-0.024390243902439,FALSE,"FALSE2010",-0.024390243902439
"150","65 +","DfID",2010,10,1640,0.00609756097560976,6,6.22651933701657,FALSE,-0.00304878048780488,FALSE,"FALSE2010",-0.00304878048780488
"151","< 29","DfID",2013,150,1810,0.0828729281767956,1,6.22651933701657,FALSE,-0.0414364640883978,FALSE,"FALSE2013",-0.0414364640883978
"152","30-39","DfID",2013,610,1810,0.337016574585635,2,6.22651933701657,FALSE,-0.168508287292818,FALSE,"FALSE2013",-0.168508287292818
"153","40-49","DfID",2013,590,1810,0.325966850828729,3,6.22651933701657,FALSE,-0.162983425414365,FALSE,"FALSE2013",-0.162983425414365
"154","50-59","DfID",2013,400,1810,0.220994475138122,4,6.22651933701657,FALSE,-0.110497237569061,FALSE,"FALSE2013",-0.110497237569061
"155","60-64","DfID",2013,50,1810,0.0276243093922652,5,6.22651933701657,FALSE,-0.0138121546961326,FALSE,"FALSE2013",-0.0138121546961326
"156","65 +","DfID",2013,10,1810,0.00552486187845304,6,6.22651933701657,FALSE,-0.00276243093922652,FALSE,"FALSE2013",-0.00276243093922652
"157","< 29","DfID",2010,120,1640,0.0731707317073171,1,6.22651933701657,FALSE,0.0365853658536585,TRUE,"TRUE2010",0.0365853658536585
"158","30-39","DfID",2010,520,1640,0.317073170731707,2,6.22651933701657,FALSE,0.158536585365854,TRUE,"TRUE2010",0.158536585365854
"159","40-49","DfID",2010,590,1640,0.359756097560976,3,6.22651933701657,FALSE,0.179878048780488,TRUE,"TRUE2010",0.179878048780488
"160","50-59","DfID",2010,320,1640,0.195121951219512,4,6.22651933701657,FALSE,0.0975609756097561,TRUE,"TRUE2010",0.0975609756097561
"161","60-64","DfID",2010,80,1640,0.0487804878048781,5,6.22651933701657,FALSE,0.024390243902439,TRUE,"TRUE2010",0.024390243902439
"162","65 +","DfID",2010,10,1640,0.00609756097560976,6,6.22651933701657,FALSE,0.00304878048780488,TRUE,"TRUE2010",0.00304878048780488
"163","< 29","DfID",2013,150,1810,0.0828729281767956,1,6.22651933701657,FALSE,0.0414364640883978,TRUE,"TRUE2013",0.0414364640883978
"164","30-39","DfID",2013,610,1810,0.337016574585635,2,6.22651933701657,FALSE,0.168508287292818,TRUE,"TRUE2013",0.168508287292818
"165","40-49","DfID",2013,590,1810,0.325966850828729,3,6.22651933701657,FALSE,0.162983425414365,TRUE,"TRUE2013",0.162983425414365
"166","50-59","DfID",2013,400,1810,0.220994475138122,4,6.22651933701657,FALSE,0.110497237569061,TRUE,"TRUE2013",0.110497237569061
"167","60-64","DfID",2013,50,1810,0.0276243093922652,5,6.22651933701657,FALSE,0.0138121546961326,TRUE,"TRUE2013",0.0138121546961326
"168","65 +","DfID",2013,10,1810,0.00552486187845304,6,6.22651933701657,FALSE,0.00276243093922652,TRUE,"TRUE2013",0.00276243093922652
"169","< 29","HO",2010,5280,27030,0.195338512763596,1,6.25103812759532,FALSE,-0.097669256381798,FALSE,"FALSE2010",-0.097669256381798
"170","30-39","HO",2010,7550,27030,0.279319274879763,2,6.25103812759532,FALSE,-0.139659637439882,FALSE,"FALSE2010",-0.139659637439882
"171","40-49","HO",2010,7800,27030,0.288568257491676,3,6.25103812759532,FALSE,-0.144284128745838,FALSE,"FALSE2010",-0.144284128745838
"172","50-59","HO",2010,5180,27030,0.191638919718831,4,6.25103812759532,FALSE,-0.0958194598594155,FALSE,"FALSE2010",-0.0958194598594155
"173","60-64","HO",2010,1100,27030,0.0406955234924158,5,6.25103812759532,FALSE,-0.0203477617462079,FALSE,"FALSE2010",-0.0203477617462079
"174","65 +","HO",2010,120,27030,0.00443951165371809,6,6.25103812759532,FALSE,-0.00221975582685905,FALSE,"FALSE2010",-0.00221975582685905
"175","< 29","HO",2013,3450,26490,0.130237825594564,1,6.25103812759532,FALSE,-0.065118912797282,FALSE,"FALSE2013",-0.065118912797282
"176","30-39","HO",2013,7630,26490,0.28803322008305,2,6.25103812759532,FALSE,-0.144016610041525,FALSE,"FALSE2013",-0.144016610041525
"177","40-49","HO",2013,8590,26490,0.324273310683277,3,6.25103812759532,FALSE,-0.162136655341638,FALSE,"FALSE2013",-0.162136655341638
"178","50-59","HO",2013,5660,26490,0.213665534163835,4,6.25103812759532,FALSE,-0.106832767081918,FALSE,"FALSE2013",-0.106832767081918
"179","60-64","HO",2013,970,26490,0.0366175915439789,5,6.25103812759532,FALSE,-0.0183087957719894,FALSE,"FALSE2013",-0.0183087957719894
"180","65 +","HO",2013,190,26490,0.00717251793129483,6,6.25103812759532,FALSE,-0.00358625896564741,FALSE,"FALSE2013",-0.00358625896564741
"181","< 29","HO",2010,5280,27030,0.195338512763596,1,6.25103812759532,FALSE,0.097669256381798,TRUE,"TRUE2010",0.097669256381798
