"","Group","Gender","Date","Civil.Service.grad","count","total","share","grp","sorter","totalgroup","yvar"
"60","DECC","Female",2013,"All grades",680,1460,0.465753424657534,"DECCTotal",0.465753424657534,FALSE,0.465753424657534
"61","DH","Female",2008,"SCS",160,400,0.4,"DHSenior Civil Service",0.492239467849224,FALSE,0.4
"62","DH","Female",2008,"All grades",2700,5650,0.47787610619469,"DHTotal",0.492239467849224,FALSE,0.47787610619469
"63","DH","Female",2009,"SCS",160,420,0.380952380952381,"DHSenior Civil Service",0.492239467849224,FALSE,0.380952380952381
"64","DH","Female",2009,"All grades",2730,5550,0.491891891891892,"DHTotal",0.492239467849224,FALSE,0.491891891891892
"65","DH","Female",2010,"SCS",180,440,0.409090909090909,"DHSenior Civil Service",0.492239467849224,FALSE,0.409090909090909
"66","DH","Female",2010,"All grades",2800,5590,0.500894454382826,"DHTotal",0.492239467849224,FALSE,0.500894454382826
"67","DH","Female",2011,"SCS",170,390,0.435897435897436,"DHSenior Civil Service",0.492239467849224,FALSE,0.435897435897436
"68","DH","Female",2011,"All grades",2610,5210,0.500959692898273,"DHTotal",0.492239467849224,FALSE,0.500959692898273
"69","DH","Female",2012,"SCS",160,360,0.444444444444444,"DHSenior Civil Service",0.492239467849224,FALSE,0.444444444444444
"70","DH","Female",2012,"All grades",2240,4590,0.4880174291939,"DHTotal",0.492239467849224,FALSE,0.4880174291939
"71","DH","Female",2013,"SCS",150,360,0.416666666666667,"DHSenior Civil Service",0.492239467849224,FALSE,0.416666666666667
"72","DH","Female",2013,"All grades",2220,4510,0.492239467849224,"DHTotal",0.492239467849224,FALSE,0.492239467849224
"73","DWP","Female",2008,"SCS",130,360,0.361111111111111,"DWPSenior Civil Service",0.675962692769415,FALSE,0.361111111111111
"74","DWP","Female",2008,"All grades",79930,117570,0.679850301947776,"DWPTotal",0.675962692769415,FALSE,0.679850301947776
"75","DWP","Female",2009,"SCS",140,380,0.368421052631579,"DWPSenior Civil Service",0.675962692769415,FALSE,0.368421052631579
"76","DWP","Female",2009,"All grades",81690,121120,0.674455085865258,"DWPTotal",0.675962692769415,FALSE,0.674455085865258
"77","DWP","Female",2010,"SCS",140,400,0.35,"DWPSenior Civil Service",0.675962692769415,FALSE,0.35
"78","DWP","Female",2010,"All grades",88400,133520,0.662073097663271,"DWPTotal",0.675962692769415,FALSE,0.662073097663271
"79","DWP","Female",2011,"SCS",130,340,0.382352941176471,"DWPSenior Civil Service",0.675962692769415,FALSE,0.382352941176471
