"","Civil.Service.grad","gradeval","Group","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"310","SEO/HEO",3,"HMRC",2013,12890,72740,0.177206488864449,0.531619466593346,0.348886444872147,FALSE,-0.0886032444322244,FALSE,"FALSE2013",-0.0886032444322244
"311","AO/AA",1,"HMRC",2010,43880,82960,0.528929604628737,0.528929604628737,0.350072324011572,FALSE,0.264464802314368,TRUE,"TRUE2010",0.264464802314368
"312","EO",2,"HMRC",2010,20420,82960,0.246142719382835,0.49228543876567,0.350072324011572,FALSE,0.123071359691418,TRUE,"TRUE2010",0.123071359691418
"313","G6/G7",4,"HMRC",2010,3730,82960,0.0449614271938284,0.179845708775313,0.350072324011572,FALSE,0.0224807135969142,TRUE,"TRUE2010",0.0224807135969142
"314","SCS",5,"HMRC",2010,390,82960,0.00470106075216972,0.0235053037608486,0.350072324011572,FALSE,0.00235053037608486,TRUE,"TRUE2010",0.00235053037608486
"315","SEO/HEO",3,"HMRC",2010,14540,82960,0.17526518804243,0.52579556412729,0.350072324011572,FALSE,0.087632594021215,TRUE,"TRUE2010",0.087632594021215
"316","AO/AA",1,"HMRC",2013,39140,72740,0.538080835853726,0.538080835853726,0.348886444872147,FALSE,0.269040417926863,TRUE,"TRUE2013",0.269040417926863
"317","EO",2,"HMRC",2013,16080,72740,0.221061314270003,0.442122628540006,0.348886444872147,FALSE,0.110530657135001,TRUE,"TRUE2013",0.110530657135001
"318","G6/G7",4,"HMRC",2013,3830,72740,0.0526532856750069,0.210613142700027,0.348886444872147,FALSE,0.0263266428375034,TRUE,"TRUE2013",0.0263266428375034
"319","SCS",5,"HMRC",2013,320,72740,0.00439923013472642,0.0219961506736321,0.348886444872147,FALSE,0.00219961506736321,TRUE,"TRUE2013",0.00219961506736321
"320","SEO/HEO",3,"HMRC",2013,12890,72740,0.177206488864449,0.531619466593346,0.348886444872147,FALSE,0.0886032444322244,TRUE,"TRUE2013",0.0886032444322244
