"","Group","Date","Disability.statu","Civil.Service.grad","count","total","share","sorter","totalgroup","grp","yvar"
"56","DECC",2011,"Disabled","All grades",60,1170,0.0512820512820513,0.0547945205479452,FALSE,"DECCAll grades",0.0512820512820513
"57","DECC",2012,"Disabled","SCS",0,90,0,0.0547945205479452,FALSE,"DECCSCS",0
"58","DECC",2012,"Disabled","All grades",80,1310,0.0610687022900763,0.0547945205479452,FALSE,"DECCAll grades",0.0610687022900763
"59","DECC",2013,"Disabled","SCS",0,90,0,0.0547945205479452,FALSE,"DECCSCS",0
"60","DECC",2013,"Disabled","All grades",80,1460,0.0547945205479452,0.0547945205479452,FALSE,"DECCAll grades",0.0547945205479452
"61","Defra",2008,"Disabled","SCS",0,200,0,0.0775462962962963,FALSE,"DefraSCS",0
"62","Defra",2008,"Disabled","All grades",770,11530,0.0667823070251518,0.0775462962962963,FALSE,"DefraAll grades",0.0667823070251518
"63","Defra",2009,"Disabled","SCS",10,180,0.0555555555555556,0.0775462962962963,FALSE,"DefraSCS",0.0555555555555556
"64","Defra",2009,"Disabled","All grades",780,11090,0.0703336339044184,0.0775462962962963,FALSE,"DefraAll grades",0.0703336339044184
"65","Defra",2010,"Disabled","SCS",10,190,0.0526315789473684,0.0775462962962963,FALSE,"DefraSCS",0.0526315789473684
"66","Defra",2010,"Disabled","All grades",830,10980,0.075591985428051,0.0775462962962963,FALSE,"DefraAll grades",0.075591985428051
"67","Defra",2011,"Disabled","SCS",10,170,0.0588235294117647,0.0775462962962963,FALSE,"DefraSCS",0.0588235294117647
"68","Defra",2011,"Disabled","All grades",840,9980,0.0841683366733467,0.0775462962962963,FALSE,"DefraAll grades",0.0841683366733467
"69","Defra",2012,"Disabled","SCS",0,140,0,0.0775462962962963,FALSE,"DefraSCS",0
"70","Defra",2012,"Disabled","All grades",750,9020,0.0831485587583149,0.0775462962962963,FALSE,"DefraAll grades",0.0831485587583149
"71","Defra",2013,"Disabled","SCS",0,150,0,0.0775462962962963,FALSE,"DefraSCS",0
"72","Defra",2013,"Disabled","All grades",670,8640,0.0775462962962963,0.0775462962962963,FALSE,"DefraAll grades",0.0775462962962963
"73","DfE",2008,"Disabled","SCS",0,180,0,0.0632368703108253,FALSE,"DfESCS",0
"74","DfE",2008,"Disabled","All grades",410,5910,0.0693739424703892,0.0632368703108253,FALSE,"DfEAll grades",0.0693739424703892
"75","DfE",2009,"Disabled","SCS",0,180,0,0.0632368703108253,FALSE,"DfESCS",0
"76","DfE",2009,"Disabled","All grades",380,5740,0.0662020905923345,0.0632368703108253,FALSE,"DfEAll grades",0.0662020905923345
"77","DfE",2010,"Disabled","SCS",0,190,0,0.0632368703108253,FALSE,"DfESCS",0
"78","DfE",2010,"Disabled","All grades",350,5250,0.0666666666666667,0.0632368703108253,FALSE,"DfEAll grades",0.0666666666666667
"79","DfE",2011,"Disabled","SCS",0,180,0,0.0632368703108253,FALSE,"DfESCS",0
"80","DfE",2011,"Disabled","All grades",290,4590,0.0631808278867102,0.0632368703108253,FALSE,"DfEAll grades",0.0631808278867102
"81","DfE",2012,"Disabled","SCS",0,190,0,0.0632368703108253,FALSE,"DfESCS",0
"82","DfE",2012,"Disabled","All grades",310,4550,0.0681318681318681,0.0632368703108253,FALSE,"DfEAll grades",0.0681318681318681
"83","DfE",2013,"Disabled","SCS",10,380,0.0263157894736842,0.0632368703108253,FALSE,"DfESCS",0.0263157894736842
"84","DfE",2013,"Disabled","All grades",590,9330,0.0632368703108253,0.0632368703108253,FALSE,"DfEAll grades",0.0632368703108253
"85","DfID",2008,"Disabled","SCS",0,100,0,0.0331491712707182,FALSE,"DfIDSCS",0
"86","DfID",2008,"Disabled","All grades",60,1670,0.0359281437125748,0.0331491712707182,FALSE,"DfIDAll grades",0.0359281437125748
"87","DfID",2009,"Disabled","SCS",0,100,0,0.0331491712707182,FALSE,"DfIDSCS",0
"88","DfID",2009,"Disabled","All grades",60,1660,0.036144578313253,0.0331491712707182,FALSE,"DfIDAll grades",0.036144578313253
"89","DfID",2010,"Disabled","SCS",0,100,0,0.0331491712707182,FALSE,"DfIDSCS",0
"90","DfID",2010,"Disabled","All grades",60,1620,0.037037037037037,0.0331491712707182,FALSE,"DfIDAll grades",0.037037037037037
"91","DfID",2011,"Disabled","SCS",0,80,0,0.0331491712707182,FALSE,"DfIDSCS",0
"92","DfID",2011,"Disabled","All grades",60,1610,0.0372670807453416,0.0331491712707182,FALSE,"DfIDAll grades",0.0372670807453416
