"","Age.band","Group","Date","Gender","count","total","share","gradeval","sorter","totalgroup","yvar"
"179","40-49","FCO",2012,"Male",1300,6580,0.197568389057751,3,5.34650455927052,FALSE,0.197568389057751
"180","40-49","FCO",2013,"Male",940,4850,0.193814432989691,3,5.26185567010309,FALSE,0.193814432989691
"181","50-59","FCO",2008,"Female",310,5930,-0.0522765598650927,4,5.21079258010118,FALSE,-0.0522765598650927
"182","50-59","FCO",2009,"Female",330,6090,-0.0541871921182266,4,5.23809523809524,FALSE,-0.0541871921182266
"183","50-59","FCO",2010,"Female",320,6020,-0.053156146179402,4,5.21262458471761,FALSE,-0.053156146179402
"184","50-59","FCO",2011,"Female",300,5750,-0.0521739130434783,4,5.30782608695652,FALSE,-0.0521739130434783
"185","50-59","FCO",2012,"Female",370,6580,-0.0562310030395137,4,5.34650455927052,FALSE,-0.0562310030395137
"186","50-59","FCO",2013,"Female",280,4850,-0.0577319587628866,4,5.26185567010309,FALSE,-0.0577319587628866
"187","50-59","FCO",2008,"Male",760,5930,0.128161888701518,4,5.21079258010118,FALSE,0.128161888701518
"188","50-59","FCO",2009,"Male",750,6090,0.123152709359606,4,5.23809523809524,FALSE,0.123152709359606
"189","50-59","FCO",2010,"Male",710,6020,0.117940199335548,4,5.21262458471761,FALSE,0.117940199335548
"190","50-59","FCO",2011,"Male",660,5750,0.114782608695652,4,5.30782608695652,FALSE,0.114782608695652
"191","50-59","FCO",2012,"Male",700,6580,0.106382978723404,4,5.34650455927052,FALSE,0.106382978723404
"192","50-59","FCO",2013,"Male",470,4850,0.0969072164948454,4,5.26185567010309,FALSE,0.0969072164948454
"193","60-64","FCO",2008,"Female",40,5930,-0.00674536256323777,5,5.21079258010118,FALSE,-0.00674536256323777
"194","60-64","FCO",2009,"Female",40,6090,-0.00656814449917898,5,5.23809523809524,FALSE,-0.00656814449917898
"195","60-64","FCO",2010,"Female",50,6020,-0.00830564784053156,5,5.21262458471761,FALSE,-0.00830564784053156
"196","60-64","FCO",2011,"Female",50,5750,-0.00869565217391304,5,5.30782608695652,FALSE,-0.00869565217391304
"197","60-64","FCO",2012,"Female",50,6580,-0.00759878419452888,5,5.34650455927052,FALSE,-0.00759878419452888
"198","60-64","FCO",2013,"Female",40,4850,-0.00824742268041237,5,5.26185567010309,FALSE,-0.00824742268041237
"199","60-64","FCO",2008,"Male",140,5930,0.0236087689713322,5,5.21079258010118,FALSE,0.0236087689713322
"200","60-64","FCO",2009,"Male",150,6090,0.0246305418719212,5,5.23809523809524,FALSE,0.0246305418719212
"201","60-64","FCO",2010,"Male",140,6020,0.0232558139534884,5,5.21262458471761,FALSE,0.0232558139534884
"202","60-64","FCO",2011,"Male",140,5750,0.0243478260869565,5,5.30782608695652,FALSE,0.0243478260869565
"203","60-64","FCO",2012,"Male",140,6580,0.0212765957446809,5,5.34650455927052,FALSE,0.0212765957446809
"204","60-64","FCO",2013,"Male",90,4850,0.0185567010309278,5,5.26185567010309,FALSE,0.0185567010309278
"205","65 +","FCO",2008,"Female",0,5930,0,6,5.21079258010118,FALSE,0
"206","65 +","FCO",2009,"Female",0,6090,0,6,5.23809523809524,FALSE,0
"207","65 +","FCO",2010,"Female",0,6020,0,6,5.21262458471761,FALSE,0
"208","65 +","FCO",2011,"Female",10,5750,-0.00173913043478261,6,5.30782608695652,FALSE,-0.00173913043478261
"209","65 +","FCO",2012,"Female",20,6580,-0.00303951367781155,6,5.34650455927052,FALSE,-0.00303951367781155
"210","65 +","FCO",2013,"Female",10,4850,-0.00206185567010309,6,5.26185567010309,FALSE,-0.00206185567010309
"211","65 +","FCO",2008,"Male",10,5930,0.00168634064080944,6,5.21079258010118,FALSE,0.00168634064080944
"212","65 +","FCO",2009,"Male",20,6090,0.00328407224958949,6,5.23809523809524,FALSE,0.00328407224958949
"213","65 +","FCO",2010,"Male",20,6020,0.00332225913621262,6,5.21262458471761,FALSE,0.00332225913621262
"214","65 +","FCO",2011,"Male",40,5750,0.00695652173913044,6,5.30782608695652,FALSE,0.00695652173913044
"215","65 +","FCO",2012,"Male",40,6580,0.0060790273556231,6,5.34650455927052,FALSE,0.0060790273556231
"216","65 +","FCO",2013,"Male",40,4850,0.00824742268041237,6,5.26185567010309,FALSE,0.00824742268041237
"217","< 29","HO",2008,"Female",3750,26950,-0.139146567717996,1,4.9974025974026,FALSE,-0.139146567717996
"218","< 29","HO",2009,"Female",3210,26260,-0.122239146991622,1,5.17136329017517,FALSE,-0.122239146991622
"219","< 29","HO",2010,"Female",3010,27060,-0.111234294161123,1,5.23281596452328,FALSE,-0.111234294161123
"220","< 29","HO",2011,"Female",2470,29700,-0.0831649831649832,1,5.47676767676768,FALSE,-0.0831649831649832
"221","< 29","HO",2012,"Female",1770,26360,-0.0671471927162367,1,5.55311077389985,FALSE,-0.0671471927162367
"222","< 29","HO",2013,"Female",1920,26530,-0.0723709008669431,1,5.51752732755371,FALSE,-0.0723709008669431
"223","< 29","HO",2008,"Male",2630,26950,0.0975881261595547,1,4.9974025974026,FALSE,0.0975881261595547
"224","< 29","HO",2009,"Male",2320,26260,0.0883472962680883,1,5.17136329017517,FALSE,0.0883472962680883
"225","< 29","HO",2010,"Male",2270,27060,0.0838876570583888,1,5.23281596452328,FALSE,0.0838876570583888
"226","< 29","HO",2011,"Male",1960,29700,0.065993265993266,1,5.47676767676768,FALSE,0.065993265993266
"227","< 29","HO",2012,"Male",1420,26360,0.0538694992412747,1,5.55311077389985,FALSE,0.0538694992412747
"228","< 29","HO",2013,"Male",1550,26530,0.0584244251790426,1,5.51752732755371,FALSE,0.0584244251790426
"229","30-39","HO",2008,"Female",4350,26950,-0.161410018552876,2,4.9974025974026,FALSE,-0.161410018552876
"230","30-39","HO",2009,"Female",3980,26260,-0.151561309977152,2,5.17136329017517,FALSE,-0.151561309977152
"231","30-39","HO",2010,"Female",4250,27060,-0.157058388765706,2,5.23281596452328,FALSE,-0.157058388765706
"232","30-39","HO",2011,"Female",4490,29700,-0.151178451178451,2,5.47676767676768,FALSE,-0.151178451178451
"233","30-39","HO",2012,"Female",4150,26360,-0.157435508345979,2,5.55311077389985,FALSE,-0.157435508345979
"234","30-39","HO",2013,"Female",4090,26530,-0.154165096117603,2,5.51752732755371,FALSE,-0.154165096117603
"235","30-39","HO",2008,"Male",3160,26950,0.117254174397032,2,4.9974025974026,FALSE,0.117254174397032
"236","30-39","HO",2009,"Male",3190,26260,0.121477532368621,2,5.17136329017517,FALSE,0.121477532368621
"237","30-39","HO",2010,"Male",3330,27060,0.123059866962306,2,5.23281596452328,FALSE,0.123059866962306
"238","30-39","HO",2011,"Male",3800,29700,0.127946127946128,2,5.47676767676768,FALSE,0.127946127946128
"239","30-39","HO",2012,"Male",3560,26360,0.1350531107739,2,5.55311077389985,FALSE,0.1350531107739
"240","30-39","HO",2013,"Male",3540,26530,0.133433848473426,2,5.51752732755371,FALSE,0.133433848473426
"241","40-49","HO",2008,"Female",4380,26950,-0.16252319109462,3,4.9974025974026,FALSE,-0.16252319109462
"242","40-49","HO",2009,"Female",4430,26260,-0.168697638994669,3,5.17136329017517,FALSE,-0.168697638994669
"243","40-49","HO",2010,"Female",4590,27060,-0.169623059866962,3,5.23281596452328,FALSE,-0.169623059866962
"244","40-49","HO",2011,"Female",5050,29700,-0.17003367003367,3,5.47676767676768,FALSE,-0.17003367003367
"245","40-49","HO",2012,"Female",4590,26360,-0.17412746585736,3,5.55311077389985,FALSE,-0.17412746585736
"246","40-49","HO",2013,"Female",4510,26530,-0.169996230682247,3,5.51752732755371,FALSE,-0.169996230682247
"247","40-49","HO",2008,"Male",2950,26950,0.109461966604824,3,4.9974025974026,FALSE,0.109461966604824
"248","40-49","HO",2009,"Male",3020,26260,0.115003808073115,3,5.17136329017517,FALSE,0.115003808073115
"249","40-49","HO",2010,"Male",3210,27060,0.118625277161863,3,5.23281596452328,FALSE,0.118625277161863
"250","40-49","HO",2011,"Male",4310,29700,0.145117845117845,3,5.47676767676768,FALSE,0.145117845117845
"251","40-49","HO",2012,"Male",4080,26360,0.154779969650986,3,5.55311077389985,FALSE,0.154779969650986
"252","40-49","HO",2013,"Male",4100,26530,0.154542027892951,3,5.51752732755371,FALSE,0.154542027892951
"253","50-59","HO",2008,"Female",2500,26950,-0.0927643784786642,4,4.9974025974026,FALSE,-0.0927643784786642
"254","50-59","HO",2009,"Female",2720,26260,-0.103579588728104,4,5.17136329017517,FALSE,-0.103579588728104
"255","50-59","HO",2010,"Female",2880,27060,-0.106430155210643,4,5.23281596452328,FALSE,-0.106430155210643
"256","50-59","HO",2011,"Female",3070,29700,-0.103367003367003,4,5.47676767676768,FALSE,-0.103367003367003
"257","50-59","HO",2012,"Female",2810,26360,-0.10660091047041,4,5.55311077389985,FALSE,-0.10660091047041
"258","50-59","HO",2013,"Female",2830,26530,-0.106671692423671,4,5.51752732755371,FALSE,-0.106671692423671
"259","50-59","HO",2008,"Male",2270,26950,0.0842300556586271,4,4.9974025974026,FALSE,0.0842300556586271
