"","Group","Date","Civil.Service.grad","gradeval","Gender","count","total","share","grp","sharebothgenders","gradescore","meangradescore","sorter","yvar"
"38","DCMS",2012,"AO/AA",1,"Female",-10,460,-0.0217391304347826,"DCMSFemale",0.0434782608695652,0.0434782608695652,0.665217391304348,0.665217391304348,-0.0217391304347826
"39","DCMS",2012,"EO",2,"Female",-40,460,-0.0869565217391304,"DCMSFemale",0.173913043478261,0.347826086956522,0.665217391304348,0.665217391304348,-0.0869565217391304
"40","DCMS",2012,"EO",2,"Male",40,460,0.0869565217391304,"DCMSMale",0.173913043478261,0.347826086956522,0.665217391304348,0.665217391304348,0.0869565217391304
"41","DECC",2012,"EO",2,"Female",-70,1310,-0.0534351145038168,"DECCFemale",0.0916030534351145,0.183206106870229,0.673282442748092,0.673282442748092,-0.0534351145038168
"42","DECC",2012,"G6/G7",4,"Male",310,1310,0.236641221374046,"DECCMale",0.412213740458015,1.64885496183206,0.673282442748092,0.673282442748092,0.236641221374046
"43","DECC",2012,"AO/AA",1,"Female",-50,1310,-0.0381679389312977,"DECCFemale",0.0687022900763359,0.0687022900763359,0.673282442748092,0.673282442748092,-0.0381679389312977
"44","DECC",2012,"AO/AA",1,"Male",40,1310,0.0305343511450382,"DECCMale",0.0687022900763359,0.0687022900763359,0.673282442748092,0.673282442748092,0.0305343511450382
"45","DECC",2012,"SEO/HEO",3,"Male",270,1310,0.206106870229008,"DECCMale",0.374045801526718,1.12213740458015,0.673282442748092,0.673282442748092,0.206106870229008
"46","DECC",2012,"EO",2,"Male",50,1310,0.0381679389312977,"DECCMale",0.0916030534351145,0.183206106870229,0.673282442748092,0.673282442748092,0.0381679389312977
"47","DECC",2012,"SEO/HEO",3,"Female",-220,1310,-0.16793893129771,"DECCFemale",0.374045801526718,1.12213740458015,0.673282442748092,0.673282442748092,-0.16793893129771
"48","DECC",2012,"SCS",5,"Female",-30,1310,-0.0229007633587786,"DECCFemale",0.0687022900763359,0.343511450381679,0.673282442748092,0.673282442748092,-0.0229007633587786
